n,t_s,theta1_n,theta1_np1,theta2_n,theta2_np1
0,5.3333,-18.9702,-27.4292,-48.0824,-57.1670
1,6.6667,-27.4292,-36.6366,-57.1670,-65.1279
2,8.0000,-36.6366,-31.5166,-65.1279,-75.1907
3,9.3333,-31.5166,-34.1457,-75.1907,-70.6175
4,10.6667,-34.1457,-30.0594,-70.6175,-63.9274
5,12.0000,-30.0594,-36.7257,-63.9274,-75.6058
6,13.3333,-36.7257,-31.8630,-75.6058,-65.9551
7,14.6667,-31.8630,-37.1502,-65.9551,-74.5827
8,16.0000,-37.1502,-31.8129,-74.5827,-64.5051
9,17.3333,-31.8129,-35.5457,-64.5051,-75.0411
10,18.6667,-35.5457,-29.1279,-75.0411,-66.2374
11,20.0000,-29.1279,-29.0661,-66.2374,-72.7332
12,21.3333,-29.0661,-39.6131,-72.7332,-77.3076
13,22.6667,-39.6131,-32.5321,-77.3076,-63.0305
14,24.0000,-32.5321,-37.3483,-63.0305,-72.2107
15,25.3333,-37.3483,-30.1241,-72.2107,-64.0982
16,26.6667,-30.1241,-38.9432,-64.0982,-78.4618
17,28.0000,-38.9432,-31.8215,-78.4618,-66.2852
18,29.3333,-31.8215,-35.0543,-66.2852,-86.9651
19,30.6667,-35.0543,-35.3441,-86.9651,-73.8390
20,32.0000,-35.3441,-37.2063,-73.8390,-77.0994
21,33.3333,-37.2063,-34.7838,-77.0994,-77.2890
22,34.6667,-34.7838,-34.3476,-77.2890,-79.6177
23,36.0000,-34.3476,-33.4463,-79.6177,-69.4450
