n,t_s,theta1_n,theta1_np1,theta2_n,theta2_np1
0,5.0000,-48.4647,-62.9939,-139.8381,-86.8673
1,5.8333,-62.9939,-69.7289,-86.8673,153.7012
2,6.6667,-69.7289,-81.1808,153.7012,159.7476
3,7.5000,-81.1808,-75.6030,159.7476,-138.9015
4,8.3333,-75.6030,-53.5866,-138.9015,126.8352
5,9.1667,-53.5866,-50.4374,126.8352,-160.1320
6,10.0000,-50.4374,-68.5730,-160.1320,-106.1607
7,10.8333,-68.5730,-73.5660,-106.1607,-148.9475
8,11.6667,-73.5660,-63.9247,-148.9475,-104.5985
9,12.5000,-63.9247,-76.2930,-104.5985,-150.3880
10,13.3333,-76.2930,-61.8232,-150.3880,-97.0110
11,14.1667,-61.8232,-91.7443,-97.0110,22.5562
12,15.0000,-91.7443,-54.8320,22.5562,-146.5992
13,15.8333,-54.8320,-65.3511,-146.5992,-120.0958
14,16.6667,-65.3511,-67.4289,-120.0958,116.9728
15,17.5000,-67.4289,-47.7181,116.9728,-130.1484
16,18.3333,-47.7181,-73.1830,-130.1484,-118.4631
17,19.1667,-73.1830,-69.3698,-118.4631,-89.7538
18,20.0000,-69.3698,-52.2110,-89.7538,-137.1855
19,20.8333,-52.2110,-72.2270,-137.1855,-115.2583
20,21.6667,-72.2270,-67.2800,-115.2583,-98.7250
21,22.5000,-67.2800,-75.5535,-98.7250,161.4156
22,23.3333,-75.5535,-78.7595,161.4156,56.6722
23,24.1667,-78.7595,-65.5591,56.6722,-155.3355
24,25.0000,-65.5591,-74.0941,-155.3355,-109.5833
25,25.8333,-74.0941,-62.2063,-109.5833,-95.2757
26,26.6667,-62.2063,-78.1091,-95.2757,45.0750
27,27.5000,-78.1091,-57.6355,45.0750,123.0244
28,28.3333,-57.6355,-49.4408,123.0244,-154.5307
29,29.1667,-49.4408,-74.0260,-154.5307,-104.3190
30,30.0000,-74.0260,-98.8212,-104.3190,20.0137
31,30.8333,-98.8212,-50.2855,20.0137,-121.0325
32,31.6667,-50.2855,-60.1673,-121.0325,159.5598
33,32.5000,-60.1673,-91.2671,159.5598,-5.3582
34,33.3333,-91.2671,-63.5037,-5.3582,-173.8303
35,34.1667,-63.5037,-71.1981,-173.8303,-100.0960
36,35.0000,-71.1981,-70.8687,-100.0960,162.4483
37,35.8333,-70.8687,-63.8200,162.4483,96.5871
