t_s,theta1_deg,omega1_deg_s,theta2_deg,omega2_deg_s
5.5118,49.4997,-347.9501,-139.2728,-286.8980
6.2992,60.6906,-291.5324,-80.7411,195.9074
7.0866,42.4409,-312.8266,-97.8933,-260.2458
7.8740,53.1736,-305.1166,-63.1147,-39.8587
8.6614,48.5388,-403.4956,6.9568,819.4103
9.4488,52.1319,-313.5827,-97.1661,57.9142
10.2362,49.0132,-409.5559,-50.5536,-205.6291
11.0236,26.2708,-188.2463,101.3014,676.4318
11.8110,36.8370,0.3584,170.1838,681.4313
12.5984,47.8080,-399.2208,-71.7142,-260.7031
13.3858,50.8229,-272.7628,-49.8373,171.2430
14.1732,25.4886,-317.6962,74.3354,722.0892
14.9606,40.7599,-554.9576,49.7621,981.5272
15.7480,54.0202,-327.8775,-172.0930,-472.7587
16.5354,28.2117,77.6950,142.7171,712.0905
17.3228,41.8304,-292.9498,97.4809,550.0271
18.1102,62.8223,-381.7107,-12.6515,-416.4519
18.8976,23.1853,-184.9131,111.4818,756.0960
19.6850,48.6136,-159.7972,141.4394,566.1461
20.4724,49.1788,-244.2953,128.5668,521.3029
21.2598,43.5446,-524.7118,37.3763,975.1087
22.0472,52.5733,-326.4710,0.3509,-558.8495
22.8346,33.1660,58.2762,153.2418,690.7591
23.6220,44.6332,-304.6614,94.8441,545.5356
24.4094,56.3318,-400.7318,-36.1028,-404.3900
25.1969,25.8544,-81.4371,120.4829,659.6184
25.9843,47.0139,-208.3828,127.6406,589.4669
26.7717,35.0947,-393.7256,73.8309,842.9054
27.5591,61.7744,-449.1272,-2.8245,805.0375
28.3465,57.6368,-289.7342,178.0041,-474.3320
29.1339,28.7060,44.7491,145.2736,754.4300
29.9213,62.9150,-367.3847,9.4625,530.3549
30.7087,54.5223,-97.2116,87.9392,-784.4776
31.4961,21.3618,-404.1056,62.6416,974.0323
32.2835,45.9569,-122.2471,121.2888,201.2422
33.0709,51.6005,-220.9645,27.5578,-433.3227
33.8583,56.5466,-284.2266,-90.5140,105.7887
34.6457,44.7503,-385.4551,-61.6005,-264.2511
35.4331,47.7913,-379.3932,4.5473,747.0869
