frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout,omega1_deg_s,omega2_deg_s,suspect,arm_length_px,arm_dev_pct,omega_cap_applied,delta_omega_suspect,swap_suspect,omega_cap_suspect
52,0.86753,free_swing,583,492,594,575,-26.565,7.549,0,7.28,-715.55,1,83.73,39.32,2500,0,0,0
53,0.88422,free_swing,583,493,595,572,-26.423,8.637,0,0.46,289.32,1,79.91,42.09,2500,1,0,0
54,0.9009,free_swing,583,493,594,563,-26.423,8.931,0,-1.96,288.46,1,70.86,48.64,2500,0,0,0
55,0.91758,free_swing,583,492,600,561,-26.565,13.841,0,-4.22,146.85,1,71.06,48.50,2500,0,0,0
56,0.93427,free_swing,583,492,607,554,-26.565,21.161,0,-2.26,-428.30,1,66.48,51.81,2500,1,0,0
57,0.95095,free_swing,583,492,593,574,-26.565,6.953,0,2.26,667.24,1,82.61,40.13,2500,1,0,0
58,0.96763,free_swing,583,492,594,587,-26.565,6.605,0,5.72,536.35,1,95.63,30.69,2500,0,0,0
59,0.98432,free_swing,583,493,609,505,-26.423,65.225,0,-3.34,-129.95,1,28.64,79.25,2500,1,0,0
60,1.001,free_swing,583,493,582,623,-26.423,-0.441,0,-2.90,-919.09,1,130.00,5.78,2500,1,0,0
61,1.01768,free_swing,582,492,580,636,-26.851,-0.796,0,-5.27,-946.38,0,144.01,4.38,2500,0,0,0
62,1.03437,free_swing,583,493,591,613,-26.423,3.814,0,3.47,369.82,1,120.27,12.83,2500,1,0,0
63,1.05105,free_swing,582,493,582,623,-26.707,0.000,0,3.78,-76.31,1,130.00,5.78,2500,1,0,0
64,1.06773,free_swing,583,493,583,617,-26.423,0.000,0,-3.04,-83.23,1,124.00,10.13,2500,0,0,0
65,1.08442,free_swing,582,493,578,608,-26.707,-1.992,0,-9.25,-28.07,1,115.07,16.60,2500,0,0,0
66,1.1011,free_swing,582,493,583,623,-26.707,0.441,0,-10.43,158.93,0,130.00,5.78,2500,0,0,0
67,1.11778,free_swing,581,492,580,629,-27.135,-0.418,0,2.24,173.05,0,137.00,0.70,2500,0,0,0
68,1.13447,free_swing,582,493,597,587,-26.707,9.067,0,3.61,-155.49,1,95.19,31.01,2500,1,0,0
69,1.15115,free_swing,582,493,585,616,-26.707,1.397,0,4.09,262.53,1,123.04,10.83,2500,1,0,0
70,1.16783,free_swing,582,492,582,632,-26.851,0.000,0,0.78,610.62,1,140.00,1.47,2500,1,0,0
71,1.18452,free_swing,582,493,608,536,-26.707,31.159,0,1.65,291.90,1,50.25,63.58,2500,1,0,0
72,1.2012,free_swing,583,492,605,545,-26.565,22.543,0,-1.18,-157.72,1,57.38,58.41,2500,1,0,0
73,1.21788,free_swing,582,492,588,634,-26.851,2.420,0,1.07,-565.32,1,142.13,3.01,2500,1,0,0
