frame,time_s,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout
138,2.3023,720,469,765,462,44.493,98.842,0
139,2.31898,720,469,761,463,44.493,98.326,0
140,2.33567,720,469,762,462,44.493,99.462,0
141,2.35235,721,469,763,461,44.748,100.784,0
142,2.36903,720,469,767,462,44.493,98.471,0
143,2.38572,721,469,764,463,44.748,97.943,0
144,2.4024,720,469,788,463,44.493,95.042,0
145,2.41908,721,469,763,462,44.748,99.462,0
146,2.43577,721,469,763,462,44.748,99.462,0
147,2.45245,721,469,772,463,44.748,96.71,0
148,2.46913,721,469,766,463,44.748,97.595,0
149,2.48582,720,469,763,461,44.493,100.539,0
150,2.5025,720,469,765,463,44.493,97.595,0
151,2.51918,721,469,763,462,44.748,99.462,0
152,2.53587,721,469,762,462,44.748,99.689,0
153,2.55255,721,469,762,463,44.748,98.326,0
154,2.56923,721,469,780,464,44.748,94.844,0
155,2.58592,721,469,787,463,44.748,95.194,0
156,2.6026,721,469,761,462,44.748,99.926,0
157,2.61928,721,469,779,464,44.748,94.927,0
158,2.63597,721,469,770,463,44.748,96.981,0
159,2.65265,721,469,790,463,44.748,94.97,0
160,2.66933,721,469,762,463,44.748,98.326,0
161,2.68602,721,469,766,463,44.748,97.595,0
162,2.7027,,,771,462,,,1
163,2.71938,719,471,770,463,43.738,98.915,0
164,2.73607,716,473,765,462,42.466,102.653,0
165,2.75275,713,475,772,462,41.186,102.426,0
166,2.76943,709,479,765,460,39.163,108.741,0
167,2.78612,,,766,459,,,1
168,2.8028,695,489,766,457,32.994,114.261,0
169,2.81948,686,495,771,456,29.124,114.647,0
170,2.83617,675,501,767,455,24.651,116.565,0
171,2.85285,663,506,776,455,20.014,114.291,0
172,2.86953,651,510,784,454,15.505,112.834,0
173,2.88622,637,513,770,452,10.401,114.638,0
174,2.9029,624,514,779,452,5.746,111.801,0
175,2.91958,613,516,784,452,1.779,110.519,0
176,2.93627,602,515,778,449,-2.148,110.556,0
177,2.95295,590,514,789,449,-6.459,108.089,0
178,2.96963,580,513,800,449,-10.049,106.22,0
179,2.98632,572,512,797,448,-12.915,105.878,0
180,3.003,564,509,789,443,-15.945,106.348,0
181,3.01968,558,507,790,442,-18.208,105.651,0
182,3.03637,552,505,824,446,-20.472,102.239,0
183,3.05305,547,503,795,440,-22.4,104.253,0
184,3.06973,545,503,851,452,-23.058,99.462,0
185,3.08642,542,502,905,458,-24.179,96.911,0
186,3.1031,543,502,817,448,-23.854,101.149,0
187,3.11978,546,503,839,446,-22.73,101.009,0
188,3.13647,549,504,837,447,-21.602,101.195,0
189,3.15315,553,506,836,447,-20.014,101.776,0
190,3.16983,558,508,836,448,-18.097,102.179,0
191,3.18652,563,509,827,447,-16.289,103.216,0
192,3.2032,567,510,826,448,-14.816,103.462,0
193,3.21988,570,512,825,451,-13.606,103.453,0
194,3.23657,572,511,821,455,-12.995,102.675,0
195,3.25325,574,512,770,456,-12.219,105.945,0
196,3.26993,575,512,769,463,-11.87,104.175,0
197,3.28662,577,512,767,472,-11.17,101.889,0
198,3.3033,578,512,766,481,-10.818,99.363,0
199,3.31998,579,513,769,492,-10.401,96.307,0
200,3.33667,579,513,780,504,-10.401,92.564,0
201,3.35335,580,513,803,513,-10.049,90.0,0
202,3.37003,581,513,780,535,-9.697,83.691,0
203,3.38672,582,513,811,539,-9.345,83.523,0
204,3.4034,583,514,820,549,-8.936,81.599,0
205,3.42008,584,513,826,561,-8.637,78.781,0
206,3.43677,585,513,837,572,-8.282,76.823,0
207,3.45345,585,514,844,583,-8.231,75.082,0
208,3.47013,586,514,853,591,-7.878,73.913,0
209,3.48682,586,514,861,596,-7.878,73.396,0
210,3.5035,585,514,871,597,-8.231,73.817,0
211,3.52018,584,513,860,600,-8.637,72.504,0
212,3.53687,582,514,868,601,-9.287,73.08,0
213,3.55355,578,513,878,598,-10.751,74.181,0
214,3.57023,574,512,876,607,-12.219,72.538,0
215,3.58692,569,511,883,602,-14.036,73.838,0
216,3.6036,564,509,890,596,-15.945,75.058,0
217,3.62028,560,508,909,180,-17.418,133.223,0
218,3.63697,557,507,912,178,-18.548,132.823,0
219,3.65365,557,507,881,603,-18.548,73.496,0
220,3.67033,556,507,881,601,-18.886,73.869,0
221,3.68702,559,507,884,595,-17.868,74.849,0
222,3.7037,562,509,884,593,-16.631,75.379,0
223,3.72038,567,510,887,590,-14.816,75.964,0
224,3.73707,572,512,887,590,-12.915,76.092,0
225,3.75375,579,513,886,591,-10.401,75.744,0
226,3.77043,587,514,881,594,-7.524,74.778,0
227,3.78712,596,515,881,595,-4.289,74.32,0
228,3.8038,604,516,881,596,-1.423,73.891,0
229,3.82048,614,515,881,598,2.148,72.732,0
230,3.83717,625,514,882,601,6.103,71.298,0
231,3.85385,635,513,883,604,9.697,69.85,0
232,3.87053,646,511,882,608,13.69,67.657,0
233,3.88722,657,507,,,,,1
234,3.9039,669,503,757,641,22.4,32.525,0
235,3.92058,679,499,,,,,1
236,3.93727,689,493,,,,,1
237,3.95395,697,488,,,,,1
238,3.97063,704,483,,,,,1
239,3.98732,709,479,735,641,39.163,9.118,0
240,4.004,713,476,731,639,40.95,6.302,0
241,4.02068,716,474,726,637,42.226,3.511,0
242,4.03737,717,472,721,637,42.973,1.389,0
243,4.05405,717,472,717,636,42.973,0.0,0
244,4.07073,717,473,714,637,42.73,-1.048,0
245,4.08742,715,474,709,639,41.961,-2.083,0
246,4.1041,712,477,707,641,40.446,-1.746,0
247,4.12078,708,481,704,645,38.437,-1.397,0
248,4.13747,702,485,702,649,35.87,0.0,0
249,4.15415,695,489,700,654,32.994,1.736,0
250,4.17083,687,495,699,658,29.435,4.21,0
251,4.18752,676,500,698,663,25.125,7.687,0
252,4.2042,665,505,697,665,20.807,11.31,0
253,4.22088,652,509,,,,,1
254,4.23757,638,513,,,,,1
255,4.25425,623,515,690,664,5.356,24.212,0
256,4.27093,610,516,685,660,0.712,27.512,0
257,4.28762,597,515,678,657,-3.933,29.701,0
258,4.3043,585,514,669,654,-8.231,30.964,0
259,4.32098,574,512,659,652,-12.219,31.264,0
260,4.33767,565,510,649,650,-15.505,30.964,0
261,4.35435,556,507,636,650,-18.886,29.224,0
262,4.37103,549,504,622,649,-21.602,26.723,0
263,4.38772,542,502,608,651,-24.179,23.891,0
264,4.4044,537,500,592,653,-26.089,19.772,0
265,4.42108,534,497,576,655,-27.525,14.886,0
266,4.43777,532,496,560,658,-28.325,9.806,0
267,4.45445,531,496,542,659,-28.639,3.861,0
268,4.47113,532,496,523,660,-28.325,-3.141,0
269,4.48782,534,498,504,658,-27.361,-10.62,0
270,4.5045,538,500,485,653,-25.769,-19.106,0
271,4.52118,543,502,469,646,-23.854,-27.198,0
272,4.53787,548,505,455,635,-21.801,-35.579,0
273,4.55455,554,507,443,623,-19.558,-43.738,0
274,4.57123,558,508,435,610,-18.097,-50.332,0
275,4.58792,562,509,429,597,-16.631,-56.509,0
276,4.6046,567,510,425,584,-14.816,-62.475,0
277,4.62128,570,511,423,574,-13.69,-66.801,0
278,4.63797,573,511,421,564,-12.645,-70.777,0
279,4.65465,575,512,422,555,-11.87,-74.302,0
280,4.67133,578,512,423,549,-10.818,-76.574,0
281,4.68802,580,513,424,545,-10.049,-78.408,0
282,4.7047,582,513,427,542,-9.345,-79.403,0
283,4.72138,586,514,428,541,-7.878,-80.303,0
284,4.73807,588,514,431,543,-7.169,-79.535,0
285,4.75475,590,514,434,547,-6.459,-78.056,0
286,4.77143,593,514,438,552,-5.389,-76.225,0
287,4.78812,595,515,441,559,-4.645,-74.055,0
288,4.8048,598,516,446,568,-3.554,-71.114,0
289,4.82148,599,515,451,579,-3.219,-66.615,0
290,4.83817,600,515,458,591,-2.862,-61.844,0
291,4.85485,600,515,466,605,-2.862,-56.113,0
292,4.87153,600,515,476,620,-2.862,-49.743,0
293,4.88822,598,515,488,634,-3.576,-42.749,0
294,4.9049,595,515,504,649,-4.645,-34.181,0
295,4.92158,590,515,523,662,-6.419,-24.503,0
296,4.93827,586,514,543,671,-7.878,-15.317,0
297,4.95495,579,513,566,675,-10.401,-4.588,0
298,4.97163,574,512,590,674,-12.219,5.641,0
299,4.98832,571,511,612,669,-13.343,14.547,0
300,5.005,568,510,632,661,-14.47,22.969,0
301,5.02168,568,510,651,651,-14.47,30.483,0
302,5.03837,569,510,667,642,-14.123,36.591,0
303,5.05505,571,511,683,632,-13.343,42.788,0
304,5.07173,575,512,695,623,-11.87,47.231,0
305,5.08842,579,512,708,616,-10.465,51.124,0
306,5.1051,586,513,720,608,-7.927,54.665,0
307,5.12178,592,514,730,603,-5.746,57.181,0
308,5.13847,599,515,739,601,-3.219,58.438,0
309,5.15515,607,515,747,598,-0.358,59.338,0
310,5.17183,614,515,755,599,2.148,59.216,0
311,5.18852,622,515,762,601,5.001,58.438,0
312,5.2052,631,513,767,604,8.282,56.213,0
313,5.22188,640,512,772,609,11.52,53.69,0
314,5.23857,649,510,775,615,14.816,50.194,0
315,5.25525,659,507,776,620,18.548,45.996,0
316,5.27193,668,504,775,627,21.934,41.021,0
317,5.28862,677,500,771,633,25.448,35.251,0
318,5.3053,686,495,765,638,29.124,28.918,0
319,5.32198,693,490,758,642,32.196,23.153,0
320,5.33867,699,486,749,643,34.786,17.665,0
321,5.35535,705,483,740,643,37.155,12.339,0
322,5.37203,709,479,731,641,39.163,7.734,0
323,5.38872,711,478,722,641,39.943,3.861,0
324,5.4054,712,477,713,641,40.446,0.349,0
325,5.42208,711,477,705,641,40.173,-2.095,0
326,5.43877,710,479,697,642,39.44,-4.56,0
327,5.45545,707,481,690,643,38.157,-5.991,0
328,5.47213,703,484,683,646,36.369,-7.038,0
329,5.48882,699,487,677,650,34.582,-7.687,0
330,5.5055,693,491,670,654,32.005,-8.032,0
331,5.52218,685,496,665,659,28.639,-6.995,0
332,5.53887,675,501,661,663,24.651,-4.939,0
333,5.55555,664,505,657,668,20.472,-2.459,0
334,5.57223,652,509,654,673,15.945,0.699,0
335,5.58892,638,513,651,675,10.751,4.588,0
336,5.6056,623,515,648,676,5.356,8.826,0
337,5.62228,608,516,645,675,0.0,13.1,0
338,5.63897,594,515,641,671,-5.001,16.767,0
339,5.65565,580,513,635,667,-10.049,19.654,0
340,5.67233,569,510,626,663,-14.123,20.433,0
341,5.68902,558,508,618,659,-18.097,21.67,0
342,5.7057,548,504,608,655,-21.934,21.67,0
343,5.72238,540,501,598,652,-24.974,21.012,0
344,5.73907,533,498,586,651,-27.676,19.106,0
345,5.75575,528,494,574,651,-29.922,16.33,0
