frame,time_s,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout
121,2.01868,544,503,435,621,-23.385,-42.73,0
122,2.03537,551,506,428,610,-20.681,-49.785,0
123,2.05205,556,508,425,599,-18.771,-55.214,0
124,2.06873,562,510,423,589,-16.53,-60.388,0
125,2.08542,568,511,423,579,-14.381,-64.875,0
126,2.1021,573,512,423,571,-12.567,-68.529,0
127,2.11878,577,513,426,565,-11.101,-70.998,0
128,2.13547,582,514,429,560,-9.287,-73.266,0
129,2.15215,587,515,433,557,-7.477,-74.745,0
130,2.16883,591,515,436,557,-6.065,-74.839,0
131,2.18552,595,516,441,558,-4.616,-74.745,0
132,2.2022,599,517,446,560,-3.18,-74.302,0
133,2.21888,604,516,452,566,-1.423,-71.792,0
134,2.23557,608,516,458,573,0.0,-69.193,0
135,2.25225,611,516,464,581,1.067,-66.146,0
136,2.26893,615,516,472,593,2.49,-61.699,0
137,2.28562,615,516,481,604,2.49,-56.706,0
138,2.3023,617,516,491,616,3.2,-51.563,0
139,2.31898,617,516,504,632,3.2,-44.249,0
140,2.33567,617,516,518,646,3.2,-37.291,0
141,2.35235,614,515,536,659,2.148,-28.443,0
142,2.36903,609,515,557,670,0.358,-18.546,0
143,2.38572,604,516,578,676,-1.423,-9.23,0
144,2.4024,597,516,602,678,-3.909,1.768,0
145,2.41908,592,515,625,675,-5.711,11.654,0
146,2.43577,587,515,646,666,-7.477,21.342,0
147,2.45245,585,514,665,654,-8.231,29.745,0
148,2.46913,583,515,683,642,-8.881,38.217,0
149,2.48582,583,515,696,630,-8.881,44.497,0
150,2.5025,585,514,709,619,-8.231,49.743,0
151,2.51918,587,514,721,609,-7.524,54.665,0
152,2.53587,591,514,731,599,-6.103,58.736,0
153,2.55255,596,515,739,591,-4.289,62.011,0
154,2.56923,600,516,747,585,-2.845,64.855,0
155,2.58592,604,516,754,580,-1.423,66.894,0
156,2.6026,610,516,761,577,0.712,68.003,0
157,2.61928,615,514,768,576,2.521,67.941,0
158,2.63597,621,516,773,577,4.616,68.134,0
159,2.65265,628,515,777,579,7.125,66.755,0
160,2.66933,634,514,781,584,9.287,64.537,0
161,2.68602,641,513,783,590,11.797,61.531,0
162,2.7027,648,511,785,597,14.381,57.882,0
163,2.71938,655,508,784,606,17.076,52.776,0
164,2.73607,662,506,782,615,19.678,47.75,0
