frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout,omega1_deg_s,omega2_deg_s
66,1.1011,driven,654.903,484.786,653.847,637.782,-3.033,-0.396,0,-0.37,0.36
67,1.11778,driven,654.844,484.782,653.841,637.779,-3.056,-0.376,0,-0.70,0.63
68,1.13447,driven,654.844,484.782,653.841,637.779,-3.056,-0.376,0,0.13,-0.13
69,1.15115,driven,654.844,484.782,653.841,637.779,-3.056,-0.376,0,0.98,-0.94
70,1.16783,driven,654.936,484.787,653.847,637.783,-3.021,-0.408,0,0.86,-0.71
71,1.18452,driven,654.936,484.787,653.841,637.783,-3.021,-0.410,0,0.91,-0.94
72,1.2012,driven,654.936,484.787,653.853,637.784,-3.021,-0.405,0,-1.28,1.03
73,1.21788,driven,654.936,484.787,653.819,637.783,-3.021,-0.418,0,-2.96,2.68
74,1.23457,driven,654.665,484.773,653.819,637.770,-3.123,-0.317,0,-1.56,1.38
75,1.25125,driven,654.665,484.773,653.819,637.770,-3.123,-0.317,0,1.06,-0.99
76,1.26793,driven,654.898,484.785,653.819,637.782,-3.035,-0.404,0,2.69,-2.79
77,1.28462,driven,654.898,484.785,653.819,637.782,-3.035,-0.404,0,1.02,-0.69
78,1.3013,driven,654.898,484.785,653.821,637.782,-3.035,-0.403,0,-0.61,1.29
79,1.31798,driven,654.898,484.785,653.894,637.782,-3.035,-0.376,0,-0.49,1.17
80,1.33467,driven,654.862,484.783,653.894,637.780,-3.049,-0.362,0,-0.06,0.50
81,1.35135,driven,654.862,484.783,653.894,637.780,-3.049,-0.362,0,0.59,-1.05
82,1.36803,driven,654.939,484.787,653.894,637.784,-3.020,-0.391,0,0.56,-1.26
83,1.38472,driven,654.956,484.788,653.819,637.784,-3.014,-0.426,0,1.45,-2.13
84,1.4014,driven,654.970,484.789,653.819,637.785,-3.008,-0.431,0,2.13,-2.28
85,1.41808,driven,655.193,484.801,653.819,637.795,-2.925,-0.514,0,2.40,-2.50
86,1.43477,driven,655.217,484.802,653.819,637.796,-2.916,-0.523,0,1.40,-2.14
87,1.45145,driven,655.246,484.803,653.747,637.796,-2.905,-0.561,0,0.10,-0.90
88,1.46813,driven,655.246,484.803,653.731,637.796,-2.905,-0.567,0,-0.68,0.22
89,1.48482,driven,655.217,484.802,653.731,637.795,-2.916,-0.556,0,1.51,-1.47
90,1.5015,driven,655.073,484.794,653.731,637.789,-2.970,-0.502,0,-4.58,0.60
91,1.51818,driven,655.026,484.792,653.747,637.787,-2.988,-0.479,0,-16.70,23.02
92,1.53487,driven,653.319,484.693,653.796,637.693,-3.628,0.178,0,-41.04,64.71
93,1.55155,driven,651.204,484.545,655.998,637.469,-4.422,1.796,0,-74.79,111.23
94,1.56823,driven,646.915,484.152,657.564,636.781,-6.035,3.991,0,-109.19,152.50
95,1.58492,driven,641.205,483.440,659.222,635.375,-8.190,6.762,0,-150.87,199.45
96,1.6016,driven,634.152,482.256,661.644,632.765,-10.868,10.351,0,-174.93,222.02
97,1.61828,driven,625.703,480.384,663.900,628.540,-14.109,14.457,0,-184.03,215.67
98,1.63497,driven,618.153,478.280,663.896,624.282,-17.045,17.396,0,-190.14,193.06
99,1.65165,driven,610.336,475.651,663.886,618.973,-20.134,20.488,0,-185.93,162.10
100,1.66833,driven,601.911,472.275,662.084,612.946,-23.533,23.159,0,-189.49,133.46
101,1.68502,driven,595.173,469.144,659.303,608.055,-26.316,24.781,0,-184.63,88.53
102,1.7017,driven,587.370,465.000,654.477,602.499,-29.624,26.015,0,-181.10,50.72
103,1.71838,driven,580.766,461.021,649.094,597.916,-32.512,26.525,0,-182.13,10.20
104,1.73507,driven,574.099,456.522,642.118,593.571,-35.524,26.396,0,-173.96,-37.24
105,1.75175,driven,567.996,451.930,633.267,590.309,-38.385,25.253,0,-166.37,-79.81
106,1.76843,driven,562.530,447.389,623.911,587.537,-41.046,23.652,0,-146.94,-121.45
107,1.78512,driven,557.977,443.262,613.668,585.766,-43.348,21.346,0,-134.28,-162.34
108,1.8018,driven,554.069,439.439,602.004,584.736,-45.395,18.258,0,-126.19,-197.94
109,1.81848,driven,550.047,435.202,588.729,583.231,-47.583,14.645,0,-116.06,-221.61
110,1.83517,driven,546.928,431.681,575.823,581.927,-49.345,10.886,0,-98.67,-247.43
111,1.85185,driven,544.578,428.878,561.970,580.886,-50.714,6.527,0,-68.65,-283.60
112,1.86853,driven,542.899,426.788,546.710,579.741,-51.718,1.427,0,-37.12,-312.44
113,1.88522,driven,542.422,426.181,531.642,578.801,-52.007,-4.040,0,-12.03,-331.48
114,1.9019,driven,542.422,426.181,517.437,577.127,-52.007,-9.399,0,4.94,-340.00
115,1.91858,driven,542.422,426.181,502.060,573.761,-52.007,-15.296,0,7.88,-340.87
116,1.93527,driven,542.851,426.727,488.560,569.771,-51.747,-20.784,0,6.43,-316.15
117,1.95195,driven,542.851,426.727,476.190,564.442,-51.747,-25.829,0,6.81,-279.70
118,1.96863,driven,542.851,426.727,466.770,559.470,-51.747,-29.819,0,-2.40,-232.10
119,1.98532,driven,542.831,426.702,458.181,554.151,-51.759,-33.592,0,-27.96,-162.63
120,2.002,driven,541.532,425.030,452.688,549.592,-52.552,-35.499,0,-63.67,-90.23
121,2.01868,driven,539.171,421.863,448.744,545.281,-54.032,-36.230,0,-87.79,-18.30
122,2.03537,driven,536.928,418.688,446.216,541.897,-55.487,-36.362,0,-91.90,22.86
123,2.05205,driven,534.734,415.408,445.952,540.014,-56.965,-35.470,0,-92.65,60.66
124,2.06873,driven,532.453,411.791,446.195,538.157,-58.567,-34.318,0,-97.11,97.16
125,2.08542,driven,530.163,407.917,448.273,537.157,-60.252,-32.360,0,-102.23,129.08
126,2.1021,driven,528.018,404.033,451.714,536.648,-61.913,-29.915,0,-103.88,164.91
127,2.11878,driven,525.821,399.756,456.454,536.127,-63.714,-26.961,0,-101.28,192.21
128,2.13547,driven,523.966,395.863,462.953,536.171,-65.329,-23.502,0,-95.12,214.54
129,2.15215,driven,522.332,392.180,470.495,536.131,-66.838,-19.804,0,-89.62,230.77
130,2.16883,driven,520.863,388.621,478.956,535.770,-68.280,-15.896,0,-83.17,239.29
131,2.18552,driven,519.498,385.069,488.243,534.843,-69.705,-11.788,0,-79.12,246.26
132,2.2022,driven,518.497,382.277,497.878,533.882,-70.816,-7.745,0,-71.59,246.41
133,2.21888,driven,517.411,379.042,507.910,531.747,-72.093,-3.560,0,-62.25,245.73
134,2.23557,driven,516.763,376.985,517.846,529.981,-72.901,0.406,0,-43.04,241.17
135,2.25225,driven,516.278,375.379,528.163,527.917,-73.529,4.455,0,-24.89,228.37
136,2.26893,driven,516.278,375.379,537.863,526.849,-73.529,8.110,0,1.81,218.63
137,2.28562,driven,516.278,375.379,546.914,525.281,-73.529,11.550,0,44.07,204.37
138,2.3023,driven,517.415,379.053,556.884,526.874,-72.089,14.949,0,100.00,181.35
139,2.31898,driven,519.259,384.418,565.685,530.204,-69.965,17.664,0,168.86,146.14
140,2.33567,driven,522.508,392.589,573.871,536.710,-66.671,19.616,0,222.14,100.39
141,2.35235,driven,527.469,402.996,582.212,545.868,-62.353,20.965,0,278.44,46.05
142,2.36903,driven,534.001,414.270,589.243,556.949,-57.472,21.165,0,329.90,-18.57
143,2.38572,driven,543.448,427.479,595.783,571.250,-51.388,20.003,0,389.71,-119.59
144,2.4024,driven,555.838,441.203,601.481,587.236,-44.460,17.357,0,450.24,-249.91
145,2.41908,driven,572.109,455.076,603.385,604.845,-36.446,11.796,0,498.06,-379.48
146,2.43577,driven,591.343,467.182,603.353,619.710,-27.927,4.502,0,527.64,-476.26
147,2.45245,driven,613.174,476.660,603.380,629.346,-19.006,-3.670,0,521.94,-511.37
148,2.46913,driven,635.311,482.474,602.674,631.952,-10.427,-12.317,0,500.02,-500.55
149,2.48582,driven,656.125,484.845,603.427,628.483,-2.575,-20.147,0,465.56,-428.92
150,2.5025,driven,676.618,484.393,608.201,621.243,5.107,-26.562,0,431.61,-317.29
151,2.51918,driven,694.658,481.689,616.749,613.367,11.941,-30.611,0,398.59,-201.76
152,2.53587,driven,711.101,477.242,627.435,605.340,18.324,-33.150,0,370.95,-99.87
153,2.55255,driven,726.106,471.380,640.371,598.101,24.359,-34.081,0,358.91,-11.81
154,2.56923,driven,740.165,464.116,655.556,591.592,30.288,-33.573,0,346.20,75.13
155,2.58592,driven,752.881,455.816,672.791,586.180,35.977,-31.565,0,331.79,159.79
156,2.6026,driven,763.930,446.987,691.334,581.668,41.275,-28.326,0,309.24,237.92
157,2.61928,driven,773.651,437.666,712.294,577.825,46.320,-23.642,0,286.14,307.33
158,2.63597,driven,781.530,428.746,734.108,574.211,50.778,-18.056,0,259.72,374.20
159,2.65265,driven,788.244,419.880,758.017,569.864,54.944,-11.394,0,228.32,421.93
160,2.66933,driven,793.362,412.092,783.259,564.758,58.434,-3.786,0,195.03,465.31
161,2.68602,driven,797.264,405.364,807.843,557.998,61.347,3.965,0,155.68,497.31
162,2.7027,driven,800.044,400.029,833.828,549.253,63.600,12.757,0,104.77,532.84
163,2.71938,driven,801.649,396.695,858.435,538.767,64.986,21.787,0,48.96,573.56
164,2.73607,driven,801.931,396.088,882.079,526.415,65.236,31.591,0,9.17,587.91
165,2.75275,driven,801.931,396.088,903.360,510.635,65.236,41.524,0,-4.58,576.34
166,2.76943,driven,801.931,396.088,920.271,493.065,65.236,50.666,0,-4.31,538.46
167,2.78612,driven,801.931,396.088,933.244,474.610,65.236,59.122,0,-1.49,476.58
168,2.8028,driven,801.931,396.088,942.381,456.773,65.236,66.632,0,20.23,383.05
169,2.81948,driven,802.565,394.694,948.093,441.924,65.810,72.019,0,57.14,277.49
170,2.83617,driven,804.115,391.124,952.241,429.434,67.268,75.499,0,100.22,172.52
171,2.85285,driven,805.906,386.651,955.544,418.551,69.072,77.966,0,122.20,84.86
172,2.86953,driven,807.973,380.905,957.856,411.634,71.359,78.414,0,126.84,-8.57
173,2.88622,driven,809.573,375.880,959.072,408.423,73.334,77.720,0,133.66,-81.42
174,2.9029,driven,811.185,370.083,959.289,408.479,75.587,75.466,0,138.75,-155.94
175,2.91958,driven,812.738,363.427,958.980,408.394,78.147,72.908,0,150.61,-226.04
176,2.93627,driven,813.908,357.216,955.645,414.831,80.514,67.879,0,150.26,-289.54
177,2.95295,driven,814.903,350.292,951.214,419.777,83.133,62.990,0,145.24,-349.60
178,2.96963,driven,815.510,344.233,943.447,428.144,85.414,56.740,0,140.96,-385.16
179,2.98632,driven,815.876,338.148,932.846,436.775,87.697,49.863,0,129.16,-424.50
180,3.003,driven,815.999,332.430,919.781,444.851,89.839,42.712,0,121.55,-438.91
181,3.01968,driven,815.937,327.605,904.229,452.560,91.646,35.245,0,108.67,-459.25
182,3.03637,driven,815.726,322.849,886.388,458.555,93.429,27.506,0,89.14,-477.71
183,3.05305,driven,815.479,319.383,865.998,463.802,94.730,19.280,0,65.79,-485.63
184,3.06973,driven,815.287,317.245,845.153,467.302,95.534,11.257,0,42.43,-482.39
185,3.08642,driven,815.122,315.634,823.799,468.388,96.140,3.251,0,26.76,-484.91
186,3.1031,driven,815.015,314.665,802.273,467.134,96.505,-4.777,0,13.92,-488.41
187,3.11978,driven,814.979,314.351,780.138,463.331,96.624,-13.163,0,4.78,-485.12
188,3.13647,driven,814.972,314.297,760.340,457.211,96.644,-20.921,0,1.67,-470.75
189,3.15315,driven,814.947,314.078,741.533,448.315,96.727,-28.674,0,4.30,-441.16
190,3.16983,driven,814.932,313.950,725.342,437.977,96.775,-35.842,0,5.39,-417.52
191,3.18652,driven,814.887,313.579,711.902,426.730,96.915,-42.307,0,4.02,-377.53
192,3.2032,driven,814.887,313.579,700.150,414.794,96.915,-48.583,0,0.33,-338.67
193,3.21988,driven,814.887,313.579,691.777,404.425,96.915,-53.575,0,-1.28,-289.09
194,3.23657,driven,814.918,313.840,684.865,394.432,96.817,-58.214,0,-1.83,-243.47
195,3.25325,driven,814.926,313.907,680.079,386.192,96.791,-61.807,0,-12.19,-214.76
196,3.26993,driven,815.052,314.991,675.956,378.719,96.383,-65.385,0,-42.59,-205.75
197,3.28662,driven,815.341,317.820,672.829,373.491,95.318,-68.662,0,-93.68,-205.35
198,3.3033,driven,815.756,323.362,669.915,369.617,93.236,-72.403,0,-147.02,-199.93
199,3.31998,driven,815.998,331.295,667.839,369.477,90.264,-75.549,0,-202.20,-221.33
200,3.33667,driven,815.721,341.228,665.366,369.549,86.542,-79.333,0,-265.73,-256.94
201,3.35335,driven,814.354,354.385,662.126,369.735,81.587,-84.242,0,-322.25,-279.57
202,3.37003,driven,811.160,370.178,658.193,373.341,75.550,-88.815,0,-373.93,-260.00
203,3.38672,driven,806.172,385.951,653.314,379.358,69.352,-92.470,0,-403.06,-197.98
204,3.4034,driven,798.267,403.498,645.976,388.785,62.141,-95.518,0,-423.56,-136.50
205,3.42008,driven,788.544,419.451,636.638,401.187,55.140,-96.856,0,-439.11,-69.18
206,3.43677,driven,776.086,435.056,624.428,414.838,47.657,-97.593,0,-452.90,17.09
207,3.45345,driven,761.548,449.035,609.519,431.827,40.099,-96.458,0,-460.48,124.30
208,3.47013,driven,744.471,461.505,591.711,452.931,32.174,-93.213,0,-449.38,264.25
209,3.48682,driven,727.584,470.701,574.711,476.929,24.968,-87.667,0,-447.77,385.78
210,3.5035,driven,708.791,477.987,558.239,505.252,17.415,-79.735,0,-481.68,565.37
211,3.52018,driven,686.955,483.113,543.381,535.986,9.008,-69.783,0,-516.08,750.62
212,3.53687,driven,661.967,484.997,537.361,573.779,-0.387,-54.530,0,-560.91,870.36
213,3.55355,driven,638.779,483.071,541.412,601.091,-9.109,-39.523,0,-594.46,1006.06
214,3.57023,driven,610.832,475.832,549.682,616.080,-19.936,-23.558,0,-594.47,1077.92
215,3.58692,driven,587.945,465.326,579.673,618.102,-29.377,-3.099,0,-541.22,1063.41
216,3.6036,driven,569.975,453.472,603.821,602.681,-37.445,12.781,0,-426.99,892.45
217,3.62028,driven,557.289,442.608,622.645,580.947,-43.703,25.288,0,-331.09,673.69
218,3.63697,driven,548.418,433.390,637.208,557.990,-48.496,35.474,0,-254.97,573.65
219,3.65365,driven,541.986,425.619,649.381,534.593,-52.274,44.582,0,-209.41,507.98
220,3.67033,driven,536.842,418.563,658.649,511.148,-55.544,52.762,0,-179.38,462.34
221,3.68702,driven,532.717,412.221,665.117,488.897,-58.378,59.924,0,-153.21,421.95
222,3.7037,driven,529.565,406.860,670.176,467.171,-60.707,66.785,0,-128.31,380.29
223,3.72038,driven,527.028,402.148,673.151,447.504,-62.711,72.756,0,-114.79,332.32
224,3.73707,driven,524.767,397.579,674.213,430.363,-64.620,77.627,0,-125.85,258.33
225,3.75375,driven,522.348,392.217,673.659,414.887,-66.823,81.479,0,-147.77,177.65
226,3.77043,driven,519.552,385.214,671.568,402.541,-69.647,83.497,0,-165.89,90.17
227,3.78712,driven,517.162,378.262,669.447,393.035,-72.400,84.459,0,-171.00,13.46
228,3.8038,driven,515.053,370.994,667.203,387.097,-75.234,83.959,0,-167.47,-58.10
229,3.82048,driven,513.319,363.697,665.068,383.222,-78.043,82.668,0,-172.64,-120.25
230,3.83717,driven,511.948,356.335,662.574,383.180,-80.848,79.895,0,-167.89,-168.45
231,3.85385,driven,510.891,348.483,659.902,383.192,-83.815,76.888,0,-164.29,-225.86
232,3.87053,driven,510.332,342.071,656.411,387.567,-86.226,72.701,0,-158.98,-289.99
233,3.88722,driven,510.023,334.629,650.985,394.116,-89.015,67.120,0,-148.64,-349.13
234,3.9039,driven,510.048,328.163,643.600,402.815,-91.437,60.796,0,-145.60,-397.14
235,3.92058,driven,510.306,322.326,634.331,411.919,-93.625,54.156,0,-138.20,-451.39
236,3.93727,driven,510.855,315.843,620.887,422.155,-96.062,45.985,0,-130.95,-496.44
237,3.95395,driven,511.529,310.426,604.089,432.252,-98.106,37.227,0,-112.55,-519.49
238,3.97063,driven,512.187,306.221,586.036,440.218,-99.700,28.860,0,-89.34,-521.79
239,3.98732,driven,512.797,302.876,565.328,446.576,-100.973,20.080,0,-60.35,-524.16
240,4.004,driven,513.290,300.442,542.814,450.566,-101.903,11.126,0,-28.81,-531.18
241,4.02068,driven,513.290,300.442,519.917,453.298,-101.903,2.483,0,-5.85,-532.02
242,4.03737,driven,513.290,300.442,496.148,452.479,-101.903,-6.433,0,12.52,-522.46
243,4.05405,driven,513.213,300.808,473.198,448.483,-101.763,-15.161,0,30.70,-504.98
244,4.07073,driven,512.805,302.836,452.755,443.559,-100.989,-23.109,0,39.28,-474.70
245,4.08742,driven,512.424,304.872,433.910,436.190,-100.213,-30.875,0,26.99,-438.80
246,4.1041,driven,512.424,304.872,418.342,425.526,-100.213,-37.946,0,5.31,-405.36
247,4.12078,driven,512.406,304.973,405.703,414.625,-100.174,-44.219,0,-3.19,-369.52
248,4.13747,driven,512.406,304.973,394.850,402.900,-100.174,-50.205,0,-0.41,-330.26
249,4.15415,driven,512.415,304.925,386.456,391.778,-100.193,-55.412,0,-0.64,-286.51
250,4.17083,driven,512.426,304.865,380.525,382.396,-100.216,-59.553,0,-0.21,-230.28
251,4.18752,driven,512.415,304.925,375.987,374.181,-100.193,-63.086,0,-2.62,-170.32
252,4.2042,driven,512.446,304.751,373.436,368.666,-100.259,-65.308,0,-5.66,-97.60
253,4.22088,driven,512.510,304.401,372.254,365.535,-100.392,-66.449,0,-2.28,-39.70
254,4.23757,driven,512.510,304.401,372.254,365.535,-100.392,-66.449,0,0.87,-3.85
255,4.25425,driven,512.405,304.978,371.955,365.663,-100.173,-66.632,0,7.91,29.46
256,4.27093,driven,512.357,305.249,372.829,368.027,-100.070,-65.775,0,31.52,74.37
257,4.28762,driven,511.971,307.522,374.158,373.979,-99.206,-64.255,0,78.50,91.81
258,4.3043,driven,511.243,312.536,375.556,383.233,-97.309,-62.479,0,136.83,64.73
259,4.32098,driven,510.467,320.060,375.000,391.178,-94.476,-62.301,0,200.30,17.81
260,4.33767,driven,510.014,329.966,374.782,401.530,-90.762,-62.112,0,267.47,-15.34
261,4.35435,driven,510.472,344.006,374.523,414.198,-85.499,-62.692,0,342.70,-41.08
262,4.37103,driven,512.643,360.316,375.776,428.700,-79.335,-63.451,0,414.53,-87.46
263,4.38772,driven,517.569,379.527,378.549,443.422,-71.903,-65.316,0,460.15,-117.06
264,4.4044,driven,525.584,399.275,384.393,458.215,-63.915,-67.342,0,478.65,-95.86
265,4.42108,driven,536.051,417.399,393.759,473.630,-56.071,-68.437,0,467.27,-10.28
266,4.43777,driven,548.577,433.570,407.224,492.121,-48.405,-67.500,0,451.26,100.12
267,4.45445,driven,562.593,447.445,424.000,512.260,-41.015,-64.936,0,447.10,197.44
268,4.47113,driven,578.210,459.357,444.724,534.125,-33.654,-60.746,0,435.03,304.77
269,4.48782,driven,595.281,469.197,469.754,556.674,-26.270,-55.128,0,423.05,416.50
270,4.5045,driven,611.443,476.052,500.045,580.930,-19.692,-46.727,0,403.47,523.55
271,4.52118,driven,628.918,481.156,535.677,602.462,-12.871,-37.547,0,380.94,615.53
272,4.53787,driven,645.113,483.951,576.352,620.629,-6.714,-26.706,0,371.42,672.94
273,4.55455,driven,661.040,484.987,621.574,632.810,-0.734,-14.949,0,364.42,703.86
274,4.57123,driven,677.789,484.284,669.237,637.044,5.547,-3.204,0,366.14,713.58
275,4.58792,driven,693.837,481.860,716.249,633.210,11.628,8.423,0,367.81,720.76
276,4.6046,driven,709.307,477.824,763.518,620.898,17.617,20.752,0,360.78,710.51
277,4.62128,driven,724.896,471.921,806.569,601.298,23.863,32.263,0,365.87,657.81
278,4.63797,driven,738.903,464.845,842.313,577.607,29.742,42.523,0,374.25,578.69
279,4.65465,driven,753.526,455.345,873.115,550.778,36.276,51.410,0,381.21,507.17
280,4.67133,driven,766.707,444.490,898.433,522.318,42.674,59.424,0,393.15,437.05
281,4.68802,driven,778.748,432.057,918.639,494.021,49.158,66.109,0,394.86,362.84
282,4.7047,driven,789.709,417.755,934.790,466.340,55.910,71.485,0,395.83,287.57
283,4.72138,driven,798.593,402.877,946.861,440.632,62.403,75.714,0,389.79,227.48
284,4.73807,driven,805.609,387.423,955.804,416.586,68.762,79.012,0,375.77,163.32
285,4.75475,driven,810.798,371.557,962.095,394.322,75.016,81.443,0,362.30,110.30
286,4.77143,driven,814.045,356.381,965.737,376.342,80.831,82.504,0,346.52,62.68
287,4.78812,driven,815.716,341.313,967.753,358.456,86.510,83.567,0,331.12,19.57
288,4.8048,driven,815.914,326.865,967.940,344.097,91.923,83.533,0,314.26,3.95
289,4.82148,driven,814.848,313.263,966.742,331.625,97.034,83.107,0,297.59,-34.64
290,4.83817,driven,812.769,300.725,964.646,319.231,101.795,83.053,0,286.06,-39.06
291,4.85485,driven,809.652,288.386,960.829,311.931,106.562,81.148,0,276.29,-86.40
292,4.87153,driven,805.773,277.002,956.671,302.279,111.067,80.490,0,262.68,-148.03
293,4.88822,driven,801.351,266.670,950.184,302.134,115.277,76.598,0,239.01,-183.54
294,4.9049,driven,796.638,257.502,943.307,301.059,119.138,73.460,0,225.25,-220.17
295,4.92158,driven,791.839,249.480,935.775,301.359,122.639,70.179,0,213.48,-201.63
296,4.93827,driven,786.198,241.273,926.166,303.062,126.369,66.181,0,206.35,-224.23
297,4.95495,driven,780.997,234.605,916.971,304.747,129.536,62.713,0,195.24,-273.69
298,4.97163,driven,775.319,228.108,904.410,310.233,132.768,57.537,0,177.10,-323.00
