n,t_s,theta1_n,theta1_np1,theta2_n,theta2_np1
0,6.0000,-76.2386,-3.0364,-68.6005,66.6205
1,8.0000,-3.0364,-120.2771,66.6205,-37.2308
2,10.0000,-120.2771,-106.3856,-37.2308,-119.6112
3,12.0000,-106.3856,-66.1060,-119.6112,-25.2864
4,14.0000,-66.1060,-111.8198,-25.2864,-111.6875
5,16.0000,-111.8198,-81.1876,-111.6875,98.0975
6,18.0000,-81.1876,-121.7107,98.0975,-64.1535
7,20.0000,-121.7107,-98.2439,-64.1535,-76.8343
8,22.0000,-98.2439,-81.1659,-76.8343,-60.5346
9,24.0000,-81.1659,-98.8020,-60.5346,-71.8255
10,26.0000,-98.8020,-127.0573,-71.8255,-32.4480
11,28.0000,-127.0573,-132.3261,-32.4480,-52.7683
12,30.0000,-132.3261,-114.4760,-52.7683,-76.1692
13,32.0000,-114.4760,-106.0846,-76.1692,-52.2610
14,34.0000,-106.0846,-104.8897,-52.2610,-131.2074
