t_s,theta1_deg,omega1_deg_s,theta2_deg,omega2_deg_s
5.5556,-0.4590,0.1804,-1.7810,-0.3804
6.6667,-0.6420,0.4341,-1.5730,-0.6560
7.7778,-0.6352,0.7447,-1.5938,-0.9407
8.8889,-0.4480,-0.3604,-1.7800,0.5523
10.0000,-0.4420,0.3627,-1.7880,-0.4227
11.1111,53.4253,169.4130,74.1644,80.1601
12.2222,80.2877,405.5905,85.3369,-201.2558
13.3333,59.0326,387.2595,96.9573,98.1048
14.4444,65.5532,409.5700,94.1363,-33.9508
15.5556,62.9196,388.7744,93.3266,-30.9127
16.6667,67.2716,404.0081,91.3225,-91.4577
17.7778,64.3060,406.3212,95.1427,-39.0872
18.8889,66.5698,392.6799,97.0806,-26.8762
20.0000,64.5435,405.3143,94.9501,-46.4750
21.1111,65.8353,404.2929,96.1253,-52.6661
22.2222,62.7106,399.5489,93.0995,-43.6338
23.3333,66.7945,412.9197,95.0820,-50.8748
24.4444,64.2801,409.0103,96.4207,-29.9302
25.5556,63.0001,398.8225,95.6907,-23.8723
26.6667,64.3508,404.4711,97.5960,-3.7868
27.7778,63.5725,400.1411,97.3718,28.1305
28.8889,63.5980,403.7733,95.6948,-9.9797
30.0000,63.0009,407.9872,99.5583,-4.3706
31.1111,62.8001,404.3964,96.1068,-42.4109
32.2222,62.6614,391.6703,96.3388,3.0785
33.3333,63.9269,402.6135,99.3870,21.1761
34.4444,63.9826,402.3441,96.8481,-8.1657
35.5556,63.0908,399.3376,97.8394,-4.2131
36.6667,65.0890,405.3277,97.9836,-60.4532
37.7778,63.9069,404.2823,94.8467,-10.0715
38.8889,63.0431,408.5949,99.1602,54.7984
40.0000,64.4994,411.0086,97.1017,-14.4116
41.1111,64.5986,404.9099,96.4303,-16.6854
42.2222,65.9051,416.7836,100.5726,-10.7222
43.3333,65.2076,406.3816,96.4799,-21.0127
44.4444,65.4089,407.0353,100.6384,0.0544
45.5556,66.4680,417.0110,97.5417,-9.5953
46.6667,66.7768,414.7202,98.8317,8.1648
47.7778,65.9771,422.6514,98.3147,-57.5977
48.8889,64.3100,410.8777,95.2855,-80.0534
50.0000,65.9645,427.7557,96.6636,-59.8197
51.1111,67.1820,420.4522,97.4293,-46.4847
52.2222,64.6017,405.5417,96.1196,-8.3766
53.3333,66.1540,418.7237,96.2681,-13.4702
54.4444,66.6329,424.0210,98.5120,-26.1069
55.5556,63.7125,415.3394,95.6583,-24.3451
56.6667,64.5317,407.6532,93.2113,-70.3542
57.7778,64.6057,421.8565,96.0798,-27.9353
58.8889,65.9175,423.4226,95.4584,-48.2106
60.0000,64.7137,415.3638,96.3512,-50.7448
61.1111,64.9291,412.8966,95.4421,-59.5098
62.2222,62.8360,405.3537,98.1679,-10.5043
63.3333,64.3261,401.3713,95.0990,-19.5000
64.4444,65.7528,412.9076,95.8286,-44.7197
65.5556,64.8352,415.6520,95.2908,-62.0947
66.6667,65.7470,405.0388,96.7707,-17.3562
67.7778,65.3199,418.8491,96.9871,-26.1240
68.8889,66.5466,418.3520,96.5562,-48.8736
70.0000,65.7130,422.3729,105.9703,24.6397
71.1111,63.8971,411.0348,95.7366,-61.5598
72.2222,63.8332,403.0950,92.8674,-50.7784
73.3333,67.5015,416.9620,98.0238,-42.9363
74.4444,64.6881,410.4405,94.2528,-37.6736
75.5556,65.7456,422.1608,97.5378,-48.5136
76.6667,66.5095,417.6711,98.5664,-7.1201
77.7778,58.7101,396.7421,94.0019,-1.3712
78.8889,65.7519,414.5390,93.4103,-45.6509
80.0000,64.3976,412.5307,96.8689,-19.5353
81.1111,63.4712,420.7632,95.7468,-18.0776
82.2222,60.6780,398.1804,99.7515,58.1052
83.3333,63.2634,421.3299,95.8638,-36.9000
84.4444,63.7124,401.4084,96.1296,-13.9459
85.5556,64.2227,409.9088,96.7061,-8.9238
86.6667,65.3205,420.0135,98.3621,-26.4595
87.7778,61.7327,403.3763,90.3423,-8.3136
88.8889,65.1831,409.8889,97.2137,-64.4010
90.0000,65.4180,416.2989,98.8646,-34.4636
