t_s,theta1_deg,omega1_deg_s,theta2_deg,omega2_deg_s
5.4348,52.3569,-327.6316,179.4425,-20.0374
6.5217,37.9291,-338.6289,153.3827,-84.2651
7.6087,56.1890,-344.8663,109.3128,78.3091
8.6957,61.9410,-340.2041,118.8603,220.4940
9.7826,58.8838,-337.2923,122.0295,183.4972
10.8696,59.3748,-338.1882,118.3111,191.1476
11.9565,58.8411,-338.6229,121.9151,134.7447
13.0435,55.8815,-335.4685,115.9599,119.2477
14.1304,58.3404,-346.3931,118.8827,155.1985
15.2174,59.1413,-318.8988,113.8013,115.7080
16.3043,59.4677,-351.7928,128.7152,242.7013
17.3913,57.2687,-349.1730,119.7770,150.9232
18.4783,59.2035,-353.8373,121.7219,168.3125
19.5652,57.3232,-343.9524,120.1478,129.1724
20.6522,58.3530,-356.0852,122.2287,162.3176
21.7391,56.3815,-339.2152,118.7606,109.9420
22.8261,59.1383,-350.8499,124.2964,186.3617
23.9130,58.6292,-338.3734,121.3187,126.0494
25.0000,57.8958,-346.4214,122.6894,137.7017
26.0870,55.6310,-329.4935,115.1052,148.2635
27.1739,58.8895,-338.5754,116.6243,149.2201
28.2609,56.4068,-328.0450,116.5375,112.2939
29.3478,59.2259,-346.5652,117.8917,168.5534
30.4348,58.5301,-334.4123,117.0170,112.0960
31.5217,59.7302,-336.5591,119.7845,207.9840
32.6087,58.9896,-342.5378,120.4036,159.9862
33.6957,60.2901,-335.2121,118.2796,136.3046
34.7826,60.6418,-338.6240,120.5744,192.3928
35.8696,58.2827,-336.3253,121.4834,141.6900
36.9565,60.8337,-349.0163,120.3716,152.0793
38.0435,58.0766,-334.3170,120.0462,156.9595
39.1304,62.0481,-347.5114,120.8698,178.5122
40.2174,58.8527,-347.9148,126.1180,140.5043
41.3043,59.7450,-344.7780,119.8449,174.6478
42.3913,58.7473,-349.4770,122.6507,131.9881
43.4783,58.6181,-350.9870,121.4348,129.3992
44.5652,58.2795,-351.0268,123.6384,151.6297
45.6522,57.0733,-353.6484,116.3069,109.0530
46.7391,59.4725,-367.0667,122.4995,138.1708
47.8261,57.2649,-346.5037,118.8515,110.8153
48.9130,57.7060,-336.6616,117.4743,115.7444
50.0000,59.2312,-350.6025,118.7033,171.4250
51.0870,59.4027,-355.5100,123.3438,155.9611
52.1739,59.4664,-339.3958,115.6331,132.1184
53.2609,60.3955,-347.1079,121.5065,174.5346
54.3478,59.3289,-344.8111,120.0977,148.5676
55.4348,59.9101,-338.1577,119.5539,150.6957
56.5217,59.6729,-342.9911,118.7270,137.9155
57.6087,60.3373,-341.2069,121.5601,197.3143
58.6957,58.4623,-347.3913,119.8351,142.5714
59.7826,59.7574,-346.1475,121.7762,164.5644
60.8696,59.9195,-353.0417,121.7773,180.3778
61.9565,59.2751,-344.8573,122.7927,167.6167
63.0435,59.0915,-348.3349,120.1670,217.1372
64.1304,59.5935,-354.8329,123.8240,149.1483
65.2174,58.2067,-355.5084,121.8092,164.7321
66.3043,56.1984,-339.5474,116.5029,134.6284
67.3913,59.1311,-357.6050,121.7903,160.6932
