n,t_s,theta1_n,theta1_np1,theta2_n,theta2_np1
0,5.0000,18.1281,20.6428,111.1251,98.7768
1,6.0000,20.6428,14.4321,98.7768,111.4714
2,7.0000,14.4321,13.3540,111.4714,101.9307
3,8.0000,13.3540,17.4102,101.9307,90.4852
4,9.0000,17.4102,16.6142,90.4852,94.5866
5,10.0000,16.6142,23.9474,94.5866,96.8970
6,11.0000,23.9474,12.4797,96.8970,105.2836
7,12.0000,12.4797,9.1182,105.2836,100.7915
8,13.0000,9.1182,13.0577,100.7915,86.6726
9,14.0000,13.0577,19.0957,86.6726,90.2462
10,15.0000,19.0957,16.8077,90.2462,96.6701
11,16.0000,16.8077,14.7696,96.6701,99.1223
12,17.0000,14.7696,18.2323,99.1223,98.6104
13,18.0000,18.2323,25.4136,98.6104,95.3028
14,19.0000,25.4136,9.8085,95.3028,100.0214
15,20.0000,9.8085,16.3958,100.0214,92.8335
16,21.0000,16.3958,15.1313,92.8335,94.5985
17,22.0000,15.1313,13.8514,94.5985,100.0518
18,23.0000,13.8514,14.7050,100.0518,95.0104
19,24.0000,14.7050,18.1591,95.0104,98.3498
20,25.0000,18.1591,19.8306,98.3498,97.4381
21,26.0000,19.8306,13.8771,97.4381,104.8775
22,27.0000,13.8771,16.1159,104.8775,101.3128
23,28.0000,16.1159,19.0594,101.3128,95.7301
24,29.0000,19.0594,16.3074,95.7301,100.7972
25,30.0000,16.3074,20.5953,100.7972,97.8953
26,31.0000,20.5953,14.7867,97.8953,102.8624
27,32.0000,14.7867,11.8106,102.8624,114.0429
28,33.0000,11.8106,13.5851,114.0429,104.8206
29,34.0000,13.5851,12.9262,104.8206,100.7639
30,35.0000,12.9262,15.8037,100.7639,93.2210
31,36.0000,15.8037,27.3491,93.2210,93.5399
32,37.0000,27.3491,13.3544,93.5399,114.7895
