t_s,theta1_deg,omega1_deg_s
5.6446,2.6973,115.9970
6.6471,10.4347,78.3393
7.6442,8.1543,29.2461
8.6323,4.8188,47.8885
9.6361,2.6547,117.9899
10.6410,6.5113,12.7171
11.6531,8.1312,104.8578
12.6407,10.4639,19.5772
13.6218,6.1393,27.3587
14.6228,2.9457,119.4224
15.6359,4.9479,73.3698
16.6434,4.4569,50.0852
17.6463,4.6313,25.6380
18.6421,4.9195,67.2233
19.6571,8.4518,36.6209
20.6366,7.0085,16.6785
21.6330,5.4366,74.8143
22.6354,7.7329,25.7894
23.6371,3.1564,64.3227
24.6388,6.7524,12.9205
25.6422,4.1793,56.7989
26.6450,8.6230,48.4644
27.6391,8.8269,16.5429
28.6371,3.4924,90.1834
29.6431,5.4714,85.4665
30.6471,3.5491,46.9148
31.6539,4.7095,46.4126
32.6509,11.7493,9.5107
33.6521,10.2650,-14.0230
34.6380,8.8123,26.2738
35.6298,6.8368,24.6844
36.6261,5.6890,67.6134
37.6600,10.0046,98.1790
