stem,x_param,theta1_deg,omega1_deg_s
3V_1.5Hz,1.5000,-9.3166,408.2010
3V_1.5Hz,1.5000,-12.0759,417.6638
3V_1.5Hz,1.5000,-15.3011,384.5899
3V_1.5Hz,1.5000,-15.1638,399.4838
3V_1.5Hz,1.5000,-11.0658,403.4995
3V_1.5Hz,1.5000,-14.5144,410.7393
3V_1.5Hz,1.5000,-13.1592,404.6078
3V_1.5Hz,1.5000,-11.0302,412.2088
3V_1.5Hz,1.5000,-12.1827,414.0016
3V_1.5Hz,1.5000,-12.4922,420.7325
3V_1.5Hz,1.5000,-12.3598,420.0761
3V_1.5Hz,1.5000,-12.2529,423.9931
3V_1.5Hz,1.5000,-12.9657,401.0320
3V_1.5Hz,1.5000,-11.7197,410.7330
3V_1.5Hz,1.5000,-12.7627,415.1561
3V_1.5Hz,1.5000,-11.4976,424.5032
3V_1.5Hz,1.5000,-14.5139,403.4431
3V_1.5Hz,1.5000,-12.5195,422.2561
3V_1.5Hz,1.5000,-11.2301,420.9435
3V_1.5Hz,1.5000,-11.1201,416.1486
3V_1.5Hz,1.5000,-11.3682,417.2347
3V_1.5Hz,1.5000,-11.6902,416.6308
3V_1.5Hz,1.5000,-12.8450,406.2246
3V_1.5Hz,1.5000,-11.4746,413.0210
3V_1.5Hz,1.5000,-10.8622,420.0268
3V_1.5Hz,1.5000,-11.7789,406.2256
3V_1.5Hz,1.5000,-13.9912,392.9580
3V_1.5Hz,1.5000,-12.9799,410.7176
3V_1.5Hz,1.5000,-13.0092,409.5452
3V_1.5Hz,1.5000,-18.9539,376.6119
3V_1.5Hz,1.5000,-16.7635,371.1097
3V_1.5Hz,1.5000,-13.5139,410.1251
3V_1.5Hz,1.5000,-13.6702,417.2867
3V_1.5Hz,1.5000,-15.8258,394.5072
3V_1.5Hz,1.5000,-15.1866,392.7779
3V_1.5Hz,1.5000,-11.6156,401.3375
3V_1.5Hz,1.5000,-12.6597,415.8038
3V_1.5Hz,1.5000,-13.7175,407.1404
3V_1.5Hz,1.5000,-12.0917,408.5893
3V_1.5Hz,1.5000,-13.1197,399.0859
3V_1.5Hz,1.5000,-11.9057,406.5844
3V_1.5Hz,1.5000,-14.0728,396.3959
3V_1.5Hz,1.5000,-10.5272,404.0785
3V_1.5Hz,1.5000,-11.5324,394.6033
3V_1.5Hz,1.5000,-11.3765,400.0158
3V_1.5Hz,1.5000,-11.8008,406.9007
3V_1.5Hz,1.5000,-10.6829,410.6111
3V_1.5Hz,1.5000,-11.7085,412.0429
3V_1.5Hz,1.5000,-11.4670,408.8123
3V_1.5Hz,1.5000,-10.3845,411.1712
3V_1.5Hz,1.5000,-11.0420,408.7872
3V_1.5Hz,1.5000,-12.6985,397.8298
3V_1.5Hz,1.5000,-9.5415,411.8039
3V_1.5Hz,1.5000,-9.3284,416.6839
3V_1.5Hz,1.5000,-11.8382,399.8917
3V_1.5Hz,1.5000,-11.8188,404.0975
