t_s,theta1_deg,omega1_deg_s
5.0505,68.1930,-23.0795
6.0606,60.2132,80.9735
7.0707,80.6095,-140.9396
8.0808,66.7710,19.8255
9.0909,67.6957,-194.8772
10.1010,70.9580,35.2382
11.1111,80.3320,-261.7187
12.1212,51.8408,-137.1232
13.1313,71.3512,-248.5494
14.1414,58.4528,-72.4700
15.1515,70.9087,-178.0962
16.1616,68.2000,6.8354
17.1717,79.1802,-291.3775
18.1818,64.4380,-53.9412
19.1919,57.0250,-4.3051
20.2020,47.4060,-87.3063
21.2121,80.3123,-200.6068
22.2222,64.3940,-15.5428
23.2323,57.4141,-249.4088
24.2424,68.9491,-69.6506
25.2525,57.4770,-1.4311
26.2626,71.4203,-296.7816
27.2727,46.5567,-253.0823
28.2828,53.7137,-141.7510
29.2929,75.3499,-192.6726
30.3030,67.1150,-18.9281
31.3131,57.1813,-240.9221
32.3232,63.0785,-40.5778
33.3333,60.1350,3.0722
34.3434,72.7418,-141.6250
35.3535,64.4010,-5.3051
36.3636,68.9721,-207.6653
37.3737,83.7415,-265.6280
38.3838,48.7518,-211.5199
39.3939,57.7914,-133.3706
40.4040,69.0265,-235.6201
41.4141,61.1801,-43.7225
42.4242,72.7012,-244.9387
43.4343,67.4370,-15.0701
44.4444,68.6998,-111.3966
45.4545,66.6350,-34.1028
46.4646,49.9204,-180.4132
47.4747,53.1734,-145.4371
48.4848,52.1782,-163.8157
49.4949,42.1457,-186.1635
50.5051,48.7326,-129.3234
51.5152,93.7718,-289.6416
52.5253,51.5564,-118.4350
53.5354,46.3520,-106.3470
54.5455,63.3480,-30.6272
55.5556,66.5563,-223.1752
56.5657,68.4910,-21.7004
57.5758,59.5760,-395.4229
58.5859,71.2753,-118.8836
59.5960,51.0600,2.5194
60.6061,68.8836,-186.0915
61.6162,68.4950,25.6363
62.6263,67.6702,-306.5585
63.6364,54.2937,-191.6259
