frame,time_s,gx_crop,gy_crop,rx_crop,ry_crop
211,3.520183,375,467,520,504
212,3.536867,373,468,497,551
213,3.553550,370,470,459,590
214,3.570233,367,471,410,616
215,3.586917,361,473,356,625
216,3.603600,350,476,303,622
217,3.620283,336,479,258,611
218,3.636967,319,480,216,594
219,3.653650,302,480,182,574
220,3.670333,283,478,151,555
221,3.687017,268,474,126,533
222,3.703700,256,470,109,512
223,3.720383,250,466,99,489
224,3.737067,248,465,95,467
225,3.753750,250,466,98,448
226,3.770433,252,468,103,431
227,3.787117,256,470,113,417
228,3.803800,262,472,123,406
229,3.820483,270,475,136,400
230,3.837167,280,478,149,396
231,3.853850,292,480,163,397
232,3.870533,305,481,175,399
233,3.887217,320,481,186,405
234,3.903900,334,480,195,414
235,3.920583,346,478,202,425
236,3.937267,356,475,208,438
237,3.953950,363,472,212,453
238,3.970633,367,472,213,470
239,3.987317,363,472,211,487
240,4.004000,357,474,209,508
241,4.020683,350,476,207,531
242,4.037367,340,479,208,556
243,4.054050,327,480,214,582
244,4.070733,310,481,225,608
245,4.087417,290,481,245,625
246,4.104100,267,474,270,625
247,4.120783,251,467,293,612
248,4.137467,238,461,312,591
249,4.154150,227,454,326,569
250,4.170833,220,449,339,546
251,4.187517,216,445,348,524
252,4.204200,215,445,358,504
253,4.220883,216,447,366,486
254,4.237567,220,450,374,468
255,4.254250,227,456,382,454
256,4.270933,238,461,390,442
257,4.287617,249,467,399,432
258,4.304300,263,473,408,424
259,4.320983,279,477,420,419
260,4.337667,295,480,434,416
261,4.354350,312,481,451,415
262,4.371033,330,480,469,418
263,4.387717,347,477,490,422
264,4.404400,364,471,511,431
265,4.421083,382,464,533,443
266,4.437767,397,454,549,459
267,4.454450,411,444,559,478
268,4.471133,423,433,559,498
269,4.487817,431,424,551,515
270,4.504500,433,422,541,528
271,4.521183,430,426,530,539
272,4.537867,426,430,518,551
273,4.554550,420,437,505,562
274,4.571233,409,446,491,573
275,4.587917,396,456,476,583
276,4.604600,382,464,460,593
277,4.621283,365,472,442,600
278,4.637967,346,478,420,607
279,4.654650,327,480,397,613
280,4.671333,308,481,370,617
281,4.688017,292,480,340,621
282,4.704700,279,477,308,625
283,4.721383,270,475,273,626
284,4.738067,266,474,236,622
285,4.754750,266,474,200,611
286,4.771433,269,474,169,589
287,4.788117,272,475,147,561
288,4.804800,279,477,135,526
289,4.821483,287,478,134,491
290,4.838167,293,479,142,457
291,4.854850,300,481,156,427
292,4.871533,306,481,176,402
293,4.888217,313,482,199,382
294,4.904900,325,480,224,366
295,4.921583,336,479,250,354
296,4.938267,346,477,275,343
297,4.954950,355,474,298,334
298,4.971633,361,472,327,325
299,4.988317,364,471,351,321
300,5.005000,363,471,379,321
301,5.021683,362,472,408,327
302,5.038367,360,472,434,340
303,5.055050,357,474,460,362
304,5.071733,350,476,478,395
305,5.088417,343,478,489,436
306,5.105100,336,479,488,482
307,5.121783,332,479,473,533
308,5.138467,331,480,443,579
309,5.155150,329,480,397,614
310,5.171833,328,480,341,631
311,5.188517,325,480,284,626
312,5.205200,319,481,235,608
313,5.221883,310,481,194,579
314,5.238567,299,480,164,546
315,5.255250,287,479,137,515
316,5.271933,274,476,122,482
317,5.288617,266,474,114,452
318,5.305300,260,472,114,425
319,5.321983,258,471,121,403
320,5.338667,259,472,133,386
321,5.355350,263,473,147,374
322,5.372033,268,475,163,365
323,5.388717,276,477,178,359
324,5.405400,286,479,193,357
325,5.422083,299,480,207,358
326,5.438767,314,481,219,360
327,5.455450,330,480,229,364
328,5.472133,347,477,236,371
329,5.488817,361,473,242,377
330,5.505500,372,469,246,385
331,5.522183,381,465,248,393
332,5.538867,387,462,248,401
333,5.555550,388,462,245,409
334,5.572233,383,464,239,416
335,5.588917,377,467,231,425
336,5.605600,369,470,221,436
337,5.622283,359,474,209,449
338,5.638967,348,477,196,465
339,5.655650,335,480,181,483
340,5.672333,320,481,168,506
341,5.689017,303,480,157,531
342,5.705700,283,477,152,557
343,5.722383,261,473,157,582
344,5.739067,238,463,173,598
345,5.755750,220,450,196,598
346,5.772433,209,440,218,591
347,5.789117,203,434,238,582
348,5.805800,202,433,257,577
349,5.822483,206,437,275,575
350,5.839167,212,443,293,575
351,5.855850,221,449,308,577
352,5.872533,232,458,323,581
353,5.889217,247,466,337,588
354,5.905900,264,472,349,598
355,5.922583,284,478,359,610
356,5.939267,306,481,365,620
357,5.955950,331,481,367,627
358,5.972633,355,475,365,625
359,5.989317,378,467,365,616
360,6.006000,395,457,367,605
361,6.022683,407,448,371,594
362,6.039367,416,440,376,587
363,6.056050,422,436,381,582
364,6.072733,424,432,388,580
365,6.089417,425,432,396,582
366,6.106100,423,434,404,586
367,6.122783,416,441,413,594
368,6.139467,407,449,424,600
369,6.156150,392,458,435,603
370,6.172833,376,467,445,601
371,6.189517,359,474,449,592
372,6.206200,341,478,447,579
373,6.222883,320,480,443,567
