t_s,theta1_deg,omega1_deg_s,theta2_deg,omega2_deg_s
5.3030,10.2490,42.3886,97.4673,897.1500
6.0606,44.4768,-202.2981,81.4029,549.1310
6.8182,53.6126,-26.2796,84.3094,-859.5388
7.5758,16.4765,-248.1834,66.8816,956.6553
8.3333,51.1141,-141.7012,89.9366,362.5956
9.0909,40.4092,22.4043,86.4791,-882.8599
9.8485,16.7287,-67.7462,100.1207,867.0570
10.6061,44.3568,-226.8233,94.0632,629.6834
11.3636,48.9704,-294.6522,-171.1874,-525.4260
12.1212,21.5692,73.8570,125.5765,775.3127
12.8788,44.3524,-234.7855,97.9543,579.3770
13.6364,52.5704,-175.4452,137.6494,-672.2581
14.3939,22.8617,-388.3002,58.7489,978.9484
15.1515,34.8151,-543.9418,48.8921,1097.8703
15.9091,39.9586,-507.2985,48.2327,1051.8949
16.6667,46.3855,-525.1388,25.5204,1052.2866
17.4242,53.0773,-425.9828,-4.8374,821.3880
18.1818,52.3040,-434.2843,-0.1076,907.4755
18.9394,46.9611,-509.7315,21.6495,1024.4478
19.6970,54.0839,-425.5705,-3.9365,797.8646
20.4545,57.4013,-375.2910,-12.2494,672.6254
21.2121,41.4860,-509.5078,28.0272,1063.1121
21.9697,42.9122,-521.3460,33.1457,1020.9308
22.7273,53.2091,-457.3978,4.3083,892.9835
23.4848,52.1570,-476.9771,6.1868,958.0480
24.2424,53.6051,-446.8973,2.9418,879.0486
25.0000,52.7067,-464.5964,5.1427,931.3294
25.7576,60.3369,-298.3534,-30.1701,459.9308
26.5152,35.1435,-469.5943,21.9465,1105.0297
27.2727,58.1995,-297.6488,-17.1098,485.7016
28.0303,57.1868,-286.0871,-24.4138,615.0655
28.7879,47.5090,-411.1456,-1.5608,909.0349
29.5455,53.3842,-443.8098,3.2342,887.3850
30.3030,64.7110,-263.5892,-50.9500,307.0000
31.0606,48.6626,-399.2053,11.0718,908.3181
31.8182,57.2443,-299.0009,-34.7835,474.9239
32.5758,42.2634,-469.9648,35.1904,1004.7814
33.3333,53.3806,-445.0979,6.0505,885.2056
34.0909,61.8388,-284.6621,-34.9097,375.7558
34.8485,37.9054,-484.6639,39.6432,1033.4485
35.6061,51.7693,-459.7727,11.8715,954.4600
36.3636,60.5519,-262.4234,-77.4742,112.8545
37.1212,52.5413,-265.8101,-86.3261,-230.9654
37.8788,58.1533,-255.8677,-50.3128,-39.9532
38.6364,38.3163,-444.8146,32.5901,980.8307
39.3939,56.3563,-327.0608,-23.2175,514.0411
40.1515,35.5250,-487.0068,39.7514,1032.1738
40.9091,51.0503,-467.4331,18.4093,977.4341
41.6667,62.6202,-266.9796,-57.3022,286.0610
42.4242,55.1012,-258.9256,-18.4913,546.6259
43.1818,46.2188,-420.2933,-8.3904,939.7761
43.9394,38.6060,-508.1031,26.6685,1082.2376
44.6970,51.7532,-451.2473,10.5982,960.2404
45.4545,61.9724,-260.2841,-55.8986,300.4402
46.2121,53.6608,-302.8037,-13.9925,558.2709
46.9697,51.3953,-378.6008,-15.0534,754.0711
47.7273,45.6490,-518.4862,29.7294,1063.5831
48.4848,61.4715,-298.5374,-31.2577,468.7548
49.2424,44.4401,-490.0417,23.9150,1070.5923
50.0000,50.3819,-497.9318,18.9003,973.8269
50.7576,64.2777,-271.4507,-54.2843,247.3216
51.5152,53.1382,-337.7097,-3.9077,665.4161
52.2727,58.4890,-270.4968,-43.2992,433.5207
53.0303,42.0321,-462.9176,26.1558,1071.1667
53.7879,60.7014,-317.1620,-26.8217,484.3748
54.5455,49.3712,-463.9211,10.8218,1020.8880
55.3030,53.5563,-443.1831,4.7733,916.1311
56.0606,63.8079,-277.7672,-36.9076,422.7145
56.8182,39.0372,-479.9374,42.4216,1070.8741
57.5758,55.2878,-423.7617,4.2212,869.6920
58.3333,63.0900,-261.2303,-71.2189,176.6580
59.0909,56.8527,-200.7042,-65.3349,-43.8369
59.8485,51.8332,-249.2017,-25.5510,356.4883
60.6061,39.4342,-503.4024,19.6252,1041.4710
61.3636,51.0250,-481.0737,19.0477,940.2656
62.1212,60.2241,-315.7197,-26.8137,555.2685
62.8788,39.9850,-504.5366,36.7226,1059.1555
63.6364,47.8558,-495.0469,23.2816,1005.2120
64.3939,61.7063,-325.7281,-24.4034,520.0514
65.1515,37.3481,-504.7105,43.1306,1077.3035
65.9091,46.9964,-500.0163,32.1973,1004.9923
66.6667,64.1139,-249.7074,-46.8049,370.9786
67.4242,44.1752,-437.5848,17.4964,1005.1846
68.1818,61.0230,-314.1641,-27.3718,490.2326
68.9394,36.0079,-495.3565,46.1761,1002.2638
69.6970,46.5356,-507.2784,30.0994,1055.1573
70.4545,65.7197,-270.6599,-58.7908,246.6236
71.2121,53.0216,-269.1396,-24.2320,422.4694
71.9697,41.6519,-497.6139,16.8756,1014.8054
72.7273,47.9116,-523.3794,27.3594,987.8451
73.4848,65.5338,-267.9287,-56.0163,252.8583
74.2424,53.5151,-323.7200,-4.1938,620.7978
75.0000,56.5570,-281.9136,-40.4414,464.0433
75.7576,40.0666,-467.2830,34.6694,1054.2242
76.5152,60.6478,-352.3458,-14.5758,575.2605
77.2727,54.8963,-398.7770,-9.5220,774.3133
78.0303,41.6515,-517.9403,37.9022,1117.2351
78.7879,43.9714,-501.5136,28.8764,1059.1087
79.5455,53.3420,-476.0137,14.8884,1004.1550
80.3030,57.5616,-358.1897,-14.3124,648.8479
81.0606,46.4575,-504.7665,19.3185,1068.6173
81.8182,47.8054,-515.4240,27.5262,1069.6179
82.5758,59.5676,-374.5336,-10.5891,751.1347
83.3333,60.9238,-322.2222,-21.4545,486.3648
84.0909,41.9562,-515.9735,40.8177,1082.7935
84.8485,45.5550,-516.5223,39.1373,1005.9930
85.6061,58.9612,-330.9270,-21.0181,601.4864
86.3636,46.1812,-508.5199,30.1129,1045.8801
87.1212,52.5901,-493.7547,18.6182,1080.1964
87.8788,58.7160,-382.4965,-9.5942,774.0540
88.6364,56.2044,-405.2947,-5.8441,810.1613
89.3939,44.8511,-534.5701,33.5586,1091.4837
90.1515,49.1500,-526.3596,29.4662,1055.0563
90.9091,60.0864,-310.1077,-29.5907,477.1241
91.6667,40.2427,-508.6394,39.6564,1118.6778
92.4242,53.9878,-475.6137,11.0195,931.9376
93.1818,63.1573,-259.8535,-69.5732,202.0407
93.9394,57.5857,-208.7417,-60.6326,-0.0344
94.6970,50.2627,-285.2016,-18.2729,501.0323
95.4545,41.8421,-498.6185,15.1227,1043.8641
96.2121,50.4266,-512.2823,20.8110,992.6209
96.9697,64.0120,-263.5995,-66.1470,216.3364
97.7273,56.7495,-220.3683,-42.0664,259.3781
98.4848,35.8493,-469.1707,32.5680,1032.9617
