frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout,omega1_deg_s,omega2_deg_s,suspect,arm_length_px,arm_dev_pct,omega_cap_applied,delta_omega_suspect,swap_suspect,omega_cap_suspect
52,0.86753,free_swing,581,492,591,593,-27.135,5.654,0,-2.01,-96.71,1,101.49,27.28,2500,0,0,0
53,0.88422,free_swing,581,491,594,600,-27.281,6.801,0,0.00,-46.90,1,109.77,21.35,2500,0,0,0
54,0.9009,free_swing,581,492,577,641,-27.135,-1.538,0,2.01,-87.38,0,149.05,6.79,2500,0,0,0
55,0.91758,free_swing,581,492,588,595,-27.135,3.888,0,2.33,-22.99,1,103.24,26.03,2500,0,0,0
56,0.93427,free_swing,581,492,588,609,-27.135,3.424,0,-0.76,304.79,1,117.21,16.02,2500,1,0,0
57,0.95095,free_swing,581,492,590,606,-27.135,4.514,0,0.00,101.05,1,114.35,18.07,2500,1,0,0
58,0.96763,free_swing,581,492,601,561,-27.135,16.164,0,-0.75,61.99,1,71.84,48.53,2500,0,0,0
59,0.98432,free_swing,581,492,588,589,-27.135,4.128,0,2.30,199.37,1,97.25,30.32,2500,0,0,0
60,1.001,free_swing,581,492,604,588,-27.135,13.473,0,1.99,138.27,1,98.72,29.27,2500,0,0,0
61,1.01768,free_swing,581,493,604,551,-26.991,21.631,0,-2.24,34.36,1,62.39,55.30,2500,0,0,0
62,1.03437,free_swing,581,492,596,574,-27.135,10.366,0,4.84,-326.80,1,83.36,40.28,2500,1,0,0
63,1.05105,free_swing,581,492,593,596,-27.135,6.582,0,3.61,-93.72,1,104.69,24.99,2500,1,0,0
64,1.06773,free_swing,582,493,597,589,-26.707,8.881,0,0.00,20.59,1,97.16,30.38,2500,0,0,0
65,1.08442,free_swing,581,492,603,588,-27.135,12.907,0,-4.36,-104.19,1,98.49,29.44,2500,0,0,0
66,1.1011,free_swing,581,492,583,620,-27.135,0.895,0,-2.54,-144.36,0,128.02,8.28,2500,0,0,0
67,1.11778,free_swing,581,493,590,586,-26.991,5.528,0,3.47,-71.32,1,93.43,33.06,2500,0,0,0
68,1.13447,free_swing,581,493,591,588,-26.991,6.009,0,-0.45,293.57,1,95.52,31.56,2500,1,0,0
69,1.15115,free_swing,581,492,588,559,-27.135,5.964,0,-0.75,47.68,1,67.36,51.74,2500,1,0,0
70,1.16783,free_swing,581,493,603,576,-26.991,14.845,0,0.50,-162.15,1,85.87,38.48,2500,1,0,0
71,1.18452,free_swing,581,493,582,620,-26.991,0.451,0,6.82,-266.52,0,127.00,9.01,2500,0,0,0
72,1.2012,free_swing,581,493,580,643,-26.991,-0.382,0,3.92,-87.93,0,150.00,7.47,2500,0,0,0
73,1.21788,free_swing,582,493,587,607,-26.707,2.511,0,-1.54,171.09,1,114.11,18.24,2500,1,0,0
74,1.23457,free_swing,581,493,591,584,-26.991,6.271,0,-7.45,47.69,1,91.55,34.41,2500,0,0,0
75,1.25125,free_swing,581,492,585,602,-27.135,2.083,0,-8.06,14.91,1,110.07,21.14,2500,0,0,0
76,1.26793,free_swing,581,492,589,590,-27.135,4.667,0,-0.81,-55.00,1,98.33,29.55,2500,0,0,0
77,1.28462,free_swing,581,492,590,584,-27.135,5.587,0,3.05,76.56,1,92.44,33.77,2500,0,0,0
78,1.3013,free_swing,581,492,585,612,-27.135,1.909,0,1.23,63.52,1,120.07,13.98,2500,0,0,0
79,1.31798,free_swing,581,493,593,569,-26.991,8.973,0,1.54,-18.38,1,76.94,44.87,2500,0,0,0
80,1.33467,free_swing,581,492,590,588,-27.135,5.356,0,2.30,-258.69,1,96.42,30.92,2500,1,0,0
81,1.35135,free_swing,581,493,583,611,-26.991,0.971,0,-0.31,414.40,1,118.02,15.45,2500,1,0,0
82,1.36803,free_swing,581,493,587,600,-26.991,3.209,0,-1.23,486.40,1,107.17,23.22,2500,0,0,0
83,1.38472,free_swing,581,492,609,528,-27.135,37.875,0,-6.52,190.52,1,45.61,67.32,2500,1,0,0
84,1.4014,free_swing,581,492,590,593,-27.135,5.092,0,5.28,-264.47,1,101.40,27.35,2500,1,0,0
85,1.41808,free_swing,581,492,599,573,-27.135,12.529,0,5.91,-506.01,1,82.98,40.55,2500,1,0,0
86,1.43477,free_swing,582,493,595,574,-26.707,9.118,0,1.54,12.35,1,82.04,41.22,2500,1,0,0
87,1.45145,free_swing,581,492,586,599,-27.135,2.675,0,-1.62,-208.14,1,107.12,23.25,2500,1,0,0
88,1.46813,free_swing,581,493,587,597,-26.991,3.302,0,-5.59,-356.45,1,104.17,25.36,2500,0,0,0
89,1.48482,free_swing,581,493,588,591,-26.991,4.086,0,3.27,1068.23,1,98.25,29.61,2500,1,0,0
90,1.5015,free_swing,581,492,589,612,-27.135,3.814,0,-5.23,894.43,1,120.27,13.83,2500,0,0,0
91,1.51818,free_swing,581,493,631,513,-26.991,68.199,0,-1.14,77.83,1,53.85,61.42,2500,1,0,0
92,1.53487,free_swing,580,493,594,628,-27.272,5.921,0,0.00,-787.35,1,135.72,2.76,2500,1,0,0
93,1.55155,free_swing,581,493,598,603,-26.991,8.785,0,1.14,-901.08,1,111.31,20.25,2500,0,0,0
94,1.56823,free_swing,581,492,595,588,-27.135,8.297,0,4.48,330.23,1,97.02,30.49,2500,1,0,0
95,1.58492,free_swing,581,493,601,591,-26.991,11.535,0,1.99,269.55,1,100.02,28.34,2500,0,0,0
96,1.6016,free_swing,581,493,596,581,-26.991,9.673,0,-0.71,127.41,1,89.27,36.04,2500,0,0,0
97,1.61828,free_swing,581,493,607,552,-26.991,23.782,0,-9.11,-234.12,1,64.47,53.81,2500,1,0,0
98,1.63497,free_swing,580,493,588,616,-27.272,3.721,0,-2.41,-242.56,1,123.26,11.69,2500,0,0,0
99,1.65165,free_swing,580,493,586,616,-27.272,2.793,0,0.15,-179.09,1,123.15,11.77,2500,0,0,0
100,1.66833,free_swing,581,493,595,567,-26.991,10.713,0,2.94,191.72,1,75.31,46.04,2500,1,0,0
101,1.68502,free_swing,580,493,590,593,-27.272,5.711,0,-1.27,-37.53,1,100.50,28.00,2500,1,0,0
102,1.7017,free_swing,581,492,592,578,-27.135,7.289,0,1.17,5.63,1,86.70,37.88,2500,0,0,0
103,1.71838,free_swing,581,492,591,592,-27.135,5.711,0,4.17,7.81,1,100.50,28.00,2500,0,0,0
104,1.73507,free_swing,581,493,596,572,-26.991,10.751,0,0.82,-107.83,1,80.41,42.39,2500,0,0,0
105,1.75175,free_swing,581,492,585,617,-27.135,1.833,0,1.54,113.43,1,125.06,10.40,2500,1,0,0
106,1.76843,free_swing,581,493,592,589,-26.991,6.537,0,1.23,-37.68,1,96.63,30.77,2500,0,0,0
107,1.78512,free_swing,581,493,595,550,-26.991,13.799,0,3.05,52.73,1,58.69,57.95,2500,0,0,0
108,1.8018,free_swing,581,493,579,626,-26.991,-0.862,0,-4.54,-112.29,0,133.02,4.70,2500,0,0,0
109,1.81848,free_swing,581,493,593,568,-26.991,9.090,0,2.54,-195.06,1,75.95,45.58,2500,0,0,0
110,1.83517,free_swing,581,492,587,597,-27.135,3.270,0,3.92,212.00,1,105.17,24.65,2500,1,0,0
111,1.85185,free_swing,582,493,584,617,-26.707,0.924,0,2.74,28.86,1,124.02,11.15,2500,0,0,0
112,1.86853,free_swing,581,493,604,576,-26.991,15.489,0,-3.92,9.01,1,86.13,38.29,2500,0,0,0
113,1.88522,free_swing,581,493,584,603,-26.991,1.562,0,-7.27,-322.40,1,110.04,21.16,2500,1,0,0
114,1.9019,free_swing,581,492,587,610,-27.135,2.911,0,1.49,679.93,1,118.15,15.35,2500,1,0,0
115,1.91858,free_swing,581,493,594,586,-26.991,7.958,0,1.99,724.34,1,93.90,32.72,2500,0,0,0
116,1.93527,free_swing,581,493,613,517,-26.991,53.130,0,2.30,-18.02,1,40.00,71.34,2500,1,0,0
117,1.95195,free_swing,581,493,586,607,-26.991,2.511,0,0.00,-403.24,1,114.11,18.24,2500,1,0,0
118,1.96863,free_swing,581,493,599,575,-26.991,12.381,0,-1.54,-572.49,1,83.95,39.85,2500,0,0,0
119,1.98532,free_swing,581,493,604,558,-26.991,19.486,0,-3.53,488.43,1,68.95,50.60,2500,1,0,0
120,2.002,free_swing,581,492,594,589,-27.135,7.633,0,-3.53,35.26,1,97.87,29.88,2500,1,0,0
121,2.01868,free_swing,581,492,608,554,-27.135,23.532,0,-3.03,-144.37,1,67.62,51.55,2500,0,0,0
122,2.03537,free_swing,581,492,597,572,-27.135,11.310,0,4.53,-530.95,1,81.58,41.55,2500,1,0,0
123,2.05205,free_swing,581,492,587,600,-27.135,3.180,0,5.46,83.80,1,108.17,22.50,2500,1,0,0
124,2.06873,free_swing,582,492,582,598,-26.851,0.000,0,4.28,864.44,1,106.00,24.05,2500,1,0,0
125,2.08542,free_swing,581,493,610,523,-26.991,44.029,0,-2.69,344.35,1,41.73,70.11,2500,1,0,0
126,2.1021,free_swing,581,493,608,553,-26.991,24.228,0,-4.97,-301.73,1,65.80,52.86,2500,1,0,0
127,2.11878,free_swing,581,492,588,566,-27.135,5.404,0,1.49,-675.18,1,74.33,46.74,2500,1,0,0
128,2.13547,free_swing,581,493,601,562,-26.991,16.164,0,-1.79,-151.79,1,71.84,48.53,2500,1,0,0
129,2.15215,free_swing,581,493,593,576,-26.991,8.227,0,4.10,-164.74,1,83.86,39.92,2500,0,0,0
130,2.16883,free_swing,581,492,578,625,-27.135,-1.292,0,3.91,-326.72,0,133.03,4.69,2500,0,0,0
131,2.18552,free_swing,582,493,587,597,-26.707,2.752,0,8.45,126.52,1,104.12,25.40,2500,1,0,0
