frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout,omega1_deg_s,omega2_deg_s,suspect,arm_length_px,arm_dev_pct,omega_cap_applied,delta_omega_suspect,swap_suspect,omega_cap_suspect
52,0.86753,free_swing,622,477,649,627,-15.789,10.204,0,184.15,-359.04,0,152.41,0.43,2500,0,0,0
53,0.88422,free_swing,630,479,640,630,-12.653,3.789,0,205.34,-397.00,0,151.33,1.14,2500,0,0,0
54,0.9009,free_swing,640,481,631,632,-8.775,-3.411,0,217.58,-431.22,0,151.27,1.18,2500,0,0,0
55,0.91758,free_swing,648,482,622,631,-5.711,-9.898,0,230.96,-440.50,0,151.25,1.19,2500,0,0,0
56,0.93427,free_swing,660,483,613,626,-1.138,-18.194,0,240.70,-438.03,0,150.53,1.67,2500,0,0,0
57,0.95095,free_swing,670,482,607,619,2.672,-24.696,0,256.88,-408.70,0,150.79,1.49,2500,0,0,0
58,0.96763,free_swing,681,481,603,609,6.888,-31.357,0,242.33,-350.78,0,149.89,2.08,2500,0,0,0
59,0.98432,free_swing,692,479,602,600,11.160,-36.642,0,238.10,-314.68,0,150.80,1.49,2500,0,0,0
60,1.001,free_swing,701,477,602,589,14.685,-41.474,0,227.94,-248.85,0,149.48,2.35,2500,0,0,0
61,1.01768,free_swing,711,475,604,581,18.555,-45.269,0,218.89,-183.62,0,150.62,1.61,2500,0,0,0
62,1.03437,free_swing,720,471,608,574,22.297,-47.397,0,211.89,-104.73,0,152.16,0.60,2500,0,0,0
63,1.05105,free_swing,728,468,614,568,25.545,-48.743,0,205.57,-36.91,0,151.64,0.93,2500,0,0,0
64,1.06773,free_swing,736,464,622,564,28.944,-48.743,0,200.87,19.86,0,151.64,0.93,2500,0,0,0
65,1.08442,free_swing,744,459,631,561,32.530,-47.929,0,199.44,85.84,0,152.23,0.55,2500,0,0,0
66,1.1011,free_swing,750,454,641,559,35.493,-46.071,0,192.91,152.27,0,151.35,1.13,2500,0,0,0
67,1.11778,free_swing,757,449,653,561,38.779,-42.879,0,178.49,207.11,0,152.84,0.15,2500,0,0,0
68,1.13447,free_swing,763,444,667,563,41.760,-38.894,0,168.39,262.02,0,152.90,0.12,2500,0,0,0
69,1.15115,free_swing,768,440,682,565,44.193,-34.528,0,155.07,306.19,0,151.73,0.88,2500,0,0,0
70,1.16783,free_swing,773,435,700,569,46.882,-28.580,0,151.77,350.12,0,152.59,0.31,2500,0,0,0
71,1.18452,free_swing,777,430,718,571,49.316,-22.706,0,135.67,388.11,0,152.85,0.15,2500,0,0,0
72,1.2012,free_swing,781,426,739,573,51.459,-15.945,0,107.12,416.22,0,152.88,0.13,2500,0,0,0
73,1.21788,free_swing,783,423,760,573,52.826,-8.717,0,84.24,441.86,0,151.75,0.86,2500,0,0,0
74,1.23457,free_swing,785,420,782,572,54.197,-1.131,0,74.77,456.32,0,152.03,0.68,2500,0,0,0
75,1.25125,free_swing,787,418,804,569,55.257,6.423,0,55.65,474.83,0,151.95,0.73,2500,0,0,0
76,1.26793,free_swing,788,416,827,564,56.099,14.763,0,8.68,512.39,0,153.05,0.01,2500,0,0,0
77,1.28462,free_swing,787,417,848,557,55.570,23.543,0,-47.11,560.98,0,152.71,0.24,2500,0,0,0
78,1.3013,free_swing,785,420,869,547,54.197,33.481,0,-118.12,613.11,0,152.27,0.53,2500,0,0,0
79,1.31798,free_swing,782,425,887,534,51.992,43.929,0,-177.10,659.10,0,151.35,1.13,2500,0,0,0
80,1.33467,free_swing,775,432,899,518,48.240,55.257,0,-223.29,672.90,0,150.90,1.42,2500,0,0,0
81,1.35135,free_swing,768,439,905,499,44.459,66.349,0,-241.03,642.51,0,149.56,2.29,2500,0,0,0
82,1.36803,free_swing,760,446,907,481,40.394,76.608,0,-244.19,578.78,0,151.11,1.28,2500,0,0,0
83,1.38472,free_swing,752,453,902,465,36.336,85.426,0,-255.85,507.55,0,150.48,1.70,2500,0,0,0
84,1.4014,free_swing,742,459,894,450,31.884,93.389,0,-262.25,417.33,0,152.27,0.53,2500,0,0,0
85,1.41808,free_swing,732,465,883,439,27.420,99.770,0,-279.42,346.66,0,153.22,0.10,2500,0,0,0
86,1.43477,free_swing,721,470,870,432,22.797,104.307,0,-294.37,263.74,0,153.77,0.45,2500,0,0,0
87,1.45145,free_swing,708,475,855,425,17.468,108.785,0,-310.38,172.94,0,155.27,1.43,2500,0,0,0
88,1.46813,free_swing,695,478,841,424,12.362,110.298,0,-321.49,56.47,0,155.67,1.69,2500,0,0,0
89,1.48482,free_swing,681,481,827,427,6.888,110.298,0,-335.33,-67.75,0,155.67,1.69,2500,0,0,0
90,1.5015,free_swing,666,482,815,433,1.146,108.204,0,-357.24,-153.69,0,156.85,2.47,2500,0,0,0
91,1.51818,free_swing,650,481,801,441,-4.986,104.837,0,-364.33,-271.70,0,156.21,2.05,2500,0,0,0
92,1.53487,free_swing,634,480,786,454,-11.086,99.707,0,-367.42,-388.96,0,154.21,0.74,2500,0,0,0
93,1.55155,free_swing,619,476,772,472,-16.991,91.498,0,-354.80,-514.49,0,153.05,0.01,2500,0,0,0
94,1.56823,free_swing,604,471,757,491,-22.999,82.553,0,-334.43,-611.70,0,154.30,0.80,2500,0,0,0
95,1.58492,free_swing,592,465,737,514,-28.095,71.328,0,-302.65,-699.65,0,153.06,0.01,2500,0,0,0
96,1.6016,free_swing,581,459,712,537,-32.849,59.230,0,-252.98,-777.79,0,152.46,0.40,2500,0,0,0
97,1.61828,free_swing,573,453,682,561,-36.642,45.264,0,-191.07,-847.57,0,153.44,0.24,2500,0,0,0
98,1.63497,free_swing,568,449,647,580,-39.075,31.092,0,-108.63,-917.94,0,152.98,0.06,2500,0,0,0
99,1.65165,free_swing,566,447,605,596,-40.147,14.668,0,-5.96,-1001.41,0,154.02,0.62,2500,0,0,0
100,1.66833,free_swing,567,448,561,601,-39.611,-2.246,0,91.30,-1090.70,0,153.12,0.03,2500,0,0,0
101,1.68502,free_swing,572,452,517,594,-37.174,-21.173,0,148.70,-1118.44,0,152.28,0.52,2500,0,0,0
102,1.7017,free_swing,577,456,480,573,-34.743,-39.661,0,135.79,-1067.11,0,151.98,0.72,2500,0,0,0
103,1.71838,free_swing,581,458,455,542,-33.056,-56.310,0,40.84,-902.86,0,151.43,1.07,2500,0,0,0
104,1.73507,free_swing,581,458,438,510,-33.056,-70.017,0,-53.77,-738.17,0,152.16,0.60,2500,0,0,0
105,1.75175,free_swing,576,455,427,480,-35.272,-80.475,0,-128.83,-605.51,0,151.08,1.30,2500,0,0,0
106,1.76843,free_swing,572,452,419,451,-37.174,-90.374,0,-157.97,-522.16,0,153.00,0.05,2500,0,0,0
107,1.78512,free_swing,566,447,415,425,-40.147,-98.289,0,-158.63,-456.25,0,152.59,0.31,2500,0,0,0
108,1.8018,free_swing,561,443,413,402,-42.580,-105.484,0,-142.90,-391.11,0,153.57,0.33,2500,0,0,0
109,1.81848,free_swing,557,439,415,383,-44.731,-111.523,0,-99.56,-352.58,0,152.64,0.28,2500,0,0,0
110,1.83517,free_swing,555,437,419,367,-45.807,-117.235,0,-48.20,-329.59,0,152.96,0.08,2500,0,0,0
111,1.85185,free_swing,554,436,425,354,-46.345,-122.442,0,10.99,-302.90,0,152.86,0.14,2500,0,0,0
