t_s,theta1_deg,omega1_deg_s,theta2_deg,omega2_deg_s
5.7851,59.6221,-133.1112,-68.8388,-194.3236
6.6116,63.7871,-89.4342,-53.6032,23.1273
7.4380,37.9944,-355.5029,49.1364,1066.1710
8.2645,63.4698,-154.1818,-95.1626,-372.2878
9.0909,57.6745,-193.2599,95.6160,793.6144
9.9174,48.0540,60.6098,136.8249,369.7103
10.7438,54.0538,-195.4038,-55.4166,-584.1740
11.5702,63.8726,-108.7077,-52.4286,-33.7806
12.3967,38.1787,-363.2474,54.3385,1122.6191
13.2231,61.5110,-243.3344,-61.6213,-623.5800
14.0496,59.2462,-210.2587,-74.6369,-381.2002
14.8760,59.1422,-223.2021,-77.2460,-417.1072
15.7025,62.3455,-235.9953,-79.6433,-470.7230
16.5289,69.1190,-251.0031,-81.5047,-562.2955
17.3554,61.1776,-273.1676,71.9947,834.1621
18.1818,73.8870,-71.3219,15.8784,-620.8127
19.0083,32.1902,-217.0026,77.6842,1062.2856
19.8347,76.1773,-144.4117,13.3696,377.9775
20.6612,64.8400,19.1597,54.9653,-657.5450
21.4876,60.4570,-134.6882,-149.4595,-270.6955
22.3140,25.9000,30.6258,100.9557,974.2918
23.1405,65.5940,-246.0771,-66.0298,-393.9091
23.9669,59.8468,-206.3522,-79.8353,-409.2927
24.7934,60.0711,-245.9988,-76.7219,-501.5239
25.6198,63.5206,-272.1064,-80.6543,-565.5790
26.4463,76.4819,-155.5245,-59.3294,-273.0310
27.2727,64.9792,-77.0761,-69.1266,-228.7084
28.0992,59.8746,-127.6125,-68.8073,-193.1100
28.9256,62.9806,-76.6903,-51.0766,59.0863
29.7521,36.3971,-332.6048,57.2774,1047.0432
30.5785,61.9653,-261.2964,-69.3731,-632.0438
31.4050,70.7456,-132.7142,-57.3104,-199.5942
32.2314,64.2920,-60.4162,-34.3737,238.8876
33.0579,55.7588,-351.9920,0.1386,1011.0150
33.8843,48.7907,-430.3468,54.7823,1299.0663
34.7107,38.6910,32.3793,124.8082,1011.2869
35.5372,46.0580,77.6547,92.8982,56.1780
36.3636,55.0952,-197.4438,-26.1682,789.8657
37.1901,45.1005,-401.5379,50.0772,1190.5496
38.0165,74.8870,-69.3913,-48.5875,137.9622
38.8430,38.5697,-428.5493,46.1282,1286.7972
39.6694,49.6040,17.8170,92.5858,325.1074
40.4959,63.1610,-44.3471,3.6180,-614.7999
41.3223,31.6360,18.9978,101.6525,832.7619
42.1488,56.0061,-193.8821,88.6299,848.7331
42.9752,42.9000,170.3741,143.0013,961.2088
