t_s,theta1_deg,omega1_deg_s,theta2_deg,omega2_deg_s
5.3191,34.1539,-432.8127,134.6053,-394.9518
6.3830,36.3470,-440.6978,134.3657,-333.5380
7.4468,34.0811,-432.2768,141.2999,-361.9629
8.5106,27.2155,-391.8193,129.9036,-359.3356
9.5745,30.8933,-516.1043,169.5970,-397.8761
10.6383,31.6965,-367.9098,106.2492,-1022.4187
11.7021,33.4123,-461.1081,138.1181,-313.6089
12.7660,33.5258,-455.1255,139.9176,-423.7431
13.8298,36.6633,-461.1728,148.4749,-375.7570
14.8936,31.4063,-517.9612,-166.0462,-187.5442
15.9574,45.9824,-575.1694,-172.3479,-102.7621
17.0213,8.3249,-507.8990,142.7287,-537.7383
18.0851,27.6134,-497.2204,148.5810,-523.8211
19.1489,32.1539,-511.0481,156.1708,-426.0117
20.2128,31.8324,-452.6281,-134.1511,217.0323
21.2766,35.6162,-463.2538,104.8370,-222.3284
22.3404,37.1787,-468.3763,149.9226,-294.5194
23.4043,29.4586,-527.7402,127.0935,-292.3784
24.4681,37.9711,-203.6788,87.6033,-1241.4103
25.5319,35.9483,-497.3228,157.5975,-294.7966
26.5957,29.9428,-425.7612,-136.4615,239.9413
27.6596,39.0748,-457.9806,103.6254,-140.4523
28.7234,34.4453,-446.6020,143.2545,-274.7119
29.7872,40.3087,-360.3704,-120.3713,459.8059
30.8511,36.2213,-458.9079,100.1311,-145.0316
31.9149,42.2815,-498.6476,163.4707,-280.5024
32.9787,37.6128,-372.3517,-123.1330,454.5632
34.0426,37.1513,-463.1093,104.1361,-170.7496
35.1064,39.9026,-494.5358,164.5095,-345.2208
36.1702,36.8670,-390.4974,-115.1930,530.5231
37.2340,32.4252,-471.3964,109.6721,-227.5878
38.2979,44.4632,-450.6617,157.4727,-244.1060
39.3617,27.8891,-517.8120,168.3751,-391.2257
40.4255,42.6605,-6.3692,60.0290,-1467.6702
41.4894,29.8327,-416.2934,135.4371,-404.2841
42.5532,36.5462,-476.6936,146.4287,-354.1753
43.6170,34.4511,-471.1521,151.0864,-376.4665
44.6809,32.7143,-449.9483,140.9431,-410.3095
45.7447,31.8393,-470.6264,141.3493,-415.9395
46.8085,29.0031,-505.6892,164.7144,-390.3047
47.8723,-11.1367,-527.3863,154.0787,-773.2708
48.9362,14.6747,-425.9574,111.9176,-629.2824
50.0000,39.8624,-428.0965,125.8170,-206.9312
51.0638,36.8365,-476.0729,150.2770,-315.2525
52.1277,24.8659,-520.6191,12.2896,-309.7957
53.1915,37.4796,-121.7450,61.7272,-1400.0553
54.2553,33.2978,-484.3657,152.1308,-340.1508
55.3191,33.5870,-460.7623,150.1170,-390.2941
56.3830,30.8555,-467.7247,140.4351,-443.0049
57.4468,32.1916,-493.6444,155.4908,-387.8672
58.5106,32.1306,-386.6164,-116.0662,580.4532
59.5745,34.0911,-461.8952,95.6220,-173.0988
60.6383,27.8143,-445.9446,134.0541,-376.1124
61.7021,31.6347,-507.2355,158.4329,-404.8880
62.7660,21.4707,-478.6582,76.3455,272.0250
63.8298,26.6048,-439.8154,-137.8773,257.3777
64.8936,35.5496,-481.3979,104.3046,-137.9167
65.9574,33.7973,-469.5063,149.8168,-350.5035
67.0213,36.3231,-395.7709,-112.6302,542.5952
68.0851,31.9227,-456.1996,110.2375,-223.6133
69.1489,27.0367,-433.2212,128.0146,-378.4605
70.2128,23.8921,-415.0316,122.4015,-385.2029
71.2766,31.8359,-504.4616,157.9545,-436.6687
72.3404,33.3392,-407.0895,-105.0605,689.9460
