n,t_s,theta1_n,theta1_np1,theta2_n,theta2_np1
0,5.0000,4.5360,-17.1507,149.0986,-126.6848
1,6.0000,-17.1507,-18.8699,-126.6848,36.6095
2,7.0000,-18.8699,-4.4513,36.6095,115.9311
3,8.0000,-4.4513,-4.8669,115.9311,120.4372
4,9.0000,-4.8669,-5.5920,120.4372,119.3130
5,10.0000,-5.5920,-9.7656,119.3130,128.2174
6,11.0000,-9.7656,-14.3894,128.2174,144.9331
7,12.0000,-14.3894,-18.6174,144.9331,123.4841
8,13.0000,-18.6174,-14.7349,123.4841,111.6117
9,14.0000,-14.7349,-5.5905,111.6117,98.8592
10,15.0000,-5.5905,10.2454,98.8592,82.9198
11,16.0000,10.2454,15.5740,82.9198,101.2399
12,17.0000,15.5740,12.9463,101.2399,109.5712
13,18.0000,12.9463,4.4448,109.5712,137.6673
14,19.0000,4.4448,-22.7198,137.6673,-2.9832
15,20.0000,-22.7198,2.8324,-2.9832,89.6381
16,21.0000,2.8324,12.5979,89.6381,86.3236
17,22.0000,12.5979,13.6102,86.3236,103.2083
18,23.0000,13.6102,3.8529,103.2083,151.0768
19,24.0000,3.8529,-19.0724,151.0768,-134.7025
20,25.0000,-19.0724,-18.8492,-134.7025,22.8638
21,26.0000,-18.8492,-9.7859,22.8638,115.0116
22,27.0000,-9.7859,-7.9927,115.0116,123.3234
23,28.0000,-7.9927,-10.0275,123.3234,133.7117
24,29.0000,-10.0275,-17.8698,133.7117,113.3335
25,30.0000,-17.8698,-17.7669,113.3335,96.2496
26,31.0000,-17.7669,-16.0264,96.2496,131.6997
27,32.0000,-16.0264,-21.3745,131.6997,125.7063
28,33.0000,-21.3745,-20.8125,125.7063,129.8684
29,34.0000,-20.8125,-20.8497,129.8684,124.5868
