t_s,theta1_deg,omega1_deg_s,theta2_deg,omega2_deg_s
5.0420,25.9839,147.0067,77.6345,892.8649
5.8824,65.0670,37.8156,52.5325,511.2505
6.7227,66.5060,29.7947,3.5381,-765.8619
7.5630,46.8361,-126.7532,39.3442,1030.9909
8.4034,62.7224,144.6394,66.8602,304.9884
9.2437,56.6881,278.4401,100.9371,-920.7948
10.0840,70.7370,58.1319,-59.4506,552.5049
10.9244,74.1590,-9.5673,-42.6236,577.7686
11.7647,66.2810,17.3102,-163.4001,-232.6988
12.6050,26.7820,116.3772,79.2645,995.5719
13.4454,71.5620,21.6832,-4.1705,198.5926
14.2857,62.6060,6.4315,-166.4749,-236.8841
15.1261,28.5671,156.7446,83.5992,931.7532
15.9664,63.1945,-61.1726,54.2919,755.3880
16.8067,74.3380,53.3645,-41.9552,343.3079
17.6471,65.2740,6.4098,-140.3056,-105.4871
18.4874,26.8161,154.0041,87.1057,853.4844
19.3277,64.1760,23.3608,58.9995,581.2887
20.1681,72.0060,192.8468,68.7494,-904.2662
21.0084,68.3982,-75.4668,-27.3158,695.2932
21.8487,63.5915,-254.0311,9.9340,1034.5013
22.6891,69.7889,27.8251,-74.9700,-60.4301
23.5294,62.1250,-5.3782,-65.1081,-159.9926
24.3697,65.5950,20.7712,-47.4155,94.7044
25.2101,53.2250,-284.4133,19.5019,1088.0308
26.0504,74.8000,-49.9909,-24.8441,-674.5595
26.8908,62.9110,-47.9824,-66.2067,-333.9058
27.7311,62.7774,-53.6867,-66.3125,-344.8424
28.5714,67.6430,-52.1092,-66.0626,-391.3698
29.4118,72.3120,-82.8666,-60.3848,-489.9319
30.2521,79.0320,-15.4789,-55.8017,-326.1103
31.0924,71.0904,-77.6157,-50.0774,-589.9439
31.9328,74.1146,-74.1631,-63.1097,-515.1967
32.7731,68.5777,-102.3764,74.2349,882.0493
33.6134,67.8230,-74.5704,70.7618,873.7907
34.4538,65.4490,-12.6929,84.4592,849.1329
35.2941,81.8030,12.7888,9.7084,382.4179
36.1345,66.1468,256.2028,94.3160,-901.2690
36.9748,58.8585,105.3234,166.1550,-416.5426
37.8151,43.4953,-263.7132,18.6518,1419.6903
38.6555,85.2140,15.1989,-23.0950,27.7495
39.4958,75.7200,16.5654,-57.8863,495.9892
40.3361,83.4120,27.2078,-54.3418,458.3155
41.1765,76.1920,1.8437,-144.9586,-142.7964
42.0168,29.8751,176.1204,90.9348,925.3441
42.8571,64.7230,-81.6493,64.3191,820.1963
43.6975,69.7070,20.5856,75.8320,754.2556
44.5378,66.0220,-0.8084,85.5737,809.0787
45.3782,68.0700,-86.0866,67.9390,813.2029
46.2185,65.2270,71.1384,65.3021,490.0073
47.0588,68.2870,-31.0498,-12.4789,-792.1003
47.8992,69.3210,14.0423,-19.9942,414.6135
48.7395,63.3102,51.8025,158.8692,-435.6533
49.5798,51.0669,-212.9436,1.4596,1366.5989
50.4202,68.5712,-78.3009,56.7624,808.0812
51.2605,45.1826,317.6139,123.6307,517.6263
52.1008,70.6632,138.2322,34.4392,-812.0550
52.9412,35.1020,-22.7844,72.6823,982.3953
53.7815,65.0520,16.0114,74.9572,759.4138
54.6218,66.8320,-12.4748,77.5743,774.3627
55.4622,67.9080,-7.5447,84.2417,769.1782
56.3025,66.4330,-40.7533,79.5405,845.4012
57.1429,67.9202,-37.4307,83.7232,832.5159
57.9832,82.7730,-14.7775,18.9833,538.8231
58.8235,68.1665,269.3686,51.5588,-1000.9645
59.6639,67.0500,-154.7692,-5.0262,989.4851
60.5042,54.6240,234.4998,65.8037,265.2208
61.3445,61.4500,-12.7023,-27.7896,-751.1071
62.1849,70.0130,-16.2427,-65.3927,-294.7376
63.0252,74.6660,-70.0925,-38.7758,-625.2998
63.8655,77.3636,-88.4882,-36.5938,-703.9807
64.7059,76.0185,-94.7465,-45.2991,-652.2983
65.5462,73.3460,-54.0763,-62.9649,-459.5472
66.3866,82.2190,-33.6045,-63.9868,-499.4943
67.2269,73.1090,84.0803,27.4359,-846.1345
68.0672,36.9450,4.8736,82.1163,933.6757
68.9076,80.1860,-13.2238,14.8478,507.9819
69.7479,70.0851,223.2856,58.7471,-943.7817
70.5882,71.1684,119.7539,113.2423,-711.8215
71.4286,61.0396,323.2748,108.8188,-867.2246
72.2689,56.5955,235.3075,128.0274,-752.6602
73.1092,60.4290,95.4598,-118.8763,-354.8548
73.9496,45.0804,-262.8013,13.8964,1472.1824
74.7899,85.5670,20.3837,0.6959,286.1378
75.6303,62.7599,210.0712,116.8101,-713.9760
76.4706,57.5747,195.6667,150.0707,-594.8789
77.3109,60.0780,91.3746,-140.2584,-99.5780
78.1513,31.6981,76.0554,89.1554,980.7107
78.9916,75.8220,13.2257,-42.5347,-175.1713
79.8319,61.2390,-22.9838,-11.4725,623.3059
80.6723,70.8540,30.0302,-165.1758,-292.8137
81.5126,31.2360,-42.2396,71.6005,1237.0403
82.3529,75.7831,-76.3965,-20.9032,-623.5217
83.1933,66.4927,63.9764,-48.9464,91.4061
84.0336,50.8610,-244.8239,20.3317,1151.6214
84.8739,48.1318,272.0984,82.7416,139.6308
85.7143,64.5598,203.0922,24.7865,-909.6324
86.5546,35.1686,16.6307,76.7008,955.1197
87.3950,70.1230,36.1888,10.4048,476.8238
88.2353,70.9983,193.7350,46.1342,-889.8913
89.0756,49.1588,-292.9958,35.2997,1336.8792
89.9160,81.0860,40.3679,-7.6824,224.8111
90.7563,60.8190,60.7732,163.3753,-437.6266
91.5966,53.9965,-150.9890,-13.1878,1141.4092
92.4370,65.7780,48.0105,68.7426,705.5955
93.2773,64.1870,89.4976,58.1917,562.1145
