n,t_s,theta1_n,theta1_np1,theta2_n,theta2_np1
0,5.0420,25.9839,65.0670,77.6345,52.5325
1,5.8824,65.0670,66.5060,52.5325,3.5381
2,6.7227,66.5060,46.8361,3.5381,39.3442
3,7.5630,46.8361,62.7224,39.3442,66.8602
4,8.4034,62.7224,56.6881,66.8602,100.9371
5,9.2437,56.6881,70.7370,100.9371,-59.4506
6,10.0840,70.7370,74.1590,-59.4506,-42.6236
7,10.9244,74.1590,66.2810,-42.6236,-163.4001
8,11.7647,66.2810,26.7820,-163.4001,79.2645
9,12.6050,26.7820,71.5620,79.2645,-4.1705
10,13.4454,71.5620,62.6060,-4.1705,-166.4749
11,14.2857,62.6060,28.5671,-166.4749,83.5992
12,15.1261,28.5671,63.1945,83.5992,54.2919
13,15.9664,63.1945,74.3380,54.2919,-41.9552
14,16.8067,74.3380,65.2740,-41.9552,-140.3056
15,17.6471,65.2740,26.8161,-140.3056,87.1057
16,18.4874,26.8161,64.1760,87.1057,58.9995
17,19.3277,64.1760,72.0060,58.9995,68.7494
18,20.1681,72.0060,68.3982,68.7494,-27.3158
19,21.0084,68.3982,63.5915,-27.3158,9.9340
20,21.8487,63.5915,69.7889,9.9340,-74.9700
21,22.6891,69.7889,62.1250,-74.9700,-65.1081
22,23.5294,62.1250,65.5950,-65.1081,-47.4155
23,24.3697,65.5950,53.2250,-47.4155,19.5019
24,25.2101,53.2250,74.8000,19.5019,-24.8441
25,26.0504,74.8000,62.9110,-24.8441,-66.2067
26,26.8908,62.9110,62.7774,-66.2067,-66.3125
27,27.7311,62.7774,67.6430,-66.3125,-66.0626
28,28.5714,67.6430,72.3120,-66.0626,-60.3848
29,29.4118,72.3120,79.0320,-60.3848,-55.8017
30,30.2521,79.0320,71.0904,-55.8017,-50.0774
31,31.0924,71.0904,74.1146,-50.0774,-63.1097
32,31.9328,74.1146,68.5777,-63.1097,74.2349
33,32.7731,68.5777,67.8230,74.2349,70.7618
34,33.6134,67.8230,65.4490,70.7618,84.4592
35,34.4538,65.4490,81.8030,84.4592,9.7084
36,35.2941,81.8030,66.1468,9.7084,94.3160
37,36.1345,66.1468,58.8585,94.3160,166.1550
38,36.9748,58.8585,43.4953,166.1550,18.6518
39,37.8151,43.4953,85.2140,18.6518,-23.0950
40,38.6555,85.2140,75.7200,-23.0950,-57.8863
41,39.4958,75.7200,83.4120,-57.8863,-54.3418
42,40.3361,83.4120,76.1920,-54.3418,-144.9586
43,41.1765,76.1920,29.8751,-144.9586,90.9348
44,42.0168,29.8751,64.7230,90.9348,64.3191
45,42.8571,64.7230,69.7070,64.3191,75.8320
46,43.6975,69.7070,66.0220,75.8320,85.5737
47,44.5378,66.0220,68.0700,85.5737,67.9390
48,45.3782,68.0700,65.2270,67.9390,65.3021
49,46.2185,65.2270,68.2870,65.3021,-12.4789
