t_s,theta1_deg,omega1_deg_s
5.6566,-21.9075,355.2173
6.9883,-38.0287,-393.4955
7.5194,47.9333,47.6093
8.2115,-18.4376,267.9594
10.1813,51.4207,-488.2198
10.9929,61.3016,-408.4772
12.5376,23.3311,82.3576
13.0719,-59.0750,48.7926
13.4643,71.5432,-30.5551
15.0494,21.5459,119.1114
15.8392,33.7179,417.3597
16.9114,55.7493,-417.2549
18.4068,21.3071,55.9015
19.1092,-20.2074,389.8542
20.3702,14.1841,-563.1776
21.0418,62.1153,-342.7602
21.8384,66.2550,-141.4919
22.9559,-20.6652,-557.1387
23.7784,-23.7172,-496.7193
24.5170,28.3281,-541.1791
25.1923,57.5249,-127.4191
26.3475,-51.3887,-377.9009
27.1811,-43.4049,-385.4101
28.0291,-47.0331,-356.2004
28.9035,-57.4003,-298.1975
29.7858,-69.7734,-163.1707
30.5788,-50.2720,-379.8540
31.4271,-62.1446,-280.6008
32.4376,-55.3476,394.9626
32.6577,50.0546,343.4034
33.4982,46.6460,363.8231
34.3054,27.7604,436.1231
34.8985,-68.7040,90.5742
35.2698,81.1264,115.8885
37.8030,47.1790,-173.3622
38.2323,-62.1650,-52.5454
38.8168,41.0615,-592.6428
39.6095,48.0754,-553.8791
40.4534,53.6559,-543.6867
41.9363,23.3702,83.4751
42.7379,39.6427,392.8608
43.4884,-14.1199,480.6748
44.3655,13.1508,485.1524
45.0535,-47.7369,391.0507
45.2686,51.1292,349.5390
46.0185,-22.5703,342.3636
47.3281,-45.5032,-400.9889
47.9422,66.5275,-184.3661
49.5786,51.1462,-201.1231
50.0981,-52.2740,372.6159
50.3124,48.6459,371.7049
51.1319,10.8534,13.9756
52.3494,-19.1472,-495.8131
52.8743,38.2680,-15.3768
53.6019,3.5511,496.8246
54.4362,5.5037,499.4616
55.2852,13.7189,475.7355
56.1638,35.4701,403.3975
57.0016,37.3796,403.2183
57.5868,-70.1200,113.7662
57.9441,80.2763,182.0997
59.0388,0.9455,-584.6387
59.6689,65.9534,-201.4114
60.3323,-23.8510,270.3690
61.6568,-59.3410,-308.2800
62.4990,-50.4576,-388.8373
63.3463,-62.2054,-312.6867
64.2037,-66.5178,-282.7778
65.0754,-73.1098,-161.6720
65.9164,-70.0026,-194.8985
67.4553,-15.5583,-552.5017
67.9965,40.2720,-40.7636
68.5221,-71.2755,109.9950
68.8765,78.6156,156.0370
69.9204,25.3602,-572.3179
73.9419,47.7061,-202.5434
74.3889,-67.1070,9.8791
74.7880,85.5670,28.8145
78.0746,30.8330,20.1808
78.5567,-62.2698,-149.8432
79.2295,-9.7189,-631.7445
79.8506,60.4894,-118.6424
81.4602,34.3350,-13.7651
81.8724,-44.3167,-445.9152
82.6165,-41.1137,-432.3732
83.3625,25.9481,-578.0309
84.0147,54.2100,-100.7892
84.7109,-12.0467,138.9158
85.9632,-23.4123,-484.0134
86.4847,35.2710,16.0750
87.0552,-67.7929,199.1974
87.3714,68.5405,153.9514
88.4540,-3.4672,-588.3403
89.0485,54.9332,-105.3227
89.5222,-73.4130,85.0923
89.9460,80.4375,-96.0062
91.6091,52.2720,-276.6230
92.2412,-14.5546,468.8666
93.0769,-22.7980,418.7744
94.2126,63.0692,-458.4869
95.1164,38.2208,-601.3511
95.9984,3.2728,-584.1253
96.6767,70.4763,-310.2911
98.2631,30.2420,-13.3991
98.6944,-47.9833,-370.2465
99.4416,-46.0681,-419.1531
100.3554,-64.8293,-251.4932
101.8789,25.6171,-663.2806
102.5037,57.1608,-81.6768
103.2191,25.9322,462.4985
103.8130,-67.8023,150.7768
104.1341,69.7991,304.3673
105.3022,-32.6909,-493.2673
105.8371,45.5697,81.1272
106.3202,-69.0940,-17.3399
106.8641,59.2165,-432.4692
108.3400,25.7035,41.8194
108.8052,-56.1495,-271.3228
109.5344,-38.8510,-475.7331
110.4092,-56.1287,-327.0915
111.2593,-65.4537,-289.5662
112.2325,-69.5951,266.5956
112.5198,62.1082,315.3359
113.3192,8.1390,28.0281
114.5937,-61.3665,-294.0332
115.4312,-46.9451,-398.4914
116.2916,-63.5785,-300.3848
117.1795,-74.3649,-137.5664
118.0498,-74.3703,-74.2627
118.7284,-1.2718,-715.0557
119.3357,65.9760,-80.9173
121.0760,56.1363,-435.4879
121.8434,76.7214,-129.9741
122.9517,-20.2819,-671.5519
124.5531,17.0256,-574.7922
126.0294,40.7955,-173.2324
126.4326,-56.7130,-250.8524
127.1820,-46.7889,-414.6850
128.1186,-73.8991,-86.7703
128.8339,-15.4962,-660.4637
129.6404,0.5986,-643.9441
130.2658,61.7860,-112.2910
