t_s,theta1_deg,omega1_deg_s
5.3333,50.7463,-469.2476
6.6667,40.7681,-439.1667
8.0000,42.8398,-466.6367
9.3333,45.5835,-465.3959
10.6667,43.3529,-471.9778
12.0000,45.4903,-462.2919
13.3333,41.5299,-481.1447
14.6667,46.4327,-481.9049
16.0000,44.9279,-488.5731
17.3333,43.7074,-453.2085
18.6667,43.0197,-454.4521
20.0000,39.8219,-502.5496
21.3333,46.1643,-488.1566
22.6667,43.5324,-497.5157
24.0000,46.9133,-474.7154
25.3333,44.7448,-492.4875
26.6667,50.3036,-479.2572
28.0000,44.4740,-465.4331
29.3333,48.0599,-479.6326
30.6667,49.2035,-493.5086
32.0000,47.7615,-485.3672
33.3333,44.9841,-481.4677
