n,t_s,theta1_n,theta1_np1,theta2_n,theta2_np1
0,5.0000,58.1428,68.2790,141.0518,-132.8899
1,6.0000,68.2790,52.0830,-132.8899,-172.1712
2,7.0000,52.0830,70.0648,-172.1712,101.0249
3,8.0000,70.0648,56.5837,101.0249,-163.6626
4,9.0000,56.5837,67.2900,-163.6626,102.8392
5,10.0000,67.2900,44.2909,102.8392,58.2720
6,11.0000,44.2909,67.1957,58.2720,135.3560
7,12.0000,67.1957,61.3606,135.3560,156.0856
8,13.0000,61.3606,61.6957,156.0856,-151.1453
9,14.0000,61.6957,67.2304,-151.1453,104.9153
10,15.0000,67.2304,46.9121,104.9153,107.6305
11,16.0000,46.9121,60.9963,107.6305,-31.3331
12,17.0000,60.9963,45.6943,-31.3331,162.3519
13,18.0000,45.6943,62.2608,162.3519,150.0667
14,19.0000,62.2608,58.3078,150.0667,-133.7876
15,20.0000,58.3078,68.2604,-133.7876,124.7018
16,21.0000,68.2604,58.4626,124.7018,153.7591
17,22.0000,58.4626,60.2775,153.7591,-155.3275
18,23.0000,60.2775,67.2440,-155.3275,112.5937
19,24.0000,67.2440,41.0951,112.5937,-146.0083
20,25.0000,41.0951,62.9811,-146.0083,139.7728
21,26.0000,62.9811,49.1677,139.7728,101.3265
22,27.0000,49.1677,71.7877,101.3265,148.3308
23,28.0000,71.7877,55.3447,148.3308,-148.5821
24,29.0000,55.3447,69.9487,-148.5821,111.9711
25,30.0000,69.9487,52.6510,111.9711,-74.9752
26,31.0000,52.6510,63.6957,-74.9752,-114.1291
27,32.0000,63.6957,53.0265,-114.1291,119.3128
28,33.0000,53.0265,62.3083,119.3128,169.5688
