t_s,theta1_deg,omega1_deg_s
5.2094,43.2637,-227.1855
6.1546,23.6760,-15.8199
6.7642,10.9572,-642.4309
8.8762,-45.0590,-112.9538
9.1789,43.2852,-61.0740
9.8421,-27.3037,-405.5063
10.2412,19.0199,-371.6714
10.7686,11.5370,-444.2547
11.3938,-35.6441,-126.9545
11.6837,33.0662,-129.0828
12.2979,-0.1924,-468.0739
12.8288,-18.4486,-477.1889
13.2426,24.8067,-389.6118
13.8608,-29.4820,-338.9613
14.2187,26.3017,-336.5813
14.8028,-7.9406,-477.5616
15.2908,0.2059,-491.6688
15.7745,8.9266,-463.1734
16.3318,-17.0069,-476.7035
16.7474,20.4937,-411.9526
17.3250,-15.9193,-458.3646
17.7558,14.3867,-428.1420
18.3037,-6.4388,-474.7673
18.7875,1.8891,-489.8960
19.2821,1.2913,-468.6075
19.8075,-5.7130,-505.9619
20.2709,9.4436,-486.1542
20.8151,-12.2769,-491.4393
21.2644,14.7481,-448.9855
21.8038,-9.2700,-474.4064
22.2765,7.8755,-469.7466
22.7960,-3.9509,-487.8111
23.2905,0.9969,-513.4109
23.7880,2.7211,-476.2377
24.3070,-4.8688,-507.2206
24.7777,7.4134,-465.4064
25.3125,-8.9278,-491.0086
25.7750,9.1472,-452.3859
26.3005,-3.7273,-474.7942
26.7931,2.3217,-494.8521
27.2934,0.6661,-494.1731
27.7993,-3.8712,-500.2350
28.2867,4.7575,-468.7194
28.8059,-4.9069,-504.3828
29.2854,5.4469,-475.7585
29.8007,-2.9096,-497.0915
30.2933,0.2724,-481.0773
30.7899,1.3346,-477.9714
31.3000,-2.8453,-517.6177
31.7941,2.2306,-490.6488
32.2971,-5.2759,-482.6952
32.7881,3.3188,-472.9671
33.2983,-1.2793,-508.0538
33.7961,-0.3873,-520.6446
34.2845,2.7100,-459.7176
34.8076,-5.6157,-513.3842
35.2827,5.2713,-483.9154
35.7936,-3.2153,-479.2780
36.2925,0.4165,-493.3982
36.7962,-1.5432,-512.6679
37.2960,-1.4600,-514.5661
37.7914,1.1503,-518.1510
38.2984,-4.4783,-485.2754
38.7864,3.5032,-501.6870
39.3011,-5.2413,-513.5050
39.7848,2.0775,-495.3186
40.2980,-1.3696,-492.2200
40.7941,0.4488,-489.0996
41.2872,0.0026,-481.8755
41.7915,0.6798,-498.8423
42.2934,-2.4899,-504.5361
42.7896,-0.1865,-514.0335
43.2945,0.2645,-503.9154
43.7932,-0.3611,-497.0668
44.2928,-2.2922,-504.9888
44.7878,3.2612,-481.7905
45.3024,-4.0449,-505.8003
45.7857,4.1420,-485.8894
46.2961,-3.5826,-493.1187
46.7869,3.3108,-498.2668
47.2977,-3.3108,-499.1120
47.7907,2.9221,-495.7491
48.2992,-1.4522,-511.5328
48.7955,0.7521,-498.5093
49.2929,2.2143,-488.4051
49.7999,-2.7995,-496.2871
50.2851,2.2792,-497.5185
50.8056,-5.0563,-505.3546
51.2871,4.1291,-480.8621
51.8044,-4.0965,-491.4766
52.2884,1.4747,-501.3644
52.7998,-2.7243,-500.5111
53.2970,0.6031,-512.3392
53.7967,0.5154,-503.7094
54.3015,-2.3607,-499.8513
54.7935,2.1190,-492.1228
55.3028,-3.5632,-517.2972
55.7920,1.1145,-503.4989
56.3025,-3.4997,-516.0631
56.7934,2.6244,-491.8045
57.3014,-3.6167,-497.0337
57.7898,0.3501,-499.9459
58.2916,0.5213,-484.2661
58.7997,0.0371,-502.4979
59.2971,-1.1880,-509.0635
59.7911,-0.7017,-505.8914
60.3006,-1.0413,-516.2262
60.7921,1.5541,-494.8734
61.3013,-2.4756,-515.6677
61.7920,2.4711,-492.4157
62.3013,-3.5604,-512.6948
62.7882,1.2374,-493.3870
63.3014,-3.0951,-507.0186
63.7928,2.1613,-503.4153
64.2945,-3.1841,-514.1564
64.7940,0.1596,-514.0463
65.2975,-0.5692,-511.7489
65.8195,5.6433,-217.6011
66.5262,-4.3312,1.4965
67.3354,-2.1800,0.2294
68.1228,-1.9290,1.6827
68.9097,-1.8881,1.6440
69.6926,-1.8565,1.6279
70.4776,-1.8057,3.2331
71.2610,-1.9309,0.4999
72.0474,-1.8155,0.6102
72.8343,-1.8400,2.7440
73.6142,-1.8690,-0.0193
74.4000,-1.8691,3.7304
75.1858,-1.8570,0.9149
75.9676,-1.8479,3.2736
