n,t_s,theta1_n,theta1_np1,theta2_n,theta2_np1
0,5.0000,-15.3184,-7.0415,35.3731,13.9370
1,5.5000,-7.0415,-22.9872,13.9370,-18.7342
2,6.0000,-22.9872,-0.0364,-18.7342,174.9081
3,6.5000,-0.0364,-20.6306,174.9081,132.0250
4,7.0000,-20.6306,-14.9330,132.0250,-134.8757
5,7.5000,-14.9330,-0.6483,-134.8757,-122.1582
6,8.0000,-0.6483,-14.9982,-122.1582,-116.4987
7,8.5000,-14.9982,-16.7658,-116.4987,21.8087
8,9.0000,-16.7658,-15.2918,21.8087,54.0957
9,9.5000,-15.2918,-17.6971,54.0957,-8.5385
10,10.0000,-17.6971,-16.5678,-8.5385,78.0068
11,10.5000,-16.5678,-9.3338,78.0068,-44.1043
12,11.0000,-9.3338,-15.3996,-44.1043,4.2864
13,11.5000,-15.3996,-18.2387,4.2864,82.8863
14,12.0000,-18.2387,-10.0545,82.8863,-40.5762
15,12.5000,-10.0545,-12.9081,-40.5762,33.4921
16,13.0000,-12.9081,-12.0146,33.4921,12.2212
17,13.5000,-12.0146,-15.3211,12.2212,3.8580
18,14.0000,-15.3211,-16.1547,3.8580,62.8593
19,14.5000,-16.1547,-11.9419,62.8593,-23.0981
20,15.0000,-11.9419,-13.0526,-23.0981,47.5403
21,15.5000,-13.0526,-10.3102,47.5403,-9.8038
22,16.0000,-10.3102,-12.6530,-9.8038,19.3932
23,16.5000,-12.6530,-13.9215,19.3932,27.2408
24,17.0000,-13.9215,-12.7320,27.2408,6.4609
25,17.5000,-12.7320,-16.7783,6.4609,43.3534
26,18.0000,-16.7783,-11.7405,43.3534,-3.8979
27,18.5000,-11.7405,-14.0254,-3.8979,34.8613
28,19.0000,-14.0254,-13.6715,34.8613,5.1735
29,19.5000,-13.6715,-9.9961,5.1735,21.5888
30,20.0000,-9.9961,-13.8072,21.5888,16.3370
31,20.5000,-13.8072,-10.5948,16.3370,12.3029
32,21.0000,-10.5948,-13.9404,12.3029,28.5276
33,21.5000,-13.9404,-12.2527,28.5276,7.2406
34,22.0000,-12.2527,-13.8789,7.2406,32.3270
35,22.5000,-13.8789,-10.8650,32.3270,2.8912
36,23.0000,-10.8650,-12.0481,2.8912,27.3573
37,23.5000,-12.0481,-9.4996,27.3573,6.7107
38,24.0000,-9.4996,-11.8258,6.7107,20.8489
39,24.5000,-11.8258,-12.6274,20.8489,18.3727
40,25.0000,-12.6274,-12.6950,18.3727,14.9789
41,25.5000,-12.6950,-13.7490,14.9789,28.2647
42,26.0000,-13.7490,-10.9938,28.2647,10.0172
43,26.5000,-10.9938,-11.5996,10.0172,23.7132
44,27.0000,-11.5996,-13.1825,23.7132,13.6529
45,27.5000,-13.1825,-13.5166,13.6529,22.3920
46,28.0000,-13.5166,-12.2718,22.3920,19.0091
47,28.5000,-12.2718,-13.6728,19.0091,17.7091
48,29.0000,-13.6728,-13.1875,17.7091,24.9460
49,29.5000,-13.1875,-16.0626,24.9460,16.0772
50,30.0000,-16.0626,-14.6965,16.0772,26.2839
51,30.5000,-14.6965,-15.7654,26.2839,20.4755
52,31.0000,-15.7654,-13.8574,20.4755,20.0522
