stem,x_param,theta1_deg,omega1_deg_s
2.45V_1Hz,2.4500,11.5758,-226.9244
2.45V_1Hz,2.4500,8.4130,-244.1754
2.45V_1Hz,2.4500,3.2394,-263.2241
2.45V_1Hz,2.4500,1.0368,-264.5647
2.45V_1Hz,2.4500,6.3103,-213.2712
2.45V_1Hz,2.4500,7.3657,-208.5270
2.45V_1Hz,2.4500,1.7223,-210.4326
2.45V_1Hz,2.4500,9.6359,-203.2026
2.45V_1Hz,2.4500,9.9185,-219.8158
2.45V_1Hz,2.4500,6.9694,-227.6707
2.45V_1Hz,2.4500,8.4199,-217.9246
2.45V_1Hz,2.4500,3.0445,-232.6183
2.45V_1Hz,2.4500,11.5728,-216.7901
2.45V_1Hz,2.4500,3.9134,-242.3891
2.45V_1Hz,2.4500,10.0638,-222.2688
2.45V_1Hz,2.4500,10.7702,-230.0249
2.45V_1Hz,2.4500,5.0828,-265.1976
2.45V_1Hz,2.4500,3.9525,-286.4349
2.45V_1Hz,2.4500,-1.1658,-327.5885
2.45V_1Hz,2.4500,-23.9164,-310.6190
2.45V_1Hz,2.4500,-24.4836,-338.2119
2.45V_1Hz,2.4500,-8.2423,-154.0142
2.45V_1Hz,2.4500,14.3452,20.8202
2.5V_1Hz,2.5000,0.1059,-0.0370
2.5V_1Hz,2.5000,38.5138,-4.5925
2.5V_1Hz,2.5000,32.2371,267.1893
2.5V_1Hz,2.5000,27.1903,311.7394
2.5V_1Hz,2.5000,18.6715,257.6215
2.5V_1Hz,2.5000,22.7832,137.1815
2.5V_1Hz,2.5000,62.8681,277.4996
2.5V_1Hz,2.5000,42.7710,20.0005
2.5V_1Hz,2.5000,25.8656,275.5859
2.5V_1Hz,2.5000,27.2938,313.7872
2.5V_1Hz,2.5000,20.8297,257.8616
2.5V_1Hz,2.5000,23.4794,213.8940
2.5V_1Hz,2.5000,34.9706,-85.8782
2.5V_1Hz,2.5000,67.3170,13.3110
2.5V_1Hz,2.5000,34.3724,130.7655
2.5V_1Hz,2.5000,26.0108,240.3623
2.5V_1Hz,2.5000,30.8234,280.2004
2.5V_1Hz,2.5000,26.0798,305.4272
2.5V_1Hz,2.5000,19.6110,280.1617
2.5V_1Hz,2.5000,21.7751,158.0617
2.5V_1Hz,2.5000,46.2957,-70.2952
2.5V_1Hz,2.5000,70.2879,156.2000
2.5V_1Hz,2.5000,31.1490,302.6591
2.5V_1Hz,2.5000,18.4686,261.7564
2.5V_1Hz,2.5000,17.1822,172.9201
2.5V_1Hz,2.5000,47.9769,-43.3913
2.5V_1Hz,2.5000,70.0172,61.6675
2.5V_1Hz,2.5000,30.4934,110.1001
2.5V_1Hz,2.5000,40.2003,-188.7119
2.5V_1Hz,2.5000,59.8665,-71.8952
2.6V_1Hz,2.6000,4.5360,-368.0945
2.6V_1Hz,2.6000,-17.1507,-281.4380
2.6V_1Hz,2.6000,-18.8699,-314.9702
2.6V_1Hz,2.6000,-4.4513,-345.9164
2.6V_1Hz,2.6000,-4.8669,-334.5296
2.6V_1Hz,2.6000,-5.5920,-328.2029
2.6V_1Hz,2.6000,-9.7656,-343.0570
2.6V_1Hz,2.6000,-14.3894,-324.0247
2.6V_1Hz,2.6000,-18.6174,-390.6623
2.6V_1Hz,2.6000,-14.7349,-317.9446
2.6V_1Hz,2.6000,-5.5905,-288.7091
2.6V_1Hz,2.6000,10.2454,-247.1564
2.6V_1Hz,2.6000,15.5740,-288.0887
2.6V_1Hz,2.6000,12.9463,-308.3184
2.6V_1Hz,2.6000,4.4448,-323.5991
2.6V_1Hz,2.6000,-22.7198,-438.1188
2.6V_1Hz,2.6000,2.8324,-293.9731
2.6V_1Hz,2.6000,12.5979,-271.6113
2.6V_1Hz,2.6000,13.6102,-280.9929
2.6V_1Hz,2.6000,3.8529,-384.5133
2.6V_1Hz,2.6000,-19.0724,-277.4254
2.6V_1Hz,2.6000,-18.8492,-360.1039
2.6V_1Hz,2.6000,-9.7859,-349.9515
2.6V_1Hz,2.6000,-7.9927,-337.8081
2.6V_1Hz,2.6000,-10.0275,-344.7966
2.6V_1Hz,2.6000,-17.8698,-385.4474
2.6V_1Hz,2.6000,-17.7669,-373.4228
2.6V_1Hz,2.6000,-16.0264,-331.0874
2.6V_1Hz,2.6000,-21.3745,-391.5001
2.6V_1Hz,2.6000,-20.8125,-365.7379
2.6V_1Hz,2.6000,-20.8497,-372.3969
2.8V_1Hz,2.8000,-21.7339,373.1013
2.8V_1Hz,2.8000,-31.5729,291.9351
2.8V_1Hz,2.8000,-36.9085,293.3441
2.8V_1Hz,2.8000,-14.1122,330.3843
