n,t_s,theta1_n,theta1_np1,theta2_n,theta2_np1
0,5.1546,22.8170,7.4035,23.9046,-3.8480
1,6.1856,7.4035,20.2311,-3.8480,-30.6030
2,7.2165,20.2311,25.9564,-30.6030,65.7088
3,8.2474,25.9564,17.5435,65.7088,-12.5381
4,9.2784,17.5435,14.2803,-12.5381,-41.6296
5,10.3093,14.2803,20.1989,-41.6296,89.7300
6,11.3402,20.1989,19.9101,89.7300,-21.6284
7,12.3711,19.9101,26.3278,-21.6284,-31.8538
8,13.4021,26.3278,29.0299,-31.8538,-21.4824
9,14.4330,29.0299,10.7782,-21.4824,19.3361
10,15.4639,10.7782,21.4553,19.3361,-42.3917
11,16.4948,21.4553,63.8994,-42.3917,-107.2752
12,17.5258,63.8994,22.0016,-107.2752,-29.0230
13,18.5567,22.0016,42.6442,-29.0230,-28.9966
14,19.5876,42.6442,15.2159,-28.9966,-17.1743
15,20.6186,15.2159,20.5025,-17.1743,-61.9150
16,21.6495,20.5025,58.5860,-61.9150,-29.4609
17,22.6804,58.5860,14.9870,-29.4609,-4.5257
18,23.7113,14.9870,27.9777,-4.5257,-42.8943
19,24.7423,27.9777,37.7015,-42.8943,109.5086
20,25.7732,37.7015,19.8572,109.5086,-17.7661
21,26.8041,19.8572,28.6075,-17.7661,-72.0266
22,27.8351,28.6075,5.7493,-72.0266,47.0064
23,28.8660,5.7493,3.2387,47.0064,-43.2814
24,29.8969,3.2387,31.8459,-43.2814,-161.5097
25,30.9278,31.8459,10.7857,-161.5097,-18.3430
26,31.9588,10.7857,34.8868,-18.3430,-135.2699
27,32.9897,34.8868,61.3629,-135.2699,-79.4758
28,34.0206,61.3629,13.3178,-79.4758,66.0810
29,35.0515,13.3178,26.2154,66.0810,-51.2180
30,36.0825,26.2154,4.5137,-51.2180,56.0987
31,37.1134,4.5137,18.5770,56.0987,-18.8392
32,38.1443,18.5770,29.2867,-18.8392,93.1940
33,39.1753,29.2867,22.5276,93.1940,-22.2067
34,40.2062,22.5276,23.2993,-22.2067,-27.7966
35,41.2371,23.2993,43.9012,-27.7966,-24.9965
36,42.2680,43.9012,17.5667,-24.9965,-19.8117
37,43.2990,17.5667,35.2528,-19.8117,-60.6042
38,44.3299,35.2528,15.0182,-60.6042,55.5940
39,45.3608,15.0182,24.4279,55.5940,-39.7807
40,46.3918,24.4279,15.7363,-39.7807,28.3389
41,47.4227,15.7363,14.2327,28.3389,10.3732
42,48.4536,14.2327,38.0002,10.3732,-63.8470
43,49.4845,38.0002,11.3836,-63.8470,47.0391
44,50.5155,11.3836,18.0546,47.0391,-34.3069
45,51.5464,18.0546,41.8524,-34.3069,-21.4497
46,52.5773,41.8524,17.3434,-21.4497,-20.2191
47,53.6082,17.3434,33.7284,-20.2191,-145.3930
48,54.6392,33.7284,40.8084,-145.3930,-94.3767
49,55.6701,40.8084,-1.9006,-94.3767,51.9612
50,56.7010,-1.9006,17.3426,51.9612,-43.5858
51,57.7320,17.3426,40.9418,-43.5858,-38.9175
52,58.7629,40.9418,19.7134,-38.9175,-31.0362
53,59.7938,19.7134,46.9048,-31.0362,39.5874
54,60.8247,46.9048,27.2853,39.5874,-44.8216
55,61.8557,27.2853,39.4273,-44.8216,-56.3432
56,62.8866,39.4273,16.3532,-56.3432,-18.7710
57,63.9175,16.3532,40.0853,-18.7710,-110.4072
58,64.9485,40.0853,21.0114,-110.4072,49.8476
59,65.9794,21.0114,12.7094,49.8476,-34.4653
60,67.0103,12.7094,20.6998,-34.4653,124.6200
61,68.0412,20.6998,17.2720,124.6200,12.1173
62,69.0722,17.2720,26.9833,12.1173,-23.6548
63,70.1031,26.9833,56.0363,-23.6548,-54.7114
64,71.1340,56.0363,58.3727,-54.7114,-57.9805
65,72.1649,58.3727,8.9650,-57.9805,55.6242
66,73.1959,8.9650,15.7223,55.6242,-16.2238
67,74.2268,15.7223,23.3704,-16.2238,-34.5523
68,75.2577,23.3704,37.1442,-34.5523,-118.4815
69,76.2887,37.1442,11.9813,-118.4815,45.2116
70,77.3196,11.9813,19.8104,45.2116,-26.2196
71,78.3505,19.8104,27.7562,-26.2196,45.9457
72,79.3814,27.7562,17.4869,45.9457,-10.4388
73,80.4124,17.4869,35.6457,-10.4388,-53.8212
74,81.4433,35.6457,5.5621,-53.8212,47.9029
75,82.4742,5.5621,15.2544,47.9029,-31.7974
76,83.5052,15.2544,25.2236,-31.7974,53.4936
77,84.5361,25.2236,18.9861,53.4936,-17.8925
78,85.5670,18.9861,18.2066,-17.8925,-47.2896
79,86.5979,18.2066,52.0581,-47.2896,126.0304
80,87.6289,52.0581,17.0775,126.0304,8.8684
81,88.6598,17.0775,26.8644,8.8684,-32.7730
