frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout,omega1_deg_s,omega2_deg_s
66,1.1011,driven,654.540,484.766,653.580,637.763,-3.170,-0.360,0,0.01,0.02
67,1.11778,driven,654.596,484.769,653.580,637.766,-3.149,-0.381,0,0.20,-0.18
68,1.13447,driven,654.596,484.769,653.541,637.765,-3.149,-0.395,0,-0.28,0.26
69,1.15115,driven,654.540,484.766,653.591,637.763,-3.170,-0.355,0,-0.85,1.30
70,1.16783,driven,654.515,484.765,653.591,637.762,-3.179,-0.346,0,-0.63,1.22
71,1.18452,driven,654.515,484.765,653.627,637.762,-3.179,-0.333,0,0.27,-0.09
72,1.2012,driven,654.515,484.765,653.627,637.762,-3.179,-0.333,0,1.07,-0.86
73,1.21788,driven,654.610,484.770,653.627,637.767,-3.144,-0.368,0,1.58,-1.44
74,1.23457,driven,654.670,484.773,653.645,637.770,-3.121,-0.384,0,1.28,-1.07
75,1.25125,driven,654.709,484.775,653.645,637.771,-3.106,-0.399,0,0.36,-0.70
76,1.26793,driven,654.709,484.775,653.625,637.771,-3.106,-0.406,0,0.37,-1.16
77,1.28462,driven,654.721,484.776,653.565,637.771,-3.102,-0.433,0,0.76,-1.55
78,1.3013,driven,654.780,484.779,653.562,637.774,-3.080,-0.456,0,0.16,0.04
79,1.31798,driven,654.780,484.779,653.562,637.774,-3.080,-0.456,0,-0.70,0.82
80,1.33467,driven,654.675,484.773,653.625,637.770,-3.119,-0.393,0,-1.07,1.27
81,1.35135,driven,654.675,484.773,653.536,637.769,-3.119,-0.427,0,-0.74,1.27
82,1.36803,driven,654.658,484.772,653.645,637.769,-3.126,-0.379,0,-0.31,0.74
83,1.38472,driven,654.620,484.770,653.645,637.767,-3.140,-0.365,0,-0.39,0.33
84,1.4014,driven,654.620,484.770,653.596,637.767,-3.140,-0.384,0,-0.27,-0.99
85,1.41808,driven,654.620,484.770,653.536,637.766,-3.140,-0.406,0,0.09,-1.05
86,1.43477,driven,654.602,484.769,653.517,637.766,-3.146,-0.406,0,-0.02,-0.34
87,1.45145,driven,654.649,484.772,653.508,637.768,-3.129,-0.428,0,1.07,-1.06
88,1.46813,driven,654.660,484.773,653.517,637.768,-3.125,-0.428,0,1.95,-1.88
89,1.48482,driven,654.826,484.781,653.513,637.776,-3.062,-0.492,0,1.81,-1.75
90,1.5015,driven,654.856,484.783,653.517,637.777,-3.051,-0.502,0,1.04,-0.94
91,1.51818,driven,654.867,484.784,653.513,637.778,-3.047,-0.507,0,-0.12,-0.16
92,1.53487,driven,654.867,484.784,653.513,637.778,-3.047,-0.507,0,-0.08,-0.54
93,1.55155,driven,654.856,484.783,653.446,637.777,-3.051,-0.528,0,-0.41,-0.24
94,1.56823,driven,654.838,484.782,653.446,637.776,-3.058,-0.521,0,-1.05,0.59
95,1.58492,driven,654.782,484.779,653.438,637.773,-3.079,-0.503,0,-0.84,1.29
96,1.6016,driven,654.728,484.776,653.446,637.771,-3.099,-0.480,0,-0.19,0.94
97,1.61828,driven,654.782,484.779,653.524,637.774,-3.079,-0.471,0,0.10,0.42
98,1.63497,driven,654.782,484.779,653.524,637.774,-3.079,-0.471,0,0.72,-0.09
99,1.65165,driven,654.782,484.779,653.524,637.774,-3.079,-0.471,0,1.62,-0.32
100,1.66833,driven,654.929,484.787,653.648,637.782,-3.024,-0.480,0,2.20,-0.33
101,1.68502,driven,655.021,484.792,653.725,637.786,-2.989,-0.485,0,1.46,0.02
102,1.7017,driven,655.021,484.792,653.725,637.786,-2.989,-0.485,0,0.12,-0.48
103,1.71838,driven,655.025,484.792,653.725,637.786,-2.988,-0.487,0,0.18,-1.81
104,1.73507,driven,655.025,484.792,653.591,637.785,-2.988,-0.537,0,-0.71,-1.20
105,1.75175,driven,655.021,484.792,653.530,637.785,-2.989,-0.558,0,-1.67,0.71
106,1.76843,driven,654.847,484.783,653.530,637.777,-3.055,-0.493,0,-1.69,2.49
107,1.78512,driven,654.842,484.782,653.591,637.777,-3.057,-0.468,0,-0.73,1.83
108,1.8018,driven,654.842,484.782,653.652,637.778,-3.057,-0.446,0,0.60,0.38
109,1.81848,driven,654.847,484.783,653.652,637.778,-3.055,-0.448,0,-0.35,1.00
110,1.83517,driven,654.847,484.783,653.706,637.778,-3.055,-0.428,0,-1.19,1.66
111,1.85185,driven,654.728,484.776,653.713,637.773,-3.099,-0.380,0,-1.03,1.34
112,1.86853,driven,654.697,484.775,653.713,637.771,-3.111,-0.368,0,-1.46,1.18
113,1.88522,driven,654.697,484.775,653.713,637.771,-3.111,-0.368,0,-1.59,2.11
114,1.9019,driven,654.518,484.765,653.713,637.763,-3.178,-0.301,0,-2.13,2.93
115,1.91858,driven,654.504,484.764,653.823,637.762,-3.183,-0.255,0,0.23,0.34
116,1.93527,driven,654.504,484.764,653.771,637.762,-3.183,-0.274,0,1.73,-1.86
117,1.95195,driven,654.721,484.776,653.771,637.773,-3.102,-0.356,0,1.37,-1.98
118,1.96863,driven,654.618,484.770,653.749,637.768,-3.140,-0.325,0,0.60,-0.68
119,1.98532,driven,654.690,484.774,653.749,637.771,-3.113,-0.352,0,-0.17,0.17
120,2.002,driven,654.690,484.774,653.749,637.771,-3.113,-0.352,0,0.47,-0.90
121,2.01868,driven,654.690,484.774,653.749,637.771,-3.113,-0.352,0,-0.11,0.45
122,2.03537,driven,654.690,484.774,653.717,637.771,-3.113,-0.365,0,0.07,1.45
123,2.05205,driven,654.699,484.775,653.883,637.772,-3.110,-0.306,0,0.18,0.61
124,2.06873,driven,654.699,484.775,653.883,637.772,-3.110,-0.306,0,-0.19,-0.74
125,2.08542,driven,654.699,484.775,653.717,637.772,-3.110,-0.368,0,-0.53,-1.66
126,2.1021,driven,654.644,484.772,653.680,637.769,-3.131,-0.361,0,-0.68,-0.34
127,2.11878,driven,654.644,484.772,653.680,637.769,-3.131,-0.361,0,0.07,0.13
128,2.13547,driven,654.644,484.772,653.680,637.769,-3.131,-0.361,0,0.89,-0.76
129,2.15215,driven,654.725,484.776,653.680,637.772,-3.100,-0.391,0,1.15,-1.08
130,2.16883,driven,654.749,484.777,653.680,637.774,-3.092,-0.400,0,0.69,-1.22
131,2.18552,driven,654.779,484.779,653.657,637.775,-3.080,-0.420,0,-0.15,-0.80
132,2.2022,driven,654.749,484.777,653.580,637.773,-3.092,-0.438,0,-0.12,-0.69
133,2.21888,driven,654.749,484.777,653.580,637.773,-3.092,-0.438,0,0.27,-0.59
134,2.23557,driven,654.785,484.779,653.580,637.775,-3.078,-0.451,0,0.65,-0.35
135,2.25225,driven,654.814,484.781,653.580,637.776,-3.067,-0.462,0,0.46,-0.13
136,2.26893,driven,654.814,484.781,653.613,637.776,-3.067,-0.450,0,0.14,0.13
137,2.28562,driven,654.824,484.781,653.613,637.777,-3.063,-0.453,0,0.04,0.00
138,2.3023,driven,654.824,484.781,653.604,637.777,-3.063,-0.457,0,0.04,-0.17
139,2.31898,driven,654.824,484.781,653.604,637.777,-3.063,-0.457,0,-0.15,0.15
140,2.33567,driven,654.824,484.781,653.609,637.777,-3.063,-0.455,0,0.19,-0.12
