n,t_s,theta1_n,theta1_np1,theta2_n,theta2_np1
0,5.1724,-26.3442,-35.6124,-145.5202,37.1220
1,6.0345,-35.6124,-28.7062,37.1220,-159.0685
2,6.8966,-28.7062,-34.7233,-159.0685,-128.0074
3,7.7586,-34.7233,-12.9851,-128.0074,-87.5221
4,8.6207,-12.9851,-25.6499,-87.5221,-144.8229
5,9.4828,-25.6499,-46.4346,-144.8229,-134.0803
6,10.3448,-46.4346,-15.2291,-134.0803,158.1576
7,11.2069,-15.2291,-35.7389,158.1576,-138.7992
8,12.0690,-35.7389,-31.4279,-138.7992,-160.3640
9,12.9310,-31.4279,-44.8782,-160.3640,-111.7600
10,13.7931,-44.8782,-27.2832,-111.7600,75.6353
11,14.6552,-27.2832,-38.0255,75.6353,53.3184
12,15.5172,-38.0255,-19.2372,53.3184,-111.9507
13,16.3793,-19.2372,-30.3021,-111.9507,-44.2196
14,17.2414,-30.3021,-37.4925,-44.2196,-138.0000
15,18.1034,-37.4925,-34.6431,-138.0000,-173.9611
16,18.9655,-34.6431,-34.0545,-173.9611,-92.4020
17,19.8276,-34.0545,-48.8031,-92.4020,-82.4984
18,20.6897,-48.8031,-14.4682,-82.4984,-132.7778
19,21.5517,-14.4682,-47.9632,-132.7778,-157.1424
20,22.4138,-47.9632,-36.6057,-157.1424,71.8485
21,23.2759,-36.6057,-36.4915,71.8485,31.0079
22,24.1379,-36.4915,-24.8544,31.0079,-150.7980
23,25.0000,-24.8544,-51.8668,-150.7980,-136.5464
24,25.8621,-51.8668,-11.9122,-136.5464,157.7786
25,26.7241,-11.9122,-29.4550,157.7786,-156.0221
26,27.5862,-29.4550,-41.4547,-156.0221,-156.0319
27,28.4483,-41.4547,-51.1962,-156.0319,-136.2546
28,29.3103,-51.1962,-30.5697,-136.2546,52.9734
29,30.1724,-30.5697,-30.2617,52.9734,-143.1958
30,31.0345,-30.2617,-22.1831,-143.1958,-129.5699
31,31.8966,-22.1831,-24.6852,-129.5699,147.2945
32,32.7586,-24.6852,-29.4924,147.2945,-156.0103
33,33.6207,-29.4924,-46.7070,-156.0103,-161.9109
34,34.4828,-46.7070,-53.0897,-161.9109,-154.9384
35,35.3448,-53.0897,-47.5872,-154.9384,-107.7625
36,36.2069,-47.5872,-39.1566,-107.7625,52.1248
37,37.0690,-39.1566,-23.7264,52.1248,-135.6591
38,37.9310,-23.7264,-30.4344,-135.6591,125.7870
39,38.7931,-30.4344,-36.4157,125.7870,109.0577
40,39.6552,-36.4157,-27.2800,109.0577,78.8592
41,40.5172,-27.2800,-38.1284,78.8592,66.9933
42,41.3793,-38.1284,-30.5906,66.9933,-34.7050
43,42.2414,-30.5906,-43.7290,-34.7050,-20.7822
44,43.1034,-43.7290,-39.3099,-20.7822,1.0234
45,43.9655,-39.3099,-49.9514,1.0234,-66.3290
46,44.8276,-49.9514,-37.3321,-66.3290,-164.7673
47,45.6897,-37.3321,-37.2727,-164.7673,-65.1227
48,46.5517,-37.2727,-32.9877,-65.1227,-92.5894
49,47.4138,-32.9877,-44.8867,-92.5894,-17.3501
50,48.2759,-44.8867,-33.0960,-17.3501,78.4791
51,49.1379,-33.0960,-29.9186,78.4791,111.7640
52,50.0000,-29.9186,-45.7378,111.7640,-48.3053
53,50.8621,-45.7378,-44.1306,-48.3053,10.3807
54,51.7241,-44.1306,-50.7118,10.3807,63.4070
55,52.5862,-50.7118,-37.8903,63.4070,-15.4066
56,53.4483,-37.8903,-54.2902,-15.4066,-52.9589
57,54.3103,-54.2902,-36.4839,-52.9589,62.8775
58,55.1724,-36.4839,-38.4940,62.8775,-28.3590
59,56.0345,-38.4940,-31.4900,-28.3590,66.3986
60,56.8966,-31.4900,-34.7880,66.3986,-40.8545
61,57.7586,-34.7880,-25.6309,-40.8545,89.4292
62,58.6207,-25.6309,-26.5546,89.4292,123.1656
63,59.4828,-26.5546,-25.8097,123.1656,122.3622
64,60.3448,-25.8097,-28.2705,122.3622,104.0401
65,61.2069,-28.2705,-50.1698,104.0401,-67.9424
66,62.0690,-50.1698,-46.5090,-67.9424,-19.2019
67,62.9310,-46.5090,-30.9760,-19.2019,96.7213
68,63.7931,-30.9760,-29.1275,96.7213,-133.8043
69,64.6552,-29.1275,-29.9054,-133.8043,62.7716
70,65.5172,-29.9054,-21.9012,62.7716,-102.7318
71,66.3793,-21.9012,-49.6497,-102.7318,-63.5658
72,67.2414,-49.6497,-51.0456,-63.5658,-28.3723
73,68.1034,-51.0456,-35.1245,-28.3723,75.7751
74,68.9655,-35.1245,-27.2510,75.7751,121.3344
75,69.8276,-27.2510,-27.4771,121.3344,119.4473
76,70.6897,-27.4771,-24.4555,119.4473,98.5116
77,71.5517,-24.4555,-46.4499,98.5116,-59.2992
78,72.4138,-46.4499,-43.1082,-59.2992,-13.7081
79,73.2759,-43.1082,-31.2175,-13.7081,97.6560
80,74.1379,-31.2175,-29.4192,97.6560,-127.5871
81,75.0000,-29.4192,-42.3289,-127.5871,11.2500
82,75.8621,-42.3289,-26.6888,11.2500,-93.1924
83,76.7241,-26.6888,-26.3858,-93.1924,96.3968
84,77.5862,-26.3858,-37.8863,96.3968,6.6882
85,78.4483,-37.8863,-40.8019,6.6882,-24.2100
86,79.3103,-40.8019,-27.2969,-24.2100,118.3975
87,80.1724,-27.2969,-29.3143,118.3975,123.5812
88,81.0345,-29.3143,-29.2296,123.5812,119.2101
89,81.8966,-29.2296,-26.9080,119.2101,108.0694
90,82.7586,-26.9080,-44.4777,108.0694,102.8048
91,83.6207,-44.4777,-33.8784,102.8048,-111.5193
92,84.4828,-33.8784,-52.4594,-111.5193,-41.4294
93,85.3448,-52.4594,-34.0536,-41.4294,81.8465
94,86.2069,-34.0536,-36.7493,81.8465,51.3829
95,87.0690,-36.7493,-33.5448,51.3829,-155.1263
96,87.9310,-33.5448,-56.0544,-155.1263,-164.7229
97,88.7931,-56.0544,-48.4028,-164.7229,-160.4825
98,89.6552,-48.4028,-43.5669,-160.4825,-161.5285
99,90.5172,-43.5669,-47.6124,-161.5285,-162.9800
100,91.3793,-47.6124,-41.9946,-162.9800,-144.6586
101,92.2414,-41.9946,-18.7116,-144.6586,-120.5522
102,93.1034,-18.7116,-27.8340,-120.5522,-144.0467
103,93.9655,-27.8340,-58.5112,-144.0467,-166.4491
104,94.8276,-58.5112,-44.5066,-166.4491,-161.9586
105,95.6897,-44.5066,-45.4048,-161.9586,-163.2113
106,96.5517,-45.4048,-43.7228,-163.2113,-163.9547
107,97.4138,-43.7228,-48.2804,-163.9547,-168.4031
108,98.2759,-48.2804,-35.5414,-168.4031,-150.1538
