t_s,theta1_deg,omega1_deg_s,theta2_deg,omega2_deg_s
5.1724,-26.3442,237.6358,-145.5202,-208.1624
6.0345,-35.6124,486.6834,37.1220,28.7227
6.8966,-28.7062,189.7233,-159.0685,-317.5460
7.7586,-34.7233,200.5987,-128.0074,45.7725
8.6207,-12.9851,267.8651,-87.5221,-650.3575
9.4828,-25.6499,193.7286,-144.8229,-467.7183
10.3448,-46.4346,266.0934,-134.0803,-322.5668
11.2069,-15.2291,391.1713,158.1576,584.5340
12.0690,-35.7389,325.3293,-138.7992,733.8598
12.9310,-31.4279,129.6078,-160.3640,-379.0117
13.7931,-44.8782,291.6924,-111.7600,-220.3233
14.6552,-27.2832,412.3583,75.6353,165.9030
15.5172,-38.0255,373.1897,53.3184,-302.8614
16.3793,-19.2372,218.1116,-111.9507,-441.6419
17.2414,-30.3021,607.3802,-44.2196,-926.3400
18.1034,-37.4925,329.0156,-138.0000,728.2030
18.9655,-34.6431,143.5664,-173.9611,-413.2604
19.8276,-34.0545,357.3280,-92.4020,-345.6977
20.6897,-48.8031,165.5269,-82.4984,855.8337
21.5517,-14.4682,196.7280,-132.7778,-608.4659
22.4138,-47.9632,242.8245,-157.1424,-333.5534
23.2759,-36.6057,325.8295,71.8485,-217.5245
24.1379,-36.4915,409.7546,31.0079,-437.5653
25.0000,-24.8544,216.9585,-150.7980,-396.2425
25.8621,-51.8668,266.3646,-136.5464,-320.2039
26.7241,-11.9122,455.2660,157.7786,607.4357
27.5862,-29.4550,195.6279,-156.0221,-474.6132
28.4483,-41.4547,245.5606,-156.0319,-379.1603
29.3103,-51.1962,244.3007,-136.2546,-378.0191
30.1724,-30.5697,480.5216,52.9734,69.9606
31.0345,-30.2617,166.9975,-143.1958,-385.6931
31.8966,-22.1831,240.7680,-129.5699,-507.3654
32.7586,-24.6852,469.8154,147.2945,590.7107
33.6207,-29.4924,233.7943,-156.0103,-477.7831
34.4828,-46.7070,219.0194,-161.9109,-427.4635
35.3448,-53.0897,220.7335,-154.9384,-439.6735
36.2069,-47.5872,214.8405,-107.7625,-207.2817
