n,t_s,theta1_n,theta1_np1,theta2_n,theta2_np1
0,5.3846,1.8455,-28.8313,-120.3212,-64.7661
1,6.1538,-28.8313,-4.2083,-64.7661,154.6609
2,6.9231,-4.2083,1.2956,154.6609,177.8526
3,7.6923,1.2956,-49.5462,177.8526,124.3046
4,8.4615,-49.5462,-22.6863,124.3046,-137.8153
5,9.2308,-22.6863,17.0988,-137.8153,-120.4808
6,10.0000,17.0988,-40.4090,-120.4808,-76.8094
7,10.7692,-40.4090,15.5981,-76.8094,-149.9315
8,11.5385,15.5981,-42.3349,-149.9315,-46.5144
9,12.3077,-42.3349,-9.5326,-46.5144,51.8744
10,13.0769,-9.5326,-15.8677,51.8744,-107.9112
11,13.8462,-15.8677,-0.6633,-107.9112,125.5517
12,14.6154,-0.6633,-27.6915,125.5517,-53.1346
13,15.3846,-27.6915,-4.5286,-53.1346,-84.1899
14,16.1538,-4.5286,-29.4986,-84.1899,128.2785
15,16.9231,-29.4986,-37.3687,128.2785,35.0049
16,17.6923,-37.3687,-18.9565,35.0049,120.6625
17,18.4615,-18.9565,-20.3389,120.6625,158.7492
18,19.2308,-20.3389,-16.0168,158.7492,-97.3232
19,20.0000,-16.0168,-32.9550,-97.3232,-19.5587
20,20.7692,-32.9550,1.1563,-19.5587,179.5650
21,21.5385,1.1563,-49.1896,179.5650,44.4815
22,22.3077,-49.1896,-10.5422,44.4815,-66.7673
23,23.0769,-10.5422,-12.0885,-66.7673,37.6740
24,23.8462,-12.0885,-24.9251,37.6740,138.7535
25,24.6154,-24.9251,-3.9340,138.7535,132.4708
26,25.3846,-3.9340,-11.7460,132.4708,-119.2844
27,26.1538,-11.7460,18.2584,-119.2844,-116.7524
28,26.9231,18.2584,-37.8560,-116.7524,-73.1599
29,27.6923,-37.8560,7.2315,-73.1599,173.5979
30,28.4615,7.2315,-44.3966,173.5979,-68.0310
31,29.2308,-44.3966,11.2313,-68.0310,109.3265
32,30.0000,11.2313,-24.7282,109.3265,134.0490
33,30.7692,-24.7282,-12.3905,134.0490,-128.5188
34,31.5385,-12.3905,-35.0729,-128.5188,-32.7845
35,32.3077,-35.0729,-16.1569,-32.7845,-146.5471
36,33.0769,-16.1569,-23.0834,-146.5471,-24.0735
37,33.8462,-23.0834,2.8001,-24.0735,-102.7374
38,34.6154,2.8001,-8.7084,-102.7374,154.7192
