t_s,theta1_deg,omega1_deg_s
5.3108,74.4593,263.7382
7.8587,30.6830,31.8304
8.3108,-53.3404,-314.0337
9.0899,-52.0154,-367.3378
10.0403,-72.7310,-29.5999
10.6391,49.5657,-546.2038
12.0053,-17.9308,320.2448
13.3065,-31.3645,-462.8603
13.8306,40.1159,56.9910
14.6123,23.0235,456.6918
15.1982,-70.2750,15.5868
15.6683,83.7755,-178.0678
17.2560,29.5750,50.5659
17.7070,-51.6748,-350.2379
18.4781,-52.5062,-369.7462
19.4365,-75.0400,-59.9660
20.1037,14.1362,-723.1025
20.7007,55.9600,15.6967
21.1414,-65.1347,-172.5668
21.9140,-52.2286,-385.9391
22.7894,-62.6190,-264.0115
23.7035,-75.7128,-79.6695
24.4694,-39.4755,-526.9670
25.2672,-30.8609,-519.5513
25.8321,53.3730,76.5093
26.5741,21.3363,484.6773
27.1475,-70.3720,-92.8660
27.8379,-7.9385,-704.7514
28.4857,69.8259,-195.5266
30.3145,36.5934,-501.1172
33.6834,46.7828,-529.1060
34.4267,71.2214,-194.1181
35.2554,73.6836,-72.4806
37.1730,12.0976,-709.0641
37.8373,65.9650,-40.1671
38.7731,68.6062,-402.1881
39.7517,7.6709,-616.2817
40.4475,71.9762,-299.0416
41.6227,-71.1263,-184.3767
42.5240,-74.3000,-31.0288
43.1351,42.9626,-599.7157
44.0542,-6.4155,-694.1056
45.0029,-50.1996,-372.5330
45.8703,-66.3853,-252.0862
46.7819,-75.9840,-78.0525
47.4954,-11.2164,-690.9065
48.2409,45.9732,-513.0741
49.0383,57.0632,-481.3318
50.6701,60.7158,-208.4015
51.3280,-21.4581,345.1998
52.6304,-34.3480,-470.6519
53.1700,47.6710,103.6708
53.6301,-65.9420,-174.2048
54.3849,-43.8893,-465.1207
55.2399,-56.0180,-390.4266
55.9333,36.9387,-545.1491
56.9159,-36.9297,-460.6103
57.4872,59.8490,20.5422
58.3295,71.7630,-8.1027
59.0175,-12.0405,494.8144
59.7560,-46.1885,403.7394
59.9646,51.5305,346.5891
60.7342,1.7141,506.9024
61.3222,-66.9651,-237.5626
63.7221,-6.4006,-593.8887
64.2873,47.7830,-58.6705
64.7222,-65.2548,-215.6451
65.5159,-59.8966,-318.5398
66.3386,-54.3405,-408.0019
67.1958,-53.5553,-395.3559
68.8353,4.9894,-595.1612
69.4929,71.5790,-269.7105
73.1493,-39.8723,-508.0267
73.8753,43.7676,-501.7014
74.7367,36.6409,-640.5360
75.4122,61.1760,-55.9350
75.9401,-74.3882,196.4868
76.2587,70.0060,232.2690
77.3851,-13.6161,-574.4235
77.9364,41.1470,-41.7395
78.4679,-73.1510,62.0304
78.8818,83.2120,-29.6781
80.7792,22.5593,-577.3976
89.8853,24.0147,92.5884
90.7045,40.3495,383.3290
91.5113,19.0701,464.0445
92.0814,-66.0262,-258.2869
93.7740,-72.9404,-160.5377
95.3656,-25.1815,-606.3897
96.1149,26.2480,-585.1883
97.6110,31.6190,-14.2632
98.0163,-34.5242,-534.0018
99.6589,-28.4378,-570.1057
100.4297,-2.1724,-575.3069
101.0369,53.9092,-100.8907
101.5480,-71.2209,92.2306
101.9374,74.9470,26.7721
