t_s,theta1_deg,omega1_deg_s,theta2_deg,omega2_deg_s
5.1282,-5.1109,601.9108,14.8656,-439.1086
5.9829,-12.9226,328.7166,42.0561,-133.9642
6.8376,-31.9549,392.0076,-175.2903,-119.2124
7.6923,-21.6956,364.4893,-120.0724,120.3089
8.5470,5.6539,441.8957,90.0703,-355.0605
9.4017,1.5540,414.9574,108.5467,-306.0443
10.2564,7.4851,653.6587,28.2621,-752.3242
11.1111,-5.9219,352.3423,-153.4809,-129.9510
11.9658,-28.6182,248.3281,-42.8583,1108.3373
12.8205,-11.9243,262.7904,173.0407,-350.9506
13.6752,-11.4442,414.8033,-73.9624,-57.7303
14.5299,-16.6391,508.4794,-17.2387,86.6962
15.3846,-0.4739,616.0699,29.8885,-599.9452
16.2393,-14.6255,345.3700,-169.0833,-96.4774
17.0940,-23.4254,378.1467,-118.4438,143.5329
17.9487,5.8211,421.3726,100.8085,-272.6538
18.8034,-0.6178,428.2201,103.8540,-350.1419
19.6581,4.9814,623.0586,39.2457,-744.8925
20.5128,-6.8677,373.3396,-86.6398,-150.6086
21.3675,5.8519,485.7260,79.0183,-472.5997
22.2222,0.9555,415.6479,122.6990,-185.6731
23.0769,2.2856,443.5446,104.0236,-350.4605
23.9316,4.5318,576.1221,57.8773,-732.5993
24.7863,-4.6650,427.0057,138.6595,40.8495
25.6410,-11.5255,504.8063,-48.0476,-486.9944
26.4957,-17.4676,508.6773,-14.5057,99.3689
27.3504,-0.3195,562.3144,54.5396,-579.4985
28.2051,-17.8916,626.3096,-2.2776,-877.0664
29.0598,-10.6852,342.8677,-178.6416,-206.6959
29.9145,-25.4991,400.1439,175.2380,-184.2731
30.7692,-19.5456,395.2426,-178.0447,-171.0561
31.6239,-32.5041,389.0267,177.3073,-145.2132
32.4786,-32.9461,374.2701,-177.7096,-155.1272
33.3333,-32.4343,358.6979,-162.7209,-141.4416
34.1880,-0.3608,368.8981,-124.5711,-117.2897
35.0427,2.1776,447.8419,-124.9962,-8.5451
35.8974,-22.9288,488.4689,73.3222,-629.1270
36.7521,-1.6870,341.0309,-163.4788,60.2541
37.6068,-4.4388,475.7868,-45.9399,-596.3189
38.4615,1.7835,407.4409,-136.7717,-84.8949
39.3162,-6.8983,356.9865,43.7022,-237.1835
40.1709,-9.7090,441.7501,-152.4334,22.6037
41.0256,-11.1911,358.9302,163.0855,-362.3249
41.8803,3.3469,511.3862,78.2416,-585.2485
42.7350,2.6654,639.0354,34.6572,-702.7716
43.5897,-5.1060,339.6543,-147.7714,-143.0198
44.4444,-14.1252,471.0701,61.2841,-638.6058
45.2991,2.5824,416.0610,111.8403,-272.1564
46.1538,4.8789,435.4491,111.0259,-312.9267
47.0085,6.0313,616.5614,46.4996,-728.1674
47.8632,-16.4609,607.5083,22.0088,-836.8865
48.7179,-2.3992,345.1554,-140.1303,-116.2586
49.5726,-4.2752,418.2121,-161.4769,-100.2444
50.4274,-24.2518,398.4832,-157.7136,-2.4424
51.2821,-32.0636,138.5497,-48.8092,1187.8657
52.1368,-13.6419,280.7062,172.0711,-330.5159
52.9915,-14.6746,470.8105,-58.5616,-321.9838
53.8462,2.2763,504.7722,73.2238,-500.7938
54.7009,-4.9604,427.8313,130.3136,-38.4159
55.5556,-4.4583,467.1391,150.9420,171.6992
56.4103,-21.1610,408.0688,169.8423,-224.3936
57.2650,-21.4226,639.8783,-21.6757,-738.3657
58.1197,-2.1296,424.0712,-74.2174,-435.1624
58.9744,-31.9646,423.2619,-24.4485,636.6175
59.8291,-9.5176,554.0788,-6.2238,-221.3314
60.6838,-24.1597,494.6565,-17.4310,361.8490
61.5385,-2.8741,439.2759,100.8641,-211.1897
62.3932,-4.2609,346.7455,-178.3180,-143.3020
63.2479,-33.7623,404.1659,169.9357,-184.6198
64.1026,-14.0221,435.1305,-124.7217,-6.8252
64.9573,4.0148,456.8776,93.1223,-348.4311
65.8120,5.4659,420.7806,135.6951,-94.9284
66.6667,-4.7339,429.7120,134.9938,-45.2425
67.5214,-6.3613,493.0378,154.6142,249.2918
68.3761,-32.2881,407.0334,170.0954,-157.4413
69.2308,-10.2790,429.3916,-147.9591,-22.5191
70.0855,-3.2951,407.3249,-164.7250,-141.3375
70.9402,-36.4492,406.0010,-121.3067,-151.6198
71.7949,-31.9085,379.6893,-168.2090,-138.3213
72.6496,-9.6878,459.3666,144.9034,14.4086
73.5043,-16.1348,641.3099,23.9603,-821.2520
74.3590,-2.4379,356.7210,-143.4310,-117.9720
75.2137,-1.4985,410.5937,-113.7277,-41.2577
76.0684,-19.3447,609.1130,19.0058,-360.5748
76.9231,-11.2023,332.7992,172.2313,-223.5311
77.7778,-10.9302,454.5751,-115.3023,89.4676
78.6325,-6.0835,622.0405,28.3819,-545.5003
79.4872,-14.6693,355.6928,-11.6476,-123.3477
80.3419,-33.9432,400.9116,173.7424,-208.3955
81.1966,-17.3327,392.6520,-171.8096,-174.2911
82.0513,-37.0118,385.1353,175.4223,-195.7087
82.9060,-25.1829,356.2149,-39.9739,-206.6471
83.7607,-26.4989,385.9961,42.7523,-167.4185
84.6154,-32.3060,392.8810,175.9240,-141.0245
85.4701,-29.9323,375.2897,177.8214,-158.1385
86.3248,-27.9458,383.8681,-67.9664,-140.8295
87.1795,-30.9698,391.9402,178.4975,-133.6122
88.0342,-30.0066,389.8153,-178.4424,-145.1228
88.8889,-32.9022,384.0432,-171.6390,-123.3516
89.7436,-14.6011,333.4978,-112.2079,326.2964
90.5983,-8.3412,533.6231,-8.5869,-123.0858
91.4530,-9.9496,517.1247,-16.6233,195.7309
92.3077,0.4902,456.3625,112.7166,-145.0305
93.1624,2.7180,375.8139,-161.7325,46.9139
94.0171,1.1688,464.1955,92.5709,-395.3971
94.8718,-0.0910,357.7231,-163.3178,60.6283
95.7265,1.2586,402.0305,152.1266,87.6042
96.5812,-13.1428,438.7311,-169.6489,-18.5845
97.4359,-28.2011,396.4133,-134.8754,86.2885
98.2906,13.3635,375.3462,159.0363,149.6045
99.1453,-27.6631,454.7592,-173.8265,16.4830
100.0000,0.2005,389.3720,146.5320,48.8504
100.8547,-7.2169,470.1007,-135.0287,168.8934
101.7094,-5.0456,597.9716,24.1089,-509.1086
