frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout,omega1_deg_s,omega2_deg_s
0,0.0,driven,575.723,491.835,573.985,652.826,-2.590,-0.619,0,-7.04,9.01
1,0.01668,driven,575.459,491.823,574.065,652.817,-2.685,-0.496,0,-3.53,4.44
2,0.03337,driven,575.399,491.820,574.065,652.815,-2.706,-0.475,0,-1.10,1.13
3,0.05005,driven,575.331,491.817,574.065,652.812,-2.730,-0.451,0,0.24,-0.91
4,0.06673,driven,575.399,491.820,574.021,652.815,-2.706,-0.491,0,-0.03,-0.18
5,0.08342,driven,575.370,491.819,573.949,652.813,-2.716,-0.506,0,-0.21,-2.68
6,0.1001,driven,575.331,491.817,573.877,652.811,-2.730,-0.518,0,-0.12,-7.19
7,0.11678,driven,575.370,491.819,573.298,652.806,-2.716,-0.737,0,1.41,-8.70
8,0.13347,driven,575.456,491.823,572.913,652.803,-2.686,-0.905,0,1.94,-9.60
9,0.15015,driven,575.567,491.828,572.907,652.806,-2.646,-0.947,0,1.74,-7.61
10,0.16683,driven,575.567,491.828,572.214,652.793,-2.646,-1.193,0,-0.77,-9.03
11,0.18352,driven,575.567,491.828,571.966,652.788,-2.646,-1.281,0,-2.49,-10.95
12,0.2002,driven,575.295,491.816,571.137,652.762,-2.743,-1.480,0,-2.68,-7.99
13,0.21688,driven,575.295,491.816,570.677,652.749,-2.743,-1.644,0,-1.62,-8.27
14,0.23357,driven,575.241,491.813,570.483,652.743,-2.762,-1.693,0,1.16,-7.05
15,0.25025,driven,575.295,491.816,569.959,652.727,-2.743,-1.900,0,2.09,-12.22
16,0.26693,driven,575.466,491.824,569.682,652.720,-2.682,-2.059,0,1.00,-12.76
17,0.28362,driven,575.466,491.824,568.799,652.686,-2.682,-2.373,0,-0.68,-7.22
18,0.3003,driven,575.286,491.815,568.738,652.682,-2.746,-2.331,0,-1.59,-3.69
19,0.31698,driven,575.344,491.818,568.613,652.677,-2.725,-2.396,0,-0.33,-5.32
20,0.33367,driven,575.286,491.815,568.148,652.657,-2.746,-2.541,0,-0.63,-8.32
21,0.35035,driven,575.281,491.815,567.633,652.633,-2.748,-2.723,0,-2.44,-4.14
22,0.36703,driven,575.080,491.805,567.599,652.631,-2.820,-2.663,0,-2.38,0.67
23,0.38372,driven,575.003,491.801,567.541,652.628,-2.847,-2.657,0,-1.42,1.13
24,0.4004,driven,575.003,491.801,567.541,652.628,-2.847,-2.657,0,0.60,-1.40
25,0.41708,driven,575.029,491.803,567.434,652.623,-2.838,-2.704,0,0.42,-0.13
26,0.43377,driven,575.080,491.805,567.541,652.628,-2.820,-2.684,0,-0.00,0.81
27,0.45045,driven,575.029,491.803,567.605,652.631,-2.838,-2.643,0,0.96,0.98
28,0.46713,driven,575.131,491.808,567.643,652.633,-2.802,-2.666,0,4.15,-1.90
29,0.48382,driven,575.392,491.820,567.869,652.644,-2.709,-2.678,0,5.67,-0.01
30,0.5005,driven,575.724,491.835,568.088,652.654,-2.590,-2.718,0,3.80,3.71
31,0.51718,driven,575.724,491.835,568.598,652.678,-2.590,-2.537,0,0.88,3.79
32,0.53387,driven,575.724,491.835,568.711,652.683,-2.590,-2.496,0,-0.87,6.05
33,0.55055,driven,575.685,491.834,568.770,652.685,-2.604,-2.462,0,-2.54,10.14
34,0.56723,driven,575.558,491.828,569.527,652.715,-2.650,-2.147,0,-4.28,13.92
35,0.58392,driven,575.243,491.813,569.910,652.725,-2.762,-1.898,0,-3.75,14.35
36,0.6006,driven,575.175,491.810,570.147,652.731,-2.786,-1.790,0,-2.16,9.37
37,0.61728,driven,575.175,491.810,570.794,652.750,-2.786,-1.559,0,1.24,5.10
38,0.63397,driven,575.175,491.810,570.832,652.751,-2.786,-1.546,0,3.43,4.75
39,0.65065,driven,575.502,491.825,571.207,652.768,-2.669,-1.529,0,5.00,2.62
40,0.66733,driven,575.684,491.834,571.876,652.789,-2.604,-1.355,0,4.07,3.27
41,0.68402,driven,575.826,491.840,571.890,652.792,-2.554,-1.401,0,1.31,4.87
