t_s,theta1_deg,omega1_deg_s,theta2_deg,omega2_deg_s
5.0847,33.7982,386.7391,163.6182,-278.5720
5.9322,37.0873,434.3377,-160.6958,119.3465
6.7797,28.5307,141.2165,-30.4400,1216.2018
7.6271,66.4076,228.1622,4.5844,-727.6500
8.4746,57.1819,176.6767,-41.5421,-449.6361
9.3220,64.4066,198.6627,-16.6211,-636.0669
10.1695,69.4650,298.1898,-35.6826,-261.7887
11.0169,57.0097,239.3058,-21.8218,-634.9309
11.8644,71.1568,340.6665,-27.6858,92.9293
12.7119,44.9492,363.2569,-160.1750,29.8864
13.5593,29.6446,111.3795,-21.7453,1235.5503
14.4068,66.4663,205.7771,-5.7567,-603.5485
15.2542,61.1338,169.7932,-31.6548,-514.7675
16.1017,68.9523,278.2286,-33.8810,-383.1060
16.9492,59.0617,275.6423,29.6813,569.7794
17.7966,72.8061,334.3562,-32.2392,-305.6426
18.6441,59.4005,448.5298,87.3635,-989.6387
19.4915,38.9430,-9.5283,-7.4099,1140.4327
20.3390,48.0370,358.3746,24.5828,475.3453
21.1864,67.9030,338.9095,-17.2343,181.4039
22.0339,40.1249,350.4003,170.8224,-143.6334
22.8814,34.8706,435.4519,-173.8266,23.4086
23.7288,31.0110,460.5114,-100.3761,843.9574
24.5763,55.3925,324.2683,20.8079,542.7554
25.4237,67.2947,304.5876,4.7398,470.1289
26.2712,68.9237,405.4309,-87.3438,637.0143
27.1186,44.3262,511.9490,90.6448,-1149.0051
27.9661,50.7256,322.7752,-49.4241,121.8092
28.8136,47.7928,380.1071,-149.0172,164.2777
29.6610,23.4752,84.2325,4.6090,1223.3801
30.5085,54.8798,337.0851,1.9993,327.4878
31.3559,57.0509,374.5168,-52.0629,676.7236
32.2034,37.9744,503.1949,34.8717,217.2724
33.0508,44.2417,419.8021,23.6091,320.6446
33.8983,52.8289,334.8169,23.9531,532.0052
34.7458,73.7078,343.0898,-31.7331,-177.1866
35.5932,51.0619,387.9571,-53.4672,-235.1853
36.4407,45.6982,367.9774,-54.2277,301.4794
37.2881,57.3829,322.4108,177.9607,-324.6813
38.1356,26.2952,471.8862,117.9999,-685.5729
38.9831,44.1261,359.1194,-37.6617,439.7240
39.8305,48.0369,381.1811,31.4608,450.3629
40.6780,68.2171,355.2601,-17.9307,190.1664
41.5254,37.3944,377.7559,147.3921,-414.7554
42.3729,33.7497,437.4611,128.4026,-608.3730
43.2203,43.1598,103.7702,-29.4156,1091.1575
44.0678,70.9167,203.9104,-4.9663,-665.0880
44.9153,69.4277,400.1137,36.9086,-972.3089
45.7627,57.7126,461.2103,98.8483,-1038.2789
46.6102,58.3978,375.9388,-148.3187,71.7536
47.4576,29.6660,177.3422,-39.0648,1229.4660
48.3051,69.8570,330.6063,26.9597,-877.2338
49.1525,61.3557,399.0208,17.9459,-920.6817
50.0000,67.9431,334.9369,17.8696,-967.6225
50.8475,70.4868,377.7478,30.8249,-931.7735
51.6949,57.0238,335.9563,136.5477,-533.9271
52.5424,33.4142,434.1850,145.3027,-472.6237
53.3898,39.0423,374.5765,148.9490,-442.8770
54.2373,35.0301,392.3206,156.1333,-359.1336
55.0847,34.2035,398.5653,168.6807,-190.3862
55.9322,30.9957,416.8469,171.6224,-163.6293
56.7797,35.6276,442.0306,-167.1467,44.4231
57.6271,40.3406,358.4832,-72.2693,937.9905
58.4746,69.0198,195.2070,-25.8876,-327.1557
59.3220,57.2026,214.8550,-35.5377,-481.0111
60.1695,69.2614,321.8325,-35.3128,-245.3681
61.0169,50.4128,357.4517,-52.6152,-235.8125
61.8644,48.5199,323.0254,-50.3316,369.0706
62.7119,70.0974,335.3166,-66.9489,751.2666
63.5593,53.8327,526.3706,85.3661,-1251.7602
64.4068,54.2351,288.4403,-52.7164,-102.5309
65.2542,53.0185,182.0868,-42.1253,749.6349
66.1017,19.1052,497.3920,61.8889,339.4066
66.9492,27.4613,433.9377,105.1830,-779.8627
67.7966,41.0746,285.9002,-27.2080,650.2723
68.6441,69.9342,215.4594,-24.4363,-452.9441
69.4915,66.6042,464.8194,61.0132,-1081.8556
70.3390,52.4439,328.0227,-50.7926,162.0450
71.1864,46.3879,331.8089,169.5680,-311.9492
72.0339,30.6337,443.6289,148.2394,-407.0329
72.8814,39.4768,405.9052,136.5997,-558.4784
73.7288,44.2927,397.5599,135.6106,-614.1100
74.5763,40.9492,410.5143,128.7851,-679.0310
75.4237,62.4401,450.8210,-97.9421,662.5546
76.2712,45.2686,571.0004,67.4800,-1313.0180
77.1186,62.3404,192.8260,-33.7547,-485.3765
77.9661,72.0789,325.2988,-34.1137,-168.2572
78.8136,51.0914,364.4223,-47.6990,440.3273
79.6610,57.5321,301.3605,-42.9588,804.8659
80.5085,70.9833,296.9384,12.7567,-798.0851
81.3559,69.1949,265.1488,-1.4375,-766.2955
82.2034,68.3969,228.7156,-32.1405,-390.9409
83.0508,70.6165,353.4946,-33.7487,-123.9915
83.8983,49.4608,281.3820,-44.3788,792.7931
84.7458,68.6196,239.0102,-29.0603,-330.4410
85.5932,58.8578,235.6410,-22.4294,-584.2984
86.4407,67.0403,315.3364,2.9955,431.9513
87.2881,55.8264,409.4700,-69.3637,-33.5752
88.1356,49.8369,348.4560,-48.7803,560.3919
88.9831,26.2355,547.0020,64.7509,296.4517
89.8305,35.3723,613.1676,37.4659,-1275.2132
90.6780,67.4015,183.1808,-33.7165,-451.3494
91.5254,49.9674,351.0217,38.2321,596.4629
92.3729,65.3112,472.1716,59.1789,-1052.8843
93.2203,52.2665,333.3514,-47.3890,236.3335
