n,t_s,theta1_n,theta1_np1,theta2_n,theta2_np1
0,5.7143,-135.1355,-64.5527,132.1088,-77.6923
1,7.1429,-64.5527,-46.7110,-77.6923,4.3368
2,8.5714,-46.7110,-97.8153,4.3368,104.6687
3,10.0000,-97.8153,-151.8646,104.6687,47.2377
4,11.4286,-151.8646,-90.4413,47.2377,96.0426
5,12.8571,-90.4413,-104.9282,96.0426,-158.0943
6,14.2857,-104.9282,-46.7212,-158.0943,-88.3966
7,15.7143,-46.7212,-171.5160,-88.3966,121.2089
8,17.1429,-171.5160,128.3788,121.2089,7.2619
9,18.5714,128.3788,77.7848,7.2619,117.2962
10,20.0000,77.7848,139.3115,117.2962,40.0836
11,21.4286,139.3115,151.8144,40.0836,-135.8341
12,22.8571,151.8144,146.7578,-135.8341,48.9771
13,24.2857,146.7578,68.0224,48.9771,0.5953
14,25.7143,68.0224,-132.6710,0.5953,42.5345
15,27.1429,-132.6710,20.1836,42.5345,67.1952
16,28.5714,20.1836,173.2768,67.1952,25.2268
17,30.0000,173.2768,136.9535,25.2268,124.2434
18,31.4286,136.9535,145.5658,124.2434,-73.6457
19,32.8571,145.5658,89.9904,-73.6457,145.1187
20,34.2857,89.9904,59.8040,145.1187,-138.1312
21,35.7143,59.8040,-171.5566,-138.1312,72.1559
22,37.1429,-171.5566,56.8311,72.1559,38.1321
23,38.5714,56.8311,127.8920,38.1321,54.5526
24,40.0000,127.8920,111.4379,54.5526,1.0353
25,41.4286,111.4379,74.8240,1.0353,153.0644
26,42.8571,74.8240,43.0129,153.0644,52.8782
27,44.2857,43.0129,147.2470,52.8782,23.6382
28,45.7143,147.2470,-122.0056,23.6382,-83.8026
