t_s,theta1_deg,omega1_deg_s
5.7143,-135.1355,270.1474
7.1429,-64.5527,105.7503
8.5714,-46.7110,81.4772
10.0000,-97.8153,256.7134
11.4286,-151.8646,361.5611
12.8571,-90.4413,324.8395
14.2857,-104.9282,286.7644
15.7143,-46.7212,565.0386
17.1429,-171.5160,267.8384
18.5714,128.3788,-432.4726
20.0000,77.7848,83.0906
21.4286,139.3115,-83.8247
22.8571,151.8144,99.2120
24.2857,146.7578,-6.7633
25.7143,68.0224,391.9669
27.1429,-132.6710,92.7191
28.5714,20.1836,-77.5423
30.0000,173.2768,-311.2238
31.4286,136.9535,110.0619
32.8571,145.5658,137.3701
34.2857,89.9904,-401.9734
35.7143,59.8040,-40.8257
37.1429,-171.5566,-29.0942
38.5714,56.8311,30.8866
40.0000,127.8920,-18.3473
41.4286,111.4379,-417.1395
42.8571,74.8240,-29.6925
44.2857,43.0129,357.8860
45.7143,147.2470,-304.8533
47.1429,-122.0056,171.9687
