n,t_s,theta1_n,theta1_np1,theta2_n,theta2_np1
0,5.3333,31.9344,39.1318,-73.3197,-40.6259
1,6.0000,39.1318,35.5971,-40.6259,-49.1403
2,6.6667,35.5971,32.6914,-49.1403,-70.3500
3,7.3333,32.6914,36.7765,-70.3500,-52.1782
4,8.0000,36.7765,37.2536,-52.1782,-47.6624
5,8.6667,37.2536,34.2457,-47.6624,-62.4891
6,9.3333,34.2457,35.7916,-62.4891,-60.5790
7,10.0000,35.7916,36.7328,-60.5790,-50.6707
8,10.6667,36.7328,34.9031,-50.6707,-55.5251
9,11.3333,34.9031,34.6531,-55.5251,-60.5900
10,12.0000,34.6531,36.8218,-60.5900,-53.2731
11,12.6667,36.8218,35.7195,-53.2731,-55.3669
12,13.3333,35.7195,36.6224,-55.3669,-58.3434
13,14.0000,36.6224,36.7471,-58.3434,-56.4755
14,14.6667,36.7471,37.3006,-56.4755,-56.2576
15,15.3333,37.3006,35.8974,-56.2576,-57.9282
16,16.0000,35.8974,37.5169,-57.9282,-57.3620
17,16.6667,37.5169,36.5257,-57.3620,-56.3972
18,17.3333,36.5257,37.7429,-56.3972,-56.5097
19,18.0000,37.7429,35.8163,-56.5097,-58.3758
20,18.6667,35.8163,37.6294,-58.3758,-56.9458
21,19.3333,37.6294,35.7016,-56.9458,-56.0488
22,20.0000,35.7016,36.6400,-56.0488,-56.1930
23,20.6667,36.6400,36.9749,-56.1930,-56.7335
24,21.3333,36.9749,38.0295,-56.7335,-57.1276
25,22.0000,38.0295,36.8789,-57.1276,-57.8414
26,22.6667,36.8789,38.4605,-57.8414,-57.3752
27,23.3333,38.4605,36.4581,-57.3752,-56.2272
28,24.0000,36.4581,37.0743,-56.2272,-56.1775
29,24.6667,37.0743,36.7007,-56.1775,-57.5058
30,25.3333,36.7007,40.1447,-57.5058,-58.1769
31,26.0000,40.1447,36.4164,-58.1769,-55.4830
32,26.6667,36.4164,37.0385,-55.4830,-55.0641
33,27.3333,37.0385,36.0203,-55.0641,-57.1090
34,28.0000,36.0203,29.3125,-57.1090,-61.4548
35,28.6667,29.3125,37.9086,-61.4548,-49.1277
36,29.3333,37.9086,37.0271,-49.1277,-53.2643
37,30.0000,37.0271,34.1411,-53.2643,-64.1034
38,30.6667,34.1411,35.6718,-64.1034,-54.4570
39,31.3333,35.6718,35.9318,-54.4570,-52.4249
40,32.0000,35.9318,35.8042,-52.4249,-59.3029
41,32.6667,35.8042,35.4300,-59.3029,-58.4512
42,33.3333,35.4300,36.5007,-58.4512,-53.3587
43,34.0000,36.5007,38.9841,-53.3587,-57.1351
44,34.6667,38.9841,36.0592,-57.1351,-56.6286
45,35.3333,36.0592,39.4119,-56.6286,-55.9017
46,36.0000,39.4119,34.9985,-55.9017,-55.2222
47,36.6667,34.9985,38.4206,-55.2222,-57.6378
48,37.3333,38.4206,35.3036,-57.6378,-58.2989
49,38.0000,35.3036,37.1204,-58.2989,-54.9992
50,38.6667,37.1204,36.4527,-54.9992,-57.2075
51,39.3333,36.4527,36.3139,-57.2075,-58.9658
52,40.0000,36.3139,37.4444,-58.9658,-56.2226
53,40.6667,37.4444,37.7524,-56.2226,-56.3600
54,41.3333,37.7524,36.2182,-56.3600,-58.7728
55,42.0000,36.2182,40.1412,-58.7728,-56.6855
56,42.6667,40.1412,35.8139,-56.6855,-55.7508
57,43.3333,35.8139,37.8199,-55.7508,-56.6946
58,44.0000,37.8199,39.8321,-56.6946,-58.4131
59,44.6667,39.8321,35.4787,-58.4131,-60.6811
60,45.3333,35.4787,38.2067,-60.6811,-53.1806
