t_s,theta1_deg,omega1_deg_s,theta2_deg,omega2_deg_s
5.5046,43.9608,-489.3957,-99.1209,-513.4715
6.4220,42.4523,-497.6150,-112.1762,-511.5646
7.3394,62.2537,-505.6486,-12.3820,-234.0093
8.2569,55.5213,-499.5398,-69.0166,-447.3526
9.1743,51.7487,-364.8007,-98.9249,-208.0588
10.0917,56.5129,-503.5105,-16.5015,-121.6702
11.0092,66.8843,-287.2941,130.5503,-492.7955
11.9266,33.4418,-245.6101,112.0035,653.8786
12.8440,62.7131,-250.3849,124.2006,434.5882
13.7615,41.1146,-481.6706,-78.0476,-323.3339
14.6789,44.6482,-400.5880,-115.9864,-300.4404
15.5963,53.7774,-508.4553,-42.4116,-195.4797
16.5138,45.3702,-209.6559,156.8279,303.0747
17.4312,36.6385,-491.8238,-159.5099,-962.0239
18.3486,54.3163,-201.9942,137.8462,282.9768
19.2661,27.1314,-386.4853,111.0897,-938.4390
20.1835,53.1811,-218.6627,142.3464,267.3769
21.1009,33.1888,-293.7432,158.5871,-1024.9210
22.0183,49.1459,-187.0704,152.7478,319.6653
22.9358,55.3091,-502.3427,-39.3110,-255.6156
23.8532,44.5927,-219.3419,157.6135,274.5061
24.7706,40.9479,-318.3757,89.1391,-1018.5857
25.6881,48.0095,-147.6895,156.4590,422.1533
26.6055,44.3121,-498.8922,65.0417,833.3708
27.5229,60.0760,-311.1011,154.7927,-476.7378
28.4404,54.5978,-65.5636,-173.3522,493.5610
29.3578,45.7824,-209.5906,109.4809,39.9920
30.2752,52.0099,-83.9952,-172.6197,540.6861
31.1927,49.6108,-240.4253,92.3910,156.3069
32.1101,49.8310,-43.4961,-162.8850,719.0805
33.0275,53.5700,-287.5207,93.4989,423.3252
33.9450,39.6669,-55.5264,170.4670,793.5183
34.8624,55.1781,-308.1401,87.5597,359.3645
35.7798,44.0864,-62.7602,-169.3473,730.1499
36.6972,55.3994,-296.4266,95.9990,426.5651
37.6147,31.7656,-250.4053,128.7956,584.1411
38.5321,70.0009,-218.4345,-46.4944,555.9478
39.4495,59.2679,-250.2311,112.3142,122.1205
40.3670,48.5840,-23.2980,-162.5824,719.5269
41.2844,49.6886,-278.7456,93.7436,275.5316
42.2018,46.3564,-94.4944,-165.1040,649.4036
43.1193,52.0737,-308.1303,90.8927,328.4761
44.0367,43.1306,-104.7728,-167.3015,702.3450
44.9541,53.7036,-311.8074,95.8224,407.2381
45.8716,37.1472,-84.5855,171.6019,762.2936
