t_s,theta1_deg,omega1_deg_s
0.1706,26.1171,0.6460
0.8646,46.0152,-8.3532
1.8045,-34.0935,-231.5327
2.3766,-4.9103,-435.3086
2.8774,42.8832,-12.9853
3.7199,-11.8273,-410.4401
4.8880,39.9578,-84.1453
5.6597,12.0404,-411.3152
6.4187,-22.0473,-347.8836
6.9547,28.6496,-300.1509
7.6244,24.3492,-326.5164
8.3692,-2.7324,-429.3363
9.0286,0.8802,-420.5335
9.6420,21.2224,-350.5200
10.3461,4.8609,-417.7381
11.0179,6.1380,-431.2345
11.6566,15.4075,-388.5909
12.3338,11.0747,-416.4201
13.0078,8.2135,-423.1243
13.6656,12.9947,-416.7613
14.3285,12.5719,-404.7997
15.0085,9.8958,-425.6819
15.6710,9.1968,-417.5764
16.3292,14.7478,-415.8453
16.9962,12.1889,-413.1863
17.6770,7.9861,-428.7666
18.3370,9.1616,-420.3488
18.9982,11.7784,-411.3283
19.6659,10.8701,-415.8114
20.3293,13.8135,-417.3979
20.9982,12.2215,-411.7553
21.6758,10.8787,-431.0368
22.3434,6.8376,-429.8073
22.9948,13.6573,-406.4640
23.6589,14.6829,-403.5877
24.3445,15.6599,-421.9384
25.0206,6.4422,-432.5962
25.6743,9.1704,-423.5802
26.3293,13.3988,-400.4085
27.0296,-4.3988,-409.6235
27.7135,-4.4886,-436.7418
28.2850,29.5039,-290.1708
28.9941,15.2677,-405.8691
29.7099,-4.4826,-420.9652
30.3221,17.7309,-382.0136
30.9841,19.0342,-383.7419
31.6856,5.2552,-425.8900
32.3416,12.0406,-405.3479
33.0037,17.5843,-404.8374
33.6761,12.4729,-413.3083
34.3535,10.0670,-438.4600
35.0017,12.3566,-397.5909
35.6616,19.4241,-391.5917
36.3478,5.3554,-421.1009
37.0075,9.5373,-415.9127
37.6549,17.4671,-391.1806
38.3403,9.2018,-424.5694
39.0101,9.1859,-421.5136
39.6570,19.5382,-387.7262
40.3390,10.3189,-413.5562
41.0155,13.0216,-436.9547
41.6765,7.1585,-421.8713
42.3258,14.5091,-411.6049
42.9840,22.5278,-374.0406
43.6902,1.6483,-430.0328
