n,t_s,theta1_n,theta1_np1,theta2_n,theta2_np1
0,5.0000,-0.5107,-0.5490,-0.7916,-0.7659
1,6.0000,-0.5490,-0.5839,-0.7659,-0.7250
2,7.0000,-0.5839,19.3278,-0.7250,-55.3718
3,8.0000,19.3278,-3.7914,-55.3718,-89.4672
4,9.0000,-3.7914,-16.4205,-89.4672,-97.4872
5,10.0000,-16.4205,-16.1210,-97.4872,-110.0024
6,11.0000,-16.1210,-16.5191,-110.0024,-135.5712
7,12.0000,-16.5191,5.0491,-135.5712,-146.8220
8,13.0000,5.0491,-0.8994,-146.8220,-114.5879
9,14.0000,-0.8994,2.9293,-114.5879,-159.6490
10,15.0000,2.9293,6.5225,-159.6490,-135.5493
11,16.0000,6.5225,-6.5254,-135.5493,-100.8853
12,17.0000,-6.5254,-15.7477,-100.8853,-105.2167
13,18.0000,-15.7477,-22.8432,-105.2167,-134.3634
14,19.0000,-22.8432,-13.7330,-134.3634,178.4548
15,20.0000,-13.7330,-20.3545,178.4548,-121.2601
16,21.0000,-20.3545,-16.0819,-121.2601,-170.9467
17,22.0000,-16.0819,12.0402,-170.9467,-145.6925
18,23.0000,12.0402,0.7569,-145.6925,-153.9063
19,24.0000,0.7569,6.9208,-153.9063,-131.0713
20,25.0000,6.9208,-26.4608,-131.0713,-37.2940
21,26.0000,-26.4608,-17.1306,-37.2940,-129.3467
22,27.0000,-17.1306,-7.8266,-129.3467,160.3545
23,28.0000,-7.8266,14.6619,160.3545,-115.4607
24,29.0000,14.6619,-7.5792,-115.4607,9.8205
25,30.0000,-7.5792,3.9311,9.8205,-126.9174
26,31.0000,3.9311,9.6442,-126.9174,19.7934
27,32.0000,9.6442,-5.8512,19.7934,-128.8787
28,33.0000,-5.8512,-12.2406,-128.8787,154.3248
29,34.0000,-12.2406,3.8989,154.3248,-88.3992
30,35.0000,3.8989,-27.4864,-88.3992,-11.0546
31,36.0000,-27.4864,-13.2563,-11.0546,-127.8963
32,37.0000,-13.2563,-19.2192,-127.8963,124.7936
33,38.0000,-19.2192,-19.2910,124.7936,-57.6968
34,39.0000,-19.2910,-16.6286,-57.6968,-178.0483
35,40.0000,-16.6286,2.7481,-178.0483,-101.9111
36,41.0000,2.7481,-12.5577,-101.9111,-11.9615
37,42.0000,-12.5577,-1.9813,-11.9615,-150.6623
38,43.0000,-1.9813,13.7320,-150.6623,96.2204
39,44.0000,13.7320,14.4262,96.2204,99.1195
40,45.0000,14.4262,13.8633,99.1195,101.6712
41,46.0000,13.8633,7.2327,101.6712,100.9131
42,47.0000,7.2327,12.4050,100.9131,117.1373
43,48.0000,12.4050,13.0763,117.1373,119.5804
44,49.0000,13.0763,12.9096,119.5804,123.9220
45,50.0000,12.9096,9.4484,123.9220,130.1730
46,51.0000,9.4484,8.0321,130.1730,128.4031
