t_s,theta1_deg,omega1_deg_s
5.0000,-22.1426,217.9461
6.0000,-14.3921,242.2418
7.0000,-19.2469,220.6564
8.0000,-19.8353,242.8381
9.0000,-16.1527,238.2365
10.0000,-14.2662,236.9987
11.0000,-10.9318,263.1177
12.0000,-10.4677,266.6034
13.0000,-16.7145,236.1462
14.0000,-21.7102,235.7132
15.0000,-17.8849,253.3503
16.0000,-17.8139,222.6774
17.0000,-12.2033,263.9153
18.0000,-15.8659,228.0599
19.0000,-18.8102,217.3923
20.0000,-13.9970,233.2742
21.0000,-15.0514,242.2149
22.0000,-19.6050,243.1227
23.0000,-20.1996,228.4030
24.0000,-18.6905,225.9382
25.0000,-14.8066,249.1374
26.0000,-18.6028,235.4826
27.0000,-17.3990,253.8408
28.0000,-18.4808,242.0336
29.0000,-20.9402,231.6684
30.0000,-17.9052,250.1557
31.0000,-15.2868,260.8923
32.0000,-12.5259,274.8928
33.0000,-13.1867,289.2661
34.0000,6.2645,330.6676
35.0000,8.9052,346.9490
36.0000,-10.6430,-1.1467
37.0000,2.5220,0.9211
