n,t_s,theta1_n,theta1_np1,theta2_n,theta2_np1
0,5.0000,-108.8494,-39.2066,93.5251,92.0347
1,6.6667,-39.2066,-53.4845,92.0347,82.8127
2,8.3333,-53.4845,-27.5726,82.8127,-54.7593
3,10.0000,-27.5726,100.7525,-54.7593,-67.0141
4,11.6667,100.7525,111.3963,-67.0141,102.1735
5,13.3333,111.3963,-122.0239,102.1735,-35.2376
6,15.0000,-122.0239,-107.5874,-35.2376,49.9336
7,16.6667,-107.5874,33.0464,49.9336,6.9616
8,18.3333,33.0464,-146.6723,6.9616,19.3625
9,20.0000,-146.6723,-161.8470,19.3625,85.6493
10,21.6667,-161.8470,70.2973,85.6493,83.3103
11,23.3333,70.2973,-103.5608,83.3103,-23.4033
12,25.0000,-103.5608,-84.8935,-23.4033,90.3872
13,26.6667,-84.8935,65.2092,90.3872,64.8064
14,28.3333,65.2092,-108.4985,64.8064,-41.6335
15,30.0000,-108.4985,-119.8398,-41.6335,-93.7693
16,31.6667,-119.8398,-132.9581,-93.7693,127.3150
17,33.3333,-132.9581,-54.1719,127.3150,-40.6035
18,35.0000,-54.1719,-73.8887,-40.6035,103.3363
19,36.6667,-73.8887,-89.2699,103.3363,-12.8269
20,38.3333,-89.2699,-101.2131,-12.8269,95.5442
21,40.0000,-101.2131,-145.5533,95.5442,71.9457
