n,t_s,theta1_n,theta1_np1,theta2_n,theta2_np1
0,5.0000,105.8487,157.8424,-87.5822,97.0975
1,6.2500,157.8424,-152.7160,97.0975,-139.1743
2,7.5000,-152.7160,121.9929,-139.1743,-135.7637
3,8.7500,121.9929,109.1610,-135.7637,148.0084
4,10.0000,109.1610,176.0590,148.0084,54.4051
5,11.2500,176.0590,-172.1670,54.4051,-105.1170
6,12.5000,-172.1670,160.5180,-105.1170,-37.5102
7,13.7500,160.5180,-146.7676,-37.5102,-82.7934
8,15.0000,-146.7676,94.8695,-82.7934,-148.5315
9,16.2500,94.8695,81.7326,-148.5315,151.7375
10,17.5000,81.7326,111.9007,151.7375,175.0503
11,18.7500,111.9007,98.3544,175.0503,122.2048
12,20.0000,98.3544,81.2940,122.2048,-158.9160
13,21.2500,81.2940,82.1865,-158.9160,154.7257
14,22.5000,82.1865,117.8560,154.7257,154.5249
15,23.7500,117.8560,-177.0610,154.5249,-10.4180
16,25.0000,-177.0610,160.6370,-10.4180,-145.4814
17,26.2500,160.6370,130.3511,-145.4814,43.5135
18,27.5000,130.3511,-178.9480,43.5135,-135.4904
19,28.7500,-178.9480,143.6440,-135.4904,95.9458
20,30.0000,143.6440,174.9640,95.9458,-146.8111
21,31.2500,174.9640,123.7000,-146.8111,131.8113
22,32.5000,123.7000,-134.2374,131.8113,-86.5015
23,33.7500,-134.2374,142.3716,-86.5015,26.7045
24,35.0000,142.3716,95.4543,26.7045,-161.1663
25,36.2500,95.4543,49.7110,-161.1663,132.1011
26,37.5000,49.7110,150.8940,132.1011,-107.4305
27,38.7500,150.8940,-168.2120,-107.4305,141.0027
28,40.0000,-168.2120,179.6670,141.0027,-132.6578
29,41.2500,179.6670,-166.7000,-132.6578,-140.2111
30,42.5000,-166.7000,174.0310,-140.2111,-44.6972
31,43.7500,174.0310,170.7190,-44.6972,130.5571
32,45.0000,170.7190,112.6991,130.5571,128.7386
33,46.2500,112.6991,163.1530,128.7386,-132.2373
34,47.5000,163.1530,-177.3840,-132.2373,-77.2515
35,48.7500,-177.3840,-173.2100,-77.2515,89.9204
36,50.0000,-173.2100,-173.2060,89.9204,93.2021
37,51.2500,-173.2060,-173.9270,93.2021,102.4530
38,52.5000,-173.9270,135.4390,102.4530,-98.6029
39,53.7500,135.4390,75.2690,-98.6029,140.3349
