t_s,theta1_deg,omega1_deg_s
0.0168,0.3773,-25.3674
0.6213,41.5274,308.2369
2.6913,44.0794,-20.0156
3.5922,-12.4175,177.3194
4.6698,20.2206,115.5487
6.6383,12.2187,224.7232
7.7240,70.3547,339.7428
8.6734,73.3357,321.1656
10.6469,8.9146,158.0506
12.7246,83.1787,331.0701
14.6833,45.1936,131.0490
15.2930,-72.2903,74.0371
15.5798,-14.6807,86.0712
16.6590,24.2744,172.7629
17.5824,0.6383,475.3394
18.5995,-14.5052,417.5544
20.6900,46.2418,224.1998
21.1725,-50.1526,-239.8527
21.5815,-23.0150,367.0938
22.6658,26.7178,160.3625
23.4170,-53.2612,522.8751
25.6416,8.7139,135.1025
27.2020,-60.4004,-210.9760
27.6524,47.6487,120.9143
28.5792,-5.8309,517.3264
30.6829,68.8380,314.2176
31.6290,39.8769,221.5087
32.5858,-12.1771,462.6307
34.6763,51.0418,190.7378
35.2831,-72.6935,58.9188
35.5688,-16.8845,135.9199
36.6638,38.3265,394.4108
37.2589,-70.9783,-166.3129
37.5851,-23.6095,417.0098
40.5739,0.7678,466.8333
