t_s,theta1_deg,omega1_deg_s
3.4219,36.0465,281.1098
4.2167,-55.4283,109.4797
5.5754,30.0918,126.4145
6.4246,-55.6386,94.7749
7.7934,39.5586,245.7610
8.6226,-49.1895,194.9478
9.7586,-44.0794,317.8127
10.0237,60.2644,215.6943
11.1021,54.0646,85.4237
12.9223,-31.9202,194.6370
14.4790,42.9047,-189.0517
16.0263,-41.4407,270.0856
17.5304,41.9648,-176.8247
19.0464,-44.3413,232.3440
20.3983,42.4459,30.0842
21.2822,-26.0683,-120.6827
22.6421,22.6731,-85.0862
24.9635,-34.6499,140.8895
26.3319,33.4300,-94.5940
27.3033,-17.5196,-278.5869
28.7518,33.4921,196.9617
30.3263,-19.0564,-263.1400
31.7508,32.8857,172.3395
33.1869,-24.7139,-139.2181
34.5366,25.2737,3.6190
35.8710,-25.3648,299.6227
37.2488,-22.5971,24.4860
38.6197,4.7538,-218.3716
