n,t_s,theta1_n,theta1_np1,theta2_n,theta2_np1
0,5.0000,4.2611,7.2811,-49.7986,-41.9213
1,5.6250,7.2811,4.5773,-41.9213,24.1054
2,6.2500,4.5773,6.7701,24.1054,-31.2723
3,6.8750,6.7701,4.6748,-31.2723,-16.4621
4,7.5000,4.6748,3.4721,-16.4621,17.1180
5,8.1250,3.4721,6.0991,17.1180,-27.7440
6,8.7500,6.0991,6.6173,-27.7440,-19.2966
7,9.3750,6.6173,3.8993,-19.2966,3.6384
8,10.0000,3.8993,4.4142,3.6384,-21.5337
9,10.6250,4.4142,2.0749,-21.5337,-10.6470
10,11.2500,2.0749,3.1429,-10.6470,-2.0357
11,11.8750,3.1429,4.7443,-2.0357,-21.2040
12,12.5000,4.7443,1.6310,-21.2040,-12.6343
13,13.1250,1.6310,7.2637,-12.6343,-3.4592
14,13.7500,7.2637,5.0784,-3.4592,-19.1032
15,14.3750,5.0784,1.3613,-19.1032,-7.5666
16,15.0000,1.3613,6.6156,-7.5666,-10.1032
17,15.6250,6.6156,6.3349,-10.1032,-17.6169
18,16.2500,6.3349,4.2614,-17.6169,-9.3393
19,16.8750,4.2614,6.7100,-9.3393,-10.7455
20,17.5000,6.7100,7.5257,-10.7455,-22.4487
21,18.1250,7.5257,5.9768,-22.4487,-8.9547
22,18.7500,5.9768,3.5690,-8.9547,-1.1435
23,19.3750,3.5690,8.9947,-1.1435,-23.9933
24,20.0000,8.9947,7.6465,-23.9933,-5.6988
25,20.6250,7.6465,9.2735,-5.6988,-13.9059
26,21.2500,9.2735,6.0274,-13.9059,-18.5775
27,21.8750,6.0274,5.0464,-18.5775,-13.9875
28,22.5000,5.0464,5.3386,-13.9875,-3.4205
29,23.1250,5.3386,8.0735,-3.4205,-22.2776
30,23.7500,8.0735,8.3678,-22.2776,-15.2308
31,24.3750,8.3678,8.4437,-15.2308,-7.9818
32,25.0000,8.4437,3.7528,-7.9818,-13.1504
33,25.6250,3.7528,4.2623,-13.1504,-11.5389
34,26.2500,4.2623,7.6626,-11.5389,-9.5981
35,26.8750,7.6626,5.9126,-9.5981,-19.1270
36,27.5000,5.9126,7.7273,-19.1270,-11.7390
37,28.1250,7.7273,2.9197,-11.7390,-6.7024
38,28.7500,2.9197,7.8089,-6.7024,-24.1919
39,29.3750,7.8089,4.2644,-24.1919,-2.3654
40,30.0000,4.2644,6.5882,-2.3654,-17.4143
41,30.6250,6.5882,3.9745,-17.4143,-19.7462
42,31.2500,3.9745,5.8647,-19.7462,-6.2586
43,31.8750,5.8647,4.5815,-6.2586,-10.5546
44,32.5000,4.5815,5.1902,-10.5546,-19.1151
45,33.1250,5.1902,3.4525,-19.1151,-8.1266
46,33.7500,3.4525,2.7561,-8.1266,-3.2839
47,34.3750,2.7561,4.0180,-3.2839,-16.6651
48,35.0000,4.0180,2.2883,-16.6651,-6.5129
49,35.6250,2.2883,6.0467,-6.5129,-7.1696
50,36.2500,6.0467,5.4089,-7.1696,-21.0051
51,36.8750,5.4089,4.3354,-21.0051,-13.5014
52,37.5000,4.3354,6.7707,-13.5014,0.1292
53,38.1250,6.7707,5.8416,0.1292,-22.5576
54,38.7500,5.8416,5.0234,-22.5576,-0.7976
55,39.3750,5.0234,9.2842,-0.7976,-18.5157
56,40.0000,9.2842,5.1626,-18.5157,-19.6312
57,40.6250,5.1626,6.9862,-19.6312,-9.3317
