frame,time_s,phase,x_green,y_green,x_red,y_red,theta1_deg,theta2_deg,dropout,omega1_deg_s,omega2_deg_s,suspect,arm_length_px,arm_dev_pct,omega_cap_applied,delta_omega_suspect,swap_suspect,omega_cap_suspect
51,0.85085,free_swing,479,455,640,449,-56.238,92.134,0,-241.43,-484.82,1,161.11,14.17,2500,0,0,0
52,0.86753,free_swing,468,444,625,473,-60.129,79.535,0,-210.76,-650.98,1,159.66,13.13,2500,0,0,0
53,0.88422,free_swing,459,435,596,487,-63.211,69.215,0,-165.37,-829.42,0,146.54,3.84,2500,0,0,0
54,0.9009,free_swing,454,427,575,502,-65.556,58.208,0,-97.09,28.02,1,142.36,0.88,2500,1,0,0
55,0.91758,free_swing,451,424,554,505,-66.541,51.818,0,-25.58,-132.31,0,131.03,7.15,2500,0,0,0
56,0.93427,free_swing,452,425,560,454,-66.214,74.970,0,47.85,-529.35,1,111.83,20.76,2500,1,0,0
57,0.95095,free_swing,455,429,507,531,-64.998,27.013,0,112.43,-1230.13,1,114.49,18.87,2500,1,0,0
58,0.96763,free_swing,462,437,493,520,-62.418,20.480,0,195.77,-1751.42,1,88.60,37.22,2500,1,0,0
59,0.98432,free_swing,472,448,455,545,-58.728,-9.941,0,281.13,-1360.33,1,98.48,30.22,2500,1,0,0
60,1.001,free_swing,489,462,419,550,-53.236,-38.501,0,319.00,-1542.50,1,112.45,20.32,2500,0,0,0
61,1.01768,free_swing,507,473,395,547,-47.891,-56.547,0,295.31,-1148.88,1,134.24,4.88,2500,1,0,0
62,1.03437,free_swing,521,481,397,514,-43.622,-75.097,0,237.28,-977.94,0,128.32,9.07,2500,0,0,0
63,1.05105,free_swing,534,485,405,480,-40.135,-92.220,0,198.27,-1048.11,0,129.10,8.52,2500,0,0,0
64,1.06773,free_swing,546,488,419,449,-36.870,-107.071,0,184.32,-986.60,0,132.85,5.86,2500,0,0,0
65,1.08442,free_swing,558,489,445,407,-33.774,-125.967,0,200.36,-706.85,1,139.62,1.07,2500,1,0,0
66,1.1011,free_swing,570,491,458,383,-30.324,-133.958,0,233.57,-553.94,1,155.59,10.25,2500,0,0,0
67,1.11778,free_swing,586,491,476,376,-25.840,-136.273,0,273.31,-59.92,1,159.14,12.77,2500,1,0,0
68,1.13447,free_swing,602,490,505,351,-21.110,-145.091,0,302.75,82.36,1,169.50,20.11,2500,0,0,0
69,1.15115,free_swing,619,487,497,387,-15.848,-129.341,0,324.12,221.64,1,157.75,11.78,2500,0,0,0
70,1.16783,free_swing,636,482,521,366,-10.204,-135.248,0,356.87,249.99,1,163.34,15.75,2500,0,0,0
71,1.18452,free_swing,653,475,522,375,-4.000,-127.357,0,399.01,275.50,1,164.81,16.78,2500,0,0,0
72,1.2012,free_swing,670,465,534,376,3.013,-123.201,0,434.50,409.69,1,162.53,15.17,2500,0,0,0
73,1.21788,free_swing,686,454,541,395,10.676,-112.141,0,469.71,344.46,1,156.54,10.93,2500,0,0,0
74,1.23457,free_swing,699,441,557,379,18.277,-113.587,0,481.91,337.98,0,154.95,9.80,2500,0,0,0
75,1.25125,free_swing,711,428,564,398,26.565,-101.535,0,442.40,453.56,0,150.03,6.31,2500,0,0,0
76,1.26793,free_swing,719,417,574,399,33.378,-97.076,0,377.87,603.41,0,146.11,3.54,2500,0,0,0
77,1.28462,free_swing,723,408,580,422,38.290,-84.408,0,266.45,183.34,1,143.68,1.82,2500,1,0,0
78,1.3013,free_swing,726,401,593,420,42.397,-81.870,0,122.51,349.86,0,134.35,4.80,2500,0,0,0
79,1.31798,free_swing,727,401,621,409,42.847,-85.684,0,-28.82,570.75,1,106.30,24.67,2500,1,0,0
80,1.33467,free_swing,725,404,606,472,40.732,-60.255,0,-166.28,252.47,1,137.06,2.88,2500,1,0,0
81,1.35135,free_swing,723,410,619,471,37.569,-59.607,0,-265.87,244.51,1,120.57,14.56,2500,0,0,0
82,1.36803,free_swing,718,419,650,439,32.300,-73.610,0,-356.51,500.00,1,70.88,49.77,2500,1,0,0
83,1.38472,free_swing,710,431,641,517,25.396,-38.741,0,-434.19,1184.75,1,110.26,21.87,2500,1,0,0
84,1.4014,free_swing,699,444,656,557,17.819,-20.833,0,-504.58,1288.92,1,120.90,14.33,2500,0,0,0
85,1.41808,free_swing,683,457,676,522,9.090,-6.147,0,-575.41,1219.15,1,65.38,53.67,2500,0,0,0
86,1.43477,free_swing,660,473,694,597,-1.219,15.333,0,-600.78,1491.24,1,128.58,8.89,2500,1,0,0
87,1.45145,free_swing,633,485,718,554,-11.094,50.932,0,-542.98,1518.85,1,109.48,22.42,2500,0,0,0
88,1.46813,free_swing,608,491,711,546,-19.081,61.899,0,-434.84,808.16,1,116.76,17.26,2500,1,0,0
89,1.48482,free_swing,587,492,713,517,-25.408,78.778,0,-341.10,179.85,1,128.46,8.97,2500,1,0,0
90,1.5015,free_swing,569,491,712,542,-30.591,70.372,0,-286.00,292.48,0,151.82,7.58,2500,0,0,0
91,1.51818,free_swing,553,489,702,514,-35.017,80.475,0,-255.32,419.71,0,151.08,7.06,2500,0,0,0
92,1.53487,free_swing,538,485,695,476,-39.249,93.281,0,-244.36,480.79,1,157.26,11.44,2500,0,0,0
93,1.55155,free_swing,524,480,681,466,-43.204,95.096,0,-241.34,28.92,1,157.62,11.69,2500,1,0,0
94,1.56823,free_swing,509,474,668,469,-47.322,91.801,0,-241.62,-145.85,1,159.08,12.73,2500,0,0,0
95,1.58492,free_swing,496,466,654,464,-51.257,90.725,0,-236.36,68.18,1,158.01,11.97,2500,1,0,0
96,1.6016,free_swing,483,457,642,451,-55.222,92.161,0,-227.81,-77.61,1,159.11,12.75,2500,0,0,0
