t_s,theta1_deg,omega1_deg_s
2.6193,-73.8109,373.4995
4.1772,10.8565,377.7106
5.6517,-4.1799,401.7829
7.1264,-10.0302,-140.9096
8.5856,-6.5725,-47.7670
10.0352,-10.3422,-28.4930
11.4869,22.0000,-156.2742
11.9171,51.0774,-166.5292
12.6725,-31.5794,167.4386
14.2320,64.1990,-155.1375
15.1313,60.2619,300.8181
16.9394,-33.1307,433.1471
20.4921,-19.9917,-42.8674
21.9201,43.3045,-37.9145
22.5854,-42.7762,88.9994
23.9173,37.0878,177.4903
24.7411,-49.0363,125.5789
26.1087,52.6058,254.5957
28.2436,37.7449,337.1745
30.1757,-38.9214,328.6489
32.1817,-47.7571,52.8653
