t_s,theta1_deg,omega1_deg_s
5.2705,-0.2930,-40.1519
5.9371,38.7040,0.0994
6.8775,10.7575,-0.9616
7.9035,4.4943,153.8765
8.9255,7.8045,6.2223
9.9350,18.7929,18.4811
11.3105,-35.1588,-360.4923
11.9085,40.2758,92.1284
12.8918,9.7881,-5.7647
13.8968,3.1916,104.9924
14.9180,9.3787,-4.1309
15.9233,14.3981,15.2985
16.9750,35.9210,-19.9763
17.5222,-64.3990,-35.5908
18.1672,29.8491,-508.2576
18.9007,30.3110,-25.0332
19.8966,13.0523,-20.9682
20.8867,6.6998,32.4844
21.8995,4.6593,63.5866
22.9209,6.0514,18.4865
23.9314,16.5300,14.1311
25.0100,45.7455,-118.6997
25.7498,-14.4381,440.4639
26.8972,9.5817,84.8266
27.9256,6.4071,28.2261
28.9453,13.5210,5.9042
30.0106,47.9419,-94.9381
30.5388,-70.4920,53.4489
31.1526,45.3441,-427.7930
31.9217,26.7127,9.5640
32.9916,41.5328,-137.1678
33.9864,60.0511,-29.4015
