n,t_s,theta1_n,theta1_np1,theta2_n,theta2_np1
0,5.0000,0.1059,38.5138,-0.5770,37.9373
1,6.0000,38.5138,32.2371,37.9373,87.3957
2,7.0000,32.2371,27.1903,87.3957,68.9752
3,8.0000,27.1903,18.6715,68.9752,63.6389
4,9.0000,18.6715,22.7832,63.6389,65.8205
5,10.0000,22.7832,62.8681,65.8205,29.1972
6,11.0000,62.8681,42.7710,29.1972,63.2460
7,12.0000,42.7710,25.8656,63.2460,84.9661
8,13.0000,25.8656,27.2938,84.9661,69.6507
9,14.0000,27.2938,20.8297,69.6507,70.7706
10,15.0000,20.8297,23.4794,70.7706,69.7375
11,16.0000,23.4794,34.9706,69.7375,27.5289
12,17.0000,34.9706,67.3170,27.5289,-35.5498
13,18.0000,67.3170,34.3724,-35.5498,81.9511
14,19.0000,34.3724,26.0108,81.9511,82.7020
15,20.0000,26.0108,30.8234,82.7020,78.2985
16,21.0000,30.8234,26.0798,78.2985,73.7598
17,22.0000,26.0798,19.6110,73.7598,65.9711
18,23.0000,19.6110,21.7751,65.9711,65.0001
19,24.0000,21.7751,46.2957,65.0001,-9.6710
20,25.0000,46.2957,70.2879,-9.6710,57.3372
21,26.0000,70.2879,31.1490,57.3372,83.6149
22,27.0000,31.1490,18.4686,83.6149,62.6852
23,28.0000,18.4686,17.1822,62.6852,52.9107
24,29.0000,17.1822,47.9769,52.9107,-10.7925
25,30.0000,47.9769,70.0172,-10.7925,-29.0076
26,31.0000,70.0172,30.4934,-29.0076,71.3778
27,32.0000,30.4934,40.2003,71.3778,9.1584
28,33.0000,40.2003,59.8665,9.1584,10.2223
