n,t_s,theta1_n,theta1_np1,theta2_n,theta2_np1
0,5.0000,26.8052,46.3220,69.2041,7.7577
1,6.0000,46.3220,47.1081,7.7577,60.1702
2,7.0000,47.1081,29.6637,60.1702,63.0890
3,8.0000,29.6637,69.5229,63.0890,-51.0761
4,9.0000,69.5229,43.4112,-51.0761,71.9006
5,10.0000,43.4112,63.7978,71.9006,-33.0773
6,11.0000,63.7978,57.4713,-33.0773,47.1604
7,12.0000,57.4713,28.3857,47.1604,72.6544
8,13.0000,28.3857,58.9559,72.6544,-82.5365
9,14.0000,58.9559,40.3377,-82.5365,74.3545
10,15.0000,40.3377,24.2167,74.3545,62.5366
11,16.0000,24.2167,59.7771,62.5366,177.9394
12,17.0000,59.7771,74.2504,177.9394,-95.7756
13,18.0000,74.2504,69.1542,-95.7756,152.4720
14,19.0000,69.1542,55.4074,152.4720,-1.4102
15,20.0000,55.4074,52.2326,-1.4102,72.0593
16,21.0000,52.2326,30.9215,72.0593,65.2323
17,22.0000,30.9215,74.4592,65.2323,-162.6704
18,23.0000,74.4592,32.5883,-162.6704,73.0028
19,24.0000,32.5883,61.2266,73.0028,-50.2322
20,25.0000,61.2266,38.3774,-50.2322,70.3365
21,26.0000,38.3774,35.8609,70.3365,47.3191
22,27.0000,35.8609,76.6019,47.3191,176.8771
23,28.0000,76.6019,30.0875,176.8771,53.7906
24,29.0000,30.0875,26.5660,53.7906,85.1517
25,30.0000,26.5660,29.2027,85.1517,71.9221
26,31.0000,29.2027,68.2757,71.9221,-8.4327
27,32.0000,68.2757,36.7168,-8.4327,72.1750
28,33.0000,36.7168,56.5884,72.1750,3.9110
29,34.0000,56.5884,57.0948,3.9110,47.6970
30,35.0000,57.0948,28.7323,47.6970,68.3781
31,36.0000,28.7323,74.9649,68.3781,162.3602
32,37.0000,74.9649,75.4224,162.3602,-121.5116
33,38.0000,75.4224,36.4486,-121.5116,89.9182
34,39.0000,36.4486,30.0137,89.9182,70.9113
35,40.0000,30.0137,66.9742,70.9113,11.6692
36,41.0000,66.9742,42.8391,11.6692,72.2009
37,42.0000,42.8391,39.0221,72.2009,58.1216
38,43.0000,39.0221,39.8192,58.1216,84.7099
39,44.0000,39.8192,34.3135,84.7099,83.1229
40,45.0000,34.3135,67.4581,83.1229,-72.9370
41,46.0000,67.4581,35.9906,-72.9370,74.8480
42,47.0000,35.9906,66.6878,74.8480,-14.8664
43,48.0000,66.6878,34.1229,-14.8664,66.0801
44,49.0000,34.1229,75.4494,66.0801,-92.6476
45,50.0000,75.4494,70.1018,-92.6476,-7.0212
46,51.0000,70.1018,59.0358,-7.0212,49.7783
47,52.0000,59.0358,19.8542,49.7783,53.4433
48,53.0000,19.8542,61.3673,53.4433,-59.6297
49,54.0000,61.3673,37.2217,-59.6297,69.0942
50,55.0000,37.2217,67.3222,69.0942,3.1618
51,56.0000,67.3222,40.0909,3.1618,70.5215
52,57.0000,40.0909,51.2824,70.5215,13.0585
53,58.0000,51.2824,54.4579,13.0585,49.5025
54,59.0000,54.4579,28.2274,49.5025,72.2885
55,60.0000,28.2274,62.2117,72.2885,-72.7705
56,61.0000,62.2117,37.6294,-72.7705,72.1442
57,62.0000,37.6294,66.8210,72.1442,31.3843
58,63.0000,66.8210,41.3788,31.3843,95.3959
59,64.0000,41.3788,31.3894,95.3959,75.5231
60,65.0000,31.3894,27.5204,75.5231,83.5290
61,66.0000,27.5204,32.8345,83.5290,83.1939
62,67.0000,32.8345,61.4753,83.1939,33.3280
63,68.0000,61.4753,31.9008,33.3280,93.5416
64,69.0000,31.9008,35.5291,93.5416,92.3998
65,70.0000,35.5291,67.3652,92.3998,-8.3704
66,71.0000,67.3652,42.7276,-8.3704,74.1184
