t_s,theta1_deg,omega1_deg_s,theta2_deg,omega2_deg_s
5.3435,-45.5797,341.2857,9.0022,-802.5286
6.1069,-39.9397,482.5874,-12.4742,-1095.8884
6.8702,-33.5142,427.5411,-47.6375,-1104.5103
7.6336,-50.1750,228.3878,27.2638,-474.3545
8.3969,-34.8048,421.5549,-32.3343,-1068.1314
9.1603,-44.7829,378.2207,-0.8504,-870.8413
9.9237,-37.4279,504.3972,-24.0212,-1071.8397
10.6870,-35.6428,453.2747,-46.7908,-1115.1550
11.4504,-49.5241,320.3144,5.7853,-737.6991
12.2137,-46.0733,415.6743,3.7875,-999.9439
12.9771,-32.4216,439.0857,-52.1629,-1091.8077
13.7405,-52.8024,218.1760,33.7894,-359.6478
14.5038,-29.8718,439.3588,-36.0648,-1074.5084
15.2672,-44.3085,422.9842,-12.1056,-1014.2588
16.0305,-40.4610,512.5716,-27.8853,-1133.9181
16.7939,-32.5430,436.3776,-48.9364,-1055.4302
17.5573,-37.9254,444.9244,-28.2332,-1023.0129
18.3206,-46.9957,431.9792,4.3118,-892.2767
19.0840,-35.2684,488.4823,-43.8082,-1102.8787
19.8473,-39.7900,453.8128,-22.8773,-997.7461
20.6107,-43.9488,435.6749,1.5388,-941.5520
21.3740,-31.3578,459.8400,-51.8345,-1079.2996
22.1374,-54.8304,160.6823,27.4602,-442.2886
22.9008,-35.1294,459.1354,-18.1821,-1061.0754
23.6641,-37.9868,467.2265,-33.2345,-1030.5360
24.4275,-35.2325,466.9704,-51.9823,-1118.3976
25.1908,-47.6738,290.2686,12.8890,-608.0650
25.9542,-36.2985,498.2222,-29.6568,-1124.8334
26.7176,-33.7232,426.5083,-50.6456,-1034.1021
27.4809,-52.8228,191.7377,36.1136,-364.3010
28.2443,-28.0847,404.9678,-47.6626,-1069.0264
29.0076,-50.7096,264.5162,27.7367,-516.0750
29.7710,-31.9003,443.1876,-41.9450,-1116.9658
30.5344,-50.5323,294.6120,7.4802,-749.6486
31.2977,-45.5425,423.7854,9.8876,-885.9191
32.0611,-30.4465,407.6081,-55.3718,-1031.8038
32.8244,-47.1228,265.7920,93.8673,429.1992
33.5878,-56.1841,272.5998,5.4205,-298.0470
34.3511,-39.7402,207.8271,-156.8933,634.9567
35.1145,-15.9477,-150.4377,-109.0505,-849.6344
35.8779,-45.1588,164.1264,-93.6075,-623.7774
36.6412,-43.6644,62.4975,-115.7426,747.3802
37.4046,-13.7498,287.5552,-61.9199,-1057.3178
38.1679,-46.6330,62.7900,-96.3867,-531.2768
38.9313,-30.9911,84.1614,-118.5092,755.2139
39.6947,-16.4113,-54.4780,-103.3262,-855.9399
40.4580,-41.8478,173.2683,-90.1274,-526.2322
41.2214,-48.4410,86.3504,-35.2686,672.4611
41.9847,-23.8038,429.6378,-47.3160,-1145.7824
42.7481,-23.9420,-42.5540,-132.0542,-523.0875
43.5115,-47.5104,219.0607,68.2453,-114.1872
44.2748,-43.1560,212.9512,43.4107,-231.9492
45.0382,-26.4192,373.1188,-41.9555,-936.0071
45.8015,-40.9295,471.1445,-12.9994,-1032.5822
46.5649,-29.2883,447.6074,-48.6945,-1014.5874
47.3282,-39.9611,419.7191,-30.5473,-1023.1817
48.0916,-43.4361,444.4267,-4.3068,-991.7261
48.8550,-31.4016,441.7541,-45.8582,-1078.3628
49.6183,-45.1565,364.0471,3.8934,-799.9503
50.3817,-38.8998,476.7757,-13.4538,-1060.6839
51.1450,-34.2408,446.8274,-39.1068,-1041.1876
51.9084,-38.4867,457.2929,-29.9562,-1057.7761
52.6718,-34.1536,476.2528,-32.5972,-1115.1946
53.4351,-35.1600,466.9147,-37.9528,-1067.0615
54.1985,-35.7970,455.8430,-30.5297,-1057.2999
54.9618,-35.8219,479.0578,-32.9869,-1066.3071
55.7252,-33.3312,444.0547,-45.6016,-1032.9916
56.4885,-43.4967,387.1031,-3.6809,-867.7696
57.2519,-41.4396,464.3167,-6.1093,-1044.6343
58.0153,-31.0058,421.6664,-44.7435,-1068.4038
58.7786,-47.7346,292.2371,16.8581,-585.4747
59.5420,-31.9466,480.8875,-30.8199,-1159.0465
60.3053,-34.1856,452.1244,-36.0579,-1056.2463
61.0687,-35.4524,446.2263,-40.4226,-1084.3251
61.8321,-36.1105,465.5282,-32.2715,-1057.3051
62.5954,-33.3064,463.4932,-44.9917,-1048.5340
63.3588,-35.9844,446.0446,-29.6895,-1043.4442
64.1221,-36.1564,486.5286,-32.9586,-1066.6907
64.8855,-29.5840,422.1660,-50.1708,-1002.4082
65.6489,-37.4359,459.6666,-29.8427,-1066.2558
66.4122,-36.8672,502.9542,-32.9743,-1088.4581
67.1756,-31.9778,429.6737,-49.5802,-1033.5805
67.9389,-41.0057,435.7488,-13.2113,-950.8105
