n,t_s,theta1_n,theta1_np1,theta2_n,theta2_np1
0,5.3435,-60.3552,-56.5121,32.6962,-6.1294
1,6.1069,-56.5121,-51.8171,-6.1294,-51.4854
2,6.8702,-51.8171,-63.5592,-51.4854,40.8536
3,7.6336,-63.5592,-52.8414,40.8536,-33.4447
4,8.3969,-52.8414,-59.7994,-33.4447,4.4616
5,9.1603,-59.7994,-54.6226,4.4616,-21.8277
6,9.9237,-54.6226,-53.3453,-21.8277,-58.7084
7,10.6870,-53.3453,-63.1064,-58.7084,34.2296
8,11.4504,-63.1064,-60.6985,34.2296,14.4200
9,12.2137,-60.6985,-50.9989,14.4200,-54.6358
10,12.9771,-50.9989,-65.2975,-54.6358,54.2908
11,13.7405,-65.2975,-49.3248,54.2908,-46.4100
12,14.5038,-49.3248,-59.5031,-46.4100,-2.0108
13,15.2672,-59.5031,-56.7210,-2.0108,-26.9290
14,16.0305,-56.7210,-51.2508,-26.9290,-63.8435
15,16.7939,-51.2508,-55.1634,-63.8435,-23.9970
16,17.5573,-55.1634,-61.3469,-23.9970,12.0956
17,18.3206,-61.3469,-53.1397,12.0956,-60.6827
18,19.0840,-53.1397,-56.3761,-60.6827,-5.7189
19,19.8473,-56.3761,-59.1089,-5.7189,27.4856
20,20.6107,-59.1089,-50.4347,27.4856,-56.7549
21,21.3740,-50.4347,-66.6852,-56.7549,40.9768
22,22.1374,-66.6852,-53.0678,40.9768,-13.7505
23,22.9008,-53.0678,-55.1962,-13.7505,-36.1971
24,23.6641,-55.1962,-53.0201,-36.1971,-72.3599
25,24.4275,-53.0201,-61.9081,-72.3599,26.3248
26,25.1908,-61.9081,-53.7618,26.3248,-29.4780
27,25.9542,-53.7618,-52.0524,-29.4780,-72.1660
28,26.7176,-52.0524,-65.3534,-72.1660,57.3280
29,27.4809,-65.3534,-48.0715,57.3280,-62.6506
30,28.2443,-48.0715,-63.8801,-62.6506,43.3566
31,29.0076,-63.8801,-50.6973,43.3566,-52.1077
32,29.7710,-50.6973,-63.8297,-52.1077,33.6900
33,30.5344,-63.8297,-60.4040,33.6900,47.5781
34,31.2977,-60.4040,-49.7291,47.5781,-84.6728
35,32.0611,-49.7291,-61.4978,-84.6728,103.2703
36,32.8244,-61.4978,-67.6824,103.2703,22.5780
37,33.5878,-67.6824,-56.4279,22.5780,-163.9557
38,34.3511,-56.4279,-39.0434,-163.9557,-129.5270
39,35.1145,-39.0434,-60.0794,-129.5270,141.0729
40,35.8779,-60.0794,-58.9797,141.0729,141.9319
41,36.6412,-58.9797,-37.2581,141.9319,-81.1447
42,37.4046,-37.2581,-61.1428,-81.1447,150.1202
43,38.1679,-61.1428,-50.0922,150.1202,-133.0871
44,38.9313,-50.0922,-39.3869,-133.0871,-127.2527
45,39.6947,-39.3869,-57.7524,-127.2527,148.8629
46,40.4580,-57.7524,-62.6730,148.8629,-46.2840
47,41.2214,-62.6730,-44.8973,-46.2840,-51.3188
48,41.9847,-44.8973,-45.1897,-51.3188,-137.7902
49,42.7481,-45.1897,-61.8390,-137.7902,84.2755
50,43.5115,-61.8390,-58.7234,84.2755,55.8677
51,44.2748,-58.7234,-46.8411,55.8677,-46.6037
52,45.0382,-46.8411,-57.1295,-46.6037,7.6233
53,45.8015,-57.1295,-48.9091,7.6233,-56.0575
54,46.5649,-48.9091,-56.4537,-56.0575,-31.0012
55,47.3282,-56.4537,-58.9337,-31.0012,9.7187
56,48.0916,-58.9337,-50.4726,9.7187,-53.4788
57,48.8550,-50.4726,-60.1484,-53.4788,25.6162
58,49.6183,-60.1484,-55.6751,25.6162,-7.5265
59,50.3817,-55.6751,-52.3207,-7.5265,-53.3095
60,51.1450,-52.3207,-55.3634,-53.3095,-33.5210
61,51.9084,-55.3634,-52.3587,-33.5210,-31.3099
62,52.6718,-52.3587,-53.0276,-31.3099,-41.8253
63,53.4351,-53.0276,-53.5178,-41.8253,-28.4152
64,54.1985,-53.5178,-53.5419,-28.4152,-36.5454
65,54.9618,-53.5419,-51.6407,-36.5454,-53.3621
66,55.7252,-51.6407,-58.8745,-53.3621,11.5357
67,56.4885,-58.8745,-57.4179,11.5357,9.7856
68,57.2519,-57.4179,-50.0472,9.7856,-55.4377
69,58.0153,-50.0472,-61.8197,-55.4377,32.9113
70,58.7786,-61.8197,-50.7936,32.9113,-36.8880
71,59.5420,-50.7936,-52.2281,-36.8880,-38.5753
72,60.3053,-52.2281,-53.2596,-38.5753,-43.9897
73,61.0687,-53.2596,-53.8378,-43.9897,-32.3939
74,61.8321,-53.8378,-51.7454,-32.3939,-47.7052
75,62.5954,-51.7454,-53.6241,-47.7052,-32.5059
76,63.3588,-53.6241,-53.7536,-32.5059,-25.3610
77,64.1221,-53.7536,-49.0338,-25.3610,-55.3795
78,64.8855,-49.0338,-54.7271,-55.3795,-31.0050
79,65.6489,-54.7271,-54.2539,-31.0050,-34.7264
80,66.4122,-54.2539,-50.7946,-34.7264,-60.4222
81,67.1756,-50.7946,-57.2788,-60.4222,-6.8303
