t_s,theta1_deg,omega1_deg_s
2.3127,-79.4035,460.2377
2.5601,66.6341,356.7574
3.0888,-65.3595,52.1689
3.3878,-41.8054,84.0176
6.0089,10.7461,69.9860
7.5215,-1.4710,49.9682
9.0254,-11.0143,-16.3402
11.7931,10.1045,62.9918
13.2626,2.8671,-46.1782
14.7284,-0.3890,-74.0909
16.1864,-5.1949,-29.7180
17.6354,-12.4376,23.2512
19.1443,65.9824,151.9337
20.1268,63.7359,305.7506
22.1533,73.0293,175.1940
23.1646,60.5465,175.6403
24.5970,-8.1244,-569.3970
26.2111,-27.8191,364.0020
27.6538,-12.4080,-105.6600
29.0685,1.6533,-154.7830
30.4882,8.9031,-19.3400
31.8953,3.0301,-61.5367
33.3009,-3.2670,-66.5290
34.7023,-11.0115,-6.3515
36.1040,-10.0682,-89.3647
37.5004,-2.9133,-138.5606
38.8947,4.0965,-121.6158
40.2861,7.3513,-62.0649
41.6716,3.7479,-64.5305
43.0580,-3.0549,-68.7321
