n,t_s,theta1_n,theta1_np1,theta2_n,theta2_np1
0,5.0000,-21.4985,-31.2717,-112.9597,-135.6187
1,6.0000,-31.2717,-36.5673,-135.6187,-151.1589
2,7.0000,-36.5673,-13.8161,-151.1589,-121.4924
3,8.0000,-13.8161,-12.6775,-121.4924,-134.3269
4,9.0000,-12.6775,-9.9377,-134.3269,-141.6666
5,10.0000,-9.9377,-9.6003,-141.6666,-143.8512
6,11.0000,-9.6003,-6.8367,-143.8512,-146.4900
7,12.0000,-6.8367,-5.5089,-146.4900,-139.3758
8,13.0000,-5.5089,-6.6661,-139.3758,-143.0093
9,14.0000,-6.6661,-9.5735,-143.0093,-146.3522
10,15.0000,-9.5735,-8.3499,-146.3522,-137.7672
11,16.0000,-8.3499,-8.8747,-137.7672,-136.2553
12,17.0000,-8.8747,-18.6148,-136.2553,-118.7916
13,18.0000,-18.6148,-18.1817,-118.7916,31.0983
14,19.0000,-18.1817,-28.8656,31.0983,-134.7697
15,20.0000,-28.8656,-39.7412,-134.7697,-151.1904
16,21.0000,-39.7412,-30.8926,-151.1904,169.8557
17,22.0000,-30.8926,-14.1033,169.8557,84.7774
18,23.0000,-14.1033,-26.2159,84.7774,18.3871
19,24.0000,-26.2159,-21.2275,18.3871,-153.4201
20,25.0000,-21.2275,-9.2671,-153.4201,-141.8915
21,26.0000,-9.2671,-26.4974,-141.8915,-166.4277
22,27.0000,-26.4974,-32.3585,-166.4277,89.4770
23,28.0000,-32.3585,-20.0471,89.4770,36.9139
24,29.0000,-20.0471,-19.5673,36.9139,-141.3277
25,30.0000,-19.5673,-21.9370,-141.3277,-152.0926
26,31.0000,-21.9370,-32.7250,-152.0926,102.3652
27,32.0000,-32.7250,-14.8059,102.3652,-137.2592
28,33.0000,-14.8059,-17.4953,-137.2592,-149.0709
29,34.0000,-17.4953,-12.0015,-149.0709,-156.8751
