stem,x_param,theta1_deg,omega1_deg_s
3.2V_0.91Hz,0.9100,-25.5172,419.4831
3.2V_0.91Hz,0.9100,-25.9175,432.8692
3.2V_0.91Hz,0.9100,-26.4898,432.5041
3.2V_0.91Hz,0.9100,-25.9241,436.5749
3.2V_0.91Hz,0.9100,-27.0476,430.9520
3.2V_0.91Hz,0.9100,-26.5058,430.0696
3.2V_0.91Hz,0.9100,-27.1184,425.5125
3.2V_0.91Hz,0.9100,-28.0816,433.6548
3.2V_0.91Hz,0.9100,-27.0841,429.7792
3.2V_0.91Hz,0.9100,-26.8454,436.4584
3.2V_0.91Hz,0.9100,-26.6200,426.6514
3.2V_0.91Hz,0.9100,-32.9081,408.9100
3.2V_0.91Hz,0.9100,-25.5966,432.0866
3.2V_0.91Hz,0.9100,-25.8782,436.5105
3.2V_0.91Hz,0.9100,-25.9298,426.3189
3.2V_0.91Hz,0.9100,-24.5957,436.0552
3.2V_0.91Hz,0.9100,-25.4984,436.1411
3.2V_0.91Hz,0.9100,-25.1448,429.6225
3.2V_0.91Hz,0.9100,-24.3638,427.6875
3.2V_0.91Hz,0.9100,-24.8105,434.3792
3.2V_0.92Hz,0.9200,52.3569,-327.6316
3.2V_0.92Hz,0.9200,37.9291,-338.6289
3.2V_0.92Hz,0.9200,56.1890,-344.8663
3.2V_0.92Hz,0.9200,61.9410,-340.2041
3.2V_0.92Hz,0.9200,58.8838,-337.2923
3.2V_0.92Hz,0.9200,59.3748,-338.1882
3.2V_0.92Hz,0.9200,58.8411,-338.6229
3.2V_0.92Hz,0.9200,55.8815,-335.4685
3.2V_0.92Hz,0.9200,58.3404,-346.3931
3.2V_0.92Hz,0.9200,59.1413,-318.8988
3.2V_0.92Hz,0.9200,59.4677,-351.7928
3.2V_0.92Hz,0.9200,57.2687,-349.1730
3.2V_0.92Hz,0.9200,59.2035,-353.8373
3.2V_0.92Hz,0.9200,57.3232,-343.9524
3.2V_0.92Hz,0.9200,58.3530,-356.0852
3.2V_0.92Hz,0.9200,56.3815,-339.2152
3.2V_0.92Hz,0.9200,59.1383,-350.8499
3.2V_0.92Hz,0.9200,58.6292,-338.3734
3.2V_0.92Hz,0.9200,57.8958,-346.4214
3.2V_0.92Hz,0.9200,55.6310,-329.4935
3.2V_0.92Hz,0.9200,58.8895,-338.5754
3.2V_0.92Hz,0.9200,56.4068,-328.0450
3.2V_0.92Hz,0.9200,59.2259,-346.5652
3.2V_0.92Hz,0.9200,58.5301,-334.4123
3.2V_0.92Hz,0.9200,59.7302,-336.5591
3.2V_0.92Hz,0.9200,58.9896,-342.5378
3.2V_0.92Hz,0.9200,60.2901,-335.2121
3.2V_0.92Hz,0.9200,60.6418,-338.6240
3.2V_0.92Hz,0.9200,58.2827,-336.3253
3.2V_0.92Hz,0.9200,60.8337,-349.0163
3.2V_0.92Hz,0.9200,58.0766,-334.3170
3.2V_0.92Hz,0.9200,62.0481,-347.5114
3.2V_0.92Hz,0.9200,58.8527,-347.9148
3.2V_0.92Hz,0.9200,59.7450,-344.7780
3.2V_0.92Hz,0.9200,58.7473,-349.4770
3.2V_0.92Hz,0.9200,58.6181,-350.9870
3.2V_0.92Hz,0.9200,58.2795,-351.0268
