n,t_s,theta1_n,theta1_np1,theta2_n,theta2_np1
0,5.6000,19.4656,-7.9280,-4.5622,146.1932
1,6.4000,-7.9280,8.0449,146.1932,130.6413
2,7.2000,8.0449,9.7254,130.6413,-9.0676
3,8.0000,9.7254,-3.5421,-9.0676,8.2632
4,8.8000,-3.5421,4.9796,8.2632,107.3506
5,9.6000,4.9796,5.0660,107.3506,-26.3552
6,10.4000,5.0660,3.3658,-26.3552,63.5085
7,11.2000,3.3658,4.2268,63.5085,93.7900
8,12.0000,4.2268,8.6106,93.7900,-3.7955
9,12.8000,8.6106,-9.9244,-3.7955,143.8951
10,13.6000,-9.9244,2.1364,143.8951,118.5222
11,14.4000,2.1364,-4.3111,118.5222,-25.0926
12,15.2000,-4.3111,0.8235,-25.0926,161.2768
13,16.0000,0.8235,6.2711,161.2768,144.7340
14,16.8000,6.2711,-6.9112,144.7340,89.1631
15,17.6000,-6.9112,-7.2660,89.1631,92.8469
16,18.4000,-7.2660,-7.2393,92.8469,96.4815
17,19.2000,-7.2393,0.5916,96.4815,39.0655
18,20.0000,0.5916,-6.4569,39.0655,124.3585
19,20.8000,-6.4569,-7.0289,124.3585,115.0649
20,21.6000,-7.0289,-7.7713,115.0649,94.5048
21,22.4000,-7.7713,-4.1230,94.5048,63.0948
22,23.2000,-4.1230,-8.0865,63.0948,140.3213
23,24.0000,-8.0865,-2.6212,140.3213,-45.8566
24,24.8000,-2.6212,-2.2588,-45.8566,69.9787
25,25.6000,-2.2588,-6.7550,69.9787,55.7361
26,26.4000,-6.7550,-4.7363,55.7361,141.5515
27,27.2000,-4.7363,-5.9047,141.5515,-143.8769
28,28.0000,-5.9047,1.6183,-143.8769,129.2938
29,28.8000,1.6183,26.0313,129.2938,45.9408
30,29.6000,26.0313,9.8457,45.9408,-174.2036
31,30.4000,9.8457,6.0695,-174.2036,111.0468
32,31.2000,6.0695,1.4069,111.0468,-36.7782
33,32.0000,1.4069,1.5013,-36.7782,156.3448
