n,t_s,theta1_n,theta1_np1,theta2_n,theta2_np1
0,5.0000,-83.9054,-81.6971,-133.7882,-125.2068
1,6.0000,-81.6971,-89.0243,-125.2068,-97.1593
2,7.0000,-89.0243,-73.7290,-97.1593,163.3483
3,8.0000,-73.7290,-85.0685,163.3483,-105.3243
4,9.0000,-85.0685,-99.0385,-105.3243,159.4350
5,10.0000,-99.0385,-71.1743,159.4350,123.2757
6,11.0000,-71.1743,-66.5529,123.2757,-160.7235
7,12.0000,-66.5529,-97.7898,-160.7235,-141.2248
8,13.0000,-97.7898,-90.2874,-141.2248,-143.2300
9,14.0000,-90.2874,-91.1776,-143.2300,-142.4235
10,15.0000,-91.1776,-91.1743,-142.4235,-144.0334
11,16.0000,-91.1743,-91.5095,-144.0334,-143.6408
12,17.0000,-91.5095,-91.5428,-143.6408,-144.4275
13,18.0000,-91.5428,-91.5607,-144.4275,-144.4712
14,19.0000,-91.5607,-92.0536,-144.4712,-145.3180
15,20.0000,-92.0536,-93.0049,-145.3180,-145.5785
16,21.0000,-93.0049,-91.8259,-145.5785,-145.1128
17,22.0000,-91.8259,-91.6760,-145.1128,-144.3233
18,23.0000,-91.6760,-93.1065,-144.3233,-145.9964
19,24.0000,-93.1065,-87.2213,-145.9964,-139.9831
20,25.0000,-87.2213,-85.1949,-139.9831,-136.2498
21,26.0000,-85.1949,-86.1147,-136.2498,-134.2910
22,27.0000,-86.1147,-87.5643,-134.2910,-130.8855
23,28.0000,-87.5643,-84.4539,-130.8855,-130.5782
24,29.0000,-84.4539,-89.3943,-130.5782,-120.4554
25,30.0000,-89.3943,-95.7928,-120.4554,-167.0419
26,31.0000,-95.7928,-87.5816,-167.0419,-133.7714
27,32.0000,-87.5816,-86.5824,-133.7714,-139.0345
28,33.0000,-86.5824,-86.9081,-139.0345,-136.7661
29,34.0000,-86.9081,-86.8181,-136.7661,-139.0937
30,35.0000,-86.8181,-88.5973,-139.0937,-140.6850
31,36.0000,-88.5973,-88.9816,-140.6850,-139.8069
32,37.0000,-88.9816,-88.2296,-139.8069,-139.5023
33,38.0000,-88.2296,-86.4468,-139.5023,-139.7374
34,39.0000,-86.4468,-88.9861,-139.7374,-143.3279
