t_s,theta1_deg,omega1_deg_s
5.0000,-83.9054,167.2048
6.0000,-81.6971,228.4366
7.0000,-89.0243,226.0763
8.0000,-73.7290,28.4512
9.0000,-85.0685,219.3236
10.0000,-99.0385,180.0935
11.0000,-71.1743,458.0655
12.0000,-66.5529,36.3939
13.0000,-97.7898,118.4016
14.0000,-90.2874,120.7367
15.0000,-91.1776,144.6225
16.0000,-91.1743,114.5473
17.0000,-91.5095,110.6825
18.0000,-91.5428,112.3874
19.0000,-91.5607,123.2540
20.0000,-92.0536,111.8081
21.0000,-93.0049,130.2554
22.0000,-91.8259,105.9759
23.0000,-91.6760,133.1597
24.0000,-93.1065,130.6260
25.0000,-87.2213,119.1784
26.0000,-85.1949,176.1595
27.0000,-86.1147,209.3007
28.0000,-87.5643,231.8262
29.0000,-84.4539,200.6221
30.0000,-89.3943,264.9914
31.0000,-95.7928,50.2161
32.0000,-87.5816,106.6861
33.0000,-86.5824,122.9884
34.0000,-86.9081,163.0963
35.0000,-86.8181,151.7201
36.0000,-88.5973,144.9793
37.0000,-88.9816,141.7687
38.0000,-88.2296,165.8232
39.0000,-86.4468,158.3021
40.0000,-88.9861,138.5593
