t_s,theta1_deg,omega1_deg_s,theta2_deg,omega2_deg_s
5.2083,56.4969,408.5949,-148.4484,100.8804
6.2500,21.7250,268.9171,45.9378,965.0905
7.2917,63.4382,474.0218,-105.1114,680.9531
8.3333,41.4278,18.0259,32.9903,1383.1324
9.3750,35.6037,532.4742,46.2393,-64.8411
10.4167,24.6548,93.8033,40.1432,1315.5896
11.4583,55.5779,255.2266,-51.4273,-660.7873
12.5000,23.0450,182.9917,39.2716,1048.0115
13.5417,61.2153,284.8141,-52.0243,1021.0900
14.5833,34.4767,561.6793,54.5443,-9.8253
15.6250,23.0515,118.9001,39.7423,1279.1394
16.6667,54.3767,283.3823,-27.7356,-813.7285
17.7083,23.4612,212.9518,46.2301,970.3872
18.7500,37.2342,0.1597,30.0553,1403.9854
19.7917,32.1227,481.2489,69.6532,80.8326
20.8333,17.9673,182.0642,34.0215,1104.5016
21.8750,58.0923,454.5403,-127.2137,436.8427
22.9167,75.7991,275.2834,-57.2260,810.2353
23.9583,62.8987,138.9460,-13.2856,874.4980
25.0000,81.0134,132.0504,-13.4820,-699.8080
26.0417,27.5540,399.1223,56.5784,596.3143
27.0833,24.5887,80.5219,39.0848,1256.8835
28.1250,56.8805,394.2208,-7.3589,-1050.6190
29.1667,24.4191,79.7528,38.5798,1169.2270
30.2083,31.3189,32.0383,33.7190,1343.8634
31.2500,29.6216,584.8487,64.0200,196.4783
32.2917,21.6874,81.9646,24.6541,1355.0393
33.3333,55.8624,459.1961,1.4999,-1199.8554
34.3750,22.5097,80.2313,42.9215,1147.2660
35.4167,24.3483,101.8824,37.5327,1246.1119
36.4583,58.8073,162.9833,-33.4253,1061.9599
37.5000,38.1677,537.2696,49.4201,-27.9202
38.5417,22.9101,101.5332,32.9760,1333.5242
39.5833,59.2778,291.6245,-25.7138,-875.8114
40.6250,25.6335,57.9987,39.9199,1208.5353
41.6667,34.1301,16.6660,32.4072,1360.5932
42.7083,83.0654,303.3200,29.5116,-819.1809
43.7500,31.9557,399.0146,61.5012,521.5896
44.7917,25.7386,166.8237,56.7518,1110.8639
45.8333,66.6582,279.2230,-51.7820,1037.5871
46.8750,36.2453,577.6684,56.3789,-60.2483
47.9167,22.8724,128.0127,43.7917,1252.6332
48.9583,56.2333,379.5302,-11.2702,-1006.8980
50.0000,24.4382,98.7562,44.2575,1115.3332
51.0417,37.0874,17.7513,26.2148,1421.7112
52.0833,37.6640,543.1060,43.2909,-72.4788
53.1250,24.5994,101.8573,40.6956,1302.6913
54.1667,58.5560,224.6754,-52.8785,-696.6320
55.2083,23.2556,155.1325,37.7656,1133.6569
56.2500,60.3029,184.9450,-33.6174,1168.6259
57.2917,31.0655,562.5744,56.0287,50.2560
58.3333,24.5849,120.2444,41.8566,1260.4427
59.3750,58.5510,296.3966,-23.7867,-813.5562
60.4167,31.4463,-8.6400,24.8161,1360.5987
61.4583,58.9054,234.1565,-38.7124,-788.7813
62.5000,20.0374,139.8117,41.4662,1122.6251
63.5417,32.8603,17.9716,16.4702,1449.1611
64.5833,23.4436,428.1778,86.9832,368.6877
65.6250,21.9719,37.8997,32.2348,1314.6571
